,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,11350,18400,9600,5800,21950,13153,5800,18400,14950,11350,28.98,-13.36,-18.64,-7.72,2977530,0.065,0.111,0.0577,0.0804,4.79,62.14
1,2000-01-31,11900,14300,12233,10900,21650,12587,5800,12500,12090,11800,63.36,-5.69,-7.75,-37.45,1828032,0.0712,0.0902,0.0578,0.0911,4.78,9.68
2,2000-02-29,13850,14900,13318,11700,18700,12296,5800,13850,13110,12800,104.06,36.68,4.92,-0.77,1199528,0.0733,0.0591,0.0577,0.0884,5.07,17.37
3,2000-03-31,18100,27000,21090,17000,27000,12761,5800,24400,21150,18100,66.82,142.74,-2.16,25.39,2690330,0.0863,0.1153,0.0666,0.0896,5.05,30.69
4,2000-04-30,13000,21250,15508,12900,27000,12708,5800,14650,13730,12900,10.17,79.64,-12.75,-14.47,559510,0.0893,0.0755,0.0693,0.088,5.06,-46.72
5,2000-05-31,12850,19000,14718,10800,27000,12569,5800,12850,11900,10800,-7.22,92.03,16.82,-6.65,1311306,0.0944,0.1039,0.0735,0.1005,5.12,-1.15
6,2000-06-30,14050,17900,15105,13050,27000,12667,5800,14400,14190,13900,-33.88,29.49,2.55,15.27,1562052,0.0875,0.0773,0.0765,0.086,5.16,17.08
7,2000-07-31,10500,14250,12275,10200,27000,12473,5800,11450,10800,10200,-19.23,-11.76,0.0,-16.79,647684,0.0828,0.0441,0.0763,0.0781,5.13,-25.27
8,2000-08-31,10200,11300,10638,10200,27000,12377,5800,10600,10430,10200,-20.62,-26.35,0.0,2.11,262030,0.0767,0.0254,0.0759,0.0491,5.12,-2.86
9,2000-09-30,8160,10600,9441,8000,27000,12356,5800,8200,8102,8000,-43.33,-60.67,-1.45,1.62,703510,0.0677,0.0545,0.077,0.0428,5.09,-21.91
10,2000-10-31,6350,8980,7768,6350,27000,12361,5800,7550,7046,6350,-39.52,-51.15,-20.13,-12.83,357012,0.0628,0.0433,0.0767,0.0425,5.37,-22.18
11,2000-11-30,6350,7750,6981,6350,27000,12310,5800,6720,6516,6350,-40.09,-47.08,-0.16,-5.11,220584,0.049,0.048,0.0756,0.0493,5.32,-3.05
12,2000-12-31,6750,8900,7263,6350,27000,12190,6350,7770,6898,6380,-16.15,-52.8,-13.13,-54.88,568468,0.0489,0.0684,0.0724,0.0545,6.08,3.53
13,2001-01-31,8400,9380,8033,6750,27000,11862,6350,8410,8204,7930,32.28,-20.0,2.94,-29.41,859034,0.0505,0.054,0.0686,0.0586,5.27,24.44
14,2001-02-28,7700,8790,8186,7700,27000,11434,6350,7850,7802,7700,15.96,-27.36,-6.1,-42.11,266382,0.0504,0.0243,0.0668,0.0516,5.06,-2.9
15,2001-03-31,6810,7450,6915,6600,19000,10215,6350,7200,6942,6800,0.89,-16.54,0.15,-67.95,452198,0.0471,0.027,0.0582,0.0386,4.96,-11.56
16,2001-04-30,6990,7200,6815,6440,19000,9540,6350,7090,6990,6920,-16.88,6.72,0.29,-46.23,167708,0.0442,0.0217,0.0542,0.026,5.01,2.64
17,2001-05-31,7240,7810,7254,6800,17900,8904,6350,7750,7508,7240,-5.97,14.02,-7.18,-43.66,291274,0.0408,0.0276,0.0461,0.0252,5.01,3.58
18,2001-06-30,7330,7850,7419,7120,14250,8277,6350,7700,7400,7200,7.79,8.59,-6.51,-49.1,298926,0.0302,0.0225,0.0411,0.0231,4.99,-2.91
19,2001-07-31,5960,7320,6362,5600,11300,7763,5600,6000,5812,5600,-14.74,-29.05,2.76,-43.24,96100,0.0269,0.0351,0.0403,0.0289,4.77,-18.69
20,2001-08-31,5480,6400,6082,5480,10600,7350,5480,6070,5838,5480,-24.31,-28.83,-8.82,-46.27,86634,0.0258,0.023,0.0401,0.0268,4.54,-8.05
21,2001-09-30,4085,5530,4466,3350,9380,6973,3350,4200,4065,3930,-43.26,-41.56,19.44,-49.57,448008,0.0372,0.0706,0.0419,0.0469,4.0,-31.92
22,2001-10-31,4800,5170,4676,4000,9380,6709,3350,5170,5002,4800,-19.46,-31.33,-4.95,-24.41,196500,0.0389,0.0336,0.0413,0.0471,4.02,17.5
23,2001-11-30,6260,6610,5858,5070,9380,6601,3350,6610,6348,6150,7.56,-15.97,0.32,-1.42,371128,0.0415,0.044,0.0409,0.0522,4.04,29.61
24,2001-12-31,6020,6940,6381,6000,9380,6529,3350,6440,6136,6000,47.37,-16.39,0.33,-10.81,246718,0.0426,0.0305,0.0371,0.0362,4.01,-2.11
25,2002-01-31,5770,6210,5805,5500,8790,6347,3350,6100,5896,5760,20.21,-3.19,2.85,-31.31,272542,0.0413,0.0277,0.0346,0.034,3.98,-4.15
26,2002-02-28,6650,7190,6137,5510,7850,6186,3350,7190,6968,6650,8.13,10.83,9.02,-13.64,1095493,0.0438,0.0436,0.0361,0.0337,4.01,10.1
27,2002-03-31,7460,8150,7682,6550,8150,6248,3350,7900,7662,7460,23.92,82.62,-6.75,9.71,332178,0.0381,0.0484,0.0375,0.0397,4.0,12.18
28,2002-04-30,5600,7240,6547,5550,8150,6226,3350,6000,5708,5550,-2.78,15.94,-9.68,-19.89,131572,0.0382,0.0268,0.0381,0.0418,4.04,-24.93
29,2002-05-31,5140,5940,5595,5140,8150,6082,3350,5510,5356,5140,-22.71,-17.89,-8.05,-29.01,148613,0.035,0.0237,0.038,0.0303,4.28,-8.21
30,2002-06-30,4220,5310,4782,3850,8150,5878,3350,4500,4185,3850,-45.19,-29.9,-10.21,-41.39,61343,0.0358,0.0356,0.0389,0.0292,4.26,-21.42
31,2002-07-31,4030,4650,4288,3940,8150,5690,3350,4100,4036,3970,-28.04,-30.16,0.75,-32.38,48088,0.036,0.0299,0.0386,0.0297,4.27,-4.5
32,2002-08-31,5090,5090,4887,4540,8150,5581,3350,5090,4966,4900,-4.14,-23.46,0.79,-12.54,213130,0.0344,0.0458,0.0404,0.0381,4.28,24.15
33,2002-09-30,3935,5180,4491,3935,8150,5583,3850,4230,4090,3935,-6.75,-47.25,-8.28,-3.67,58828,0.0332,0.0306,0.0362,0.037,4.28,-22.69
34,2002-10-31,4650,4690,4452,4020,8150,5553,3850,4650,4580,4455,15.38,-16.96,4.14,-3.13,141695,0.0349,0.0351,0.0363,0.0342,4.28,18.17
35,2002-11-30,4990,5120,4930,4670,8150,5483,3850,5060,5004,4960,1.84,-8.44,-0.2,-20.41,192118,0.0345,0.0189,0.0344,0.0301,4.28,9.55
36,2002-12-31,3865,5140,4814,3865,8150,5356,3850,4770,4433,3865,-1.78,-8.41,-18.97,-35.8,96587,0.0342,0.0324,0.0347,0.0304,4.52,-22.55
37,2003-01-31,3320,4100,3770,3280,8150,5180,3280,3470,3327,3280,-28.6,-19.02,-8.54,-42.36,68932,0.03,0.0213,0.0345,0.0259,4.34,-14.1
38,2003-02-28,3145,3400,3267,3145,8150,4953,3145,3300,3220,3145,-37.1,-36.34,-3.23,-52.71,39488,0.0278,0.0164,0.0325,0.0249,4.27,-4.12
39,2003-03-31,2575,3090,2586,2310,7240,4533,2310,2650,2570,2515,-33.38,-34.56,-4.98,-65.48,83648,0.0311,0.048,0.0323,0.0311,4.27,-18.12
40,2003-04-30,2670,3080,2814,2600,5940,4206,2310,2865,2732,2670,-19.58,-42.58,-9.8,-52.32,56342,0.0298,0.0286,0.0321,0.0335,4.26,0.75
41,2003-05-31,2900,3200,2886,2670,5180,3983,2310,3010,2940,2900,-7.79,-41.88,-0.34,-45.39,74136,0.0325,0.0378,0.0332,0.0387,4.01,8.61
42,2003-06-30,3245,3535,3224,3010,5180,3863,2310,3350,3296,3245,22.45,-16.04,-4.84,-23.1,70918,0.033,0.0366,0.0332,0.0338,4.1,11.9
43,2003-07-31,3210,3970,3577,3210,5180,3803,2310,3450,3321,3210,20.22,-3.31,-4.46,-20.35,74256,0.036,0.0206,0.0342,0.0383,3.75,-1.08
44,2003-08-31,3155,3350,3158,3055,5180,3668,2310,3210,3159,3120,7.68,0.32,-0.16,-35.61,114622,0.036,0.022,0.0322,0.0317,3.72,-5.26
45,2003-09-30,2800,3400,3057,2730,5140,3548,2310,2830,2774,2730,-13.71,5.66,-0.18,-28.84,39463,0.0328,0.0289,0.032,0.0248,3.77,-11.25
46,2003-10-31,2600,2985,2781,2600,5140,3401,2310,2710,2661,2600,-19.0,-2.62,-2.62,-44.09,38347,0.0315,0.0174,0.0304,0.023,3.84,-7.14
47,2003-11-30,2870,3000,2709,2550,5140,3221,2310,2870,2759,2670,-8.6,-2.05,1.77,-42.6,63925,0.0303,0.0377,0.0318,0.0273,3.78,6.3
48,2003-12-31,2850,3365,3065,2785,4100,3079,2310,2850,2808,2785,1.79,-12.17,1.79,-26.26,104959,0.0277,0.0333,0.0317,0.0309,3.97,-0.7
49,2004-01-31,2725,2910,2796,2690,3970,2997,2310,2790,2722,2690,3.02,-16.15,-0.91,-17.92,46908,0.0268,0.0142,0.0314,0.0302,3.78,-4.39
50,2004-02-29,2600,2780,2686,2545,3970,2950,2310,2645,2593,2545,-7.31,-19.0,-3.7,-17.98,55489,0.026,0.0148,0.0313,0.0228,3.78,-3.88
51,2004-03-31,2670,2900,2643,2480,3970,2951,2480,2675,2650,2605,-6.32,-4.64,2.3,3.69,37890,0.0258,0.0277,0.0292,0.0196,3.74,2.69
52,2004-04-30,2630,2930,2771,2630,3970,2951,2480,2930,2767,2630,-3.49,-0.57,-9.31,-1.5,83594,0.0258,0.0179,0.0286,0.0207,3.76,-1.5
53,2004-05-31,2375,2660,2421,2240,3970,2913,2240,2375,2353,2330,-8.65,-17.25,1.5,-18.1,29800,0.0226,0.0221,0.0274,0.0228,3.77,-9.7
54,2004-06-30,2230,2480,2341,2195,3970,2837,2195,2320,2236,2195,-16.48,-21.75,0.22,-31.28,40857,0.0195,0.0194,0.0258,0.0197,3.78,-6.11
55,2004-07-31,2060,2235,2146,2000,3400,2709,2000,2090,2038,2000,-21.67,-24.4,-2.83,-36.62,34888,0.0194,0.0137,0.0232,0.018,3.77,-7.62
56,2004-08-31,2170,2180,2145,2025,3400,2619,2000,2180,2164,2130,-8.63,-16.54,0.23,-31.22,62745,0.0177,0.0173,0.0229,0.0165,3.52,5.34
57,2004-09-30,2140,2265,2184,2140,3365,2553,2000,2235,2163,2140,-4.04,-19.85,0.0,-23.57,43333,0.0176,0.0152,0.0218,0.0152,3.55,0.47
58,2004-10-31,1970,2195,2074,1965,3365,2493,1965,1990,1977,1965,-1.99,-25.94,-1.99,-25.66,20019,0.016,0.0107,0.0214,0.0147,3.53,-7.94
59,2004-11-30,2075,2240,2110,1970,3365,2439,1965,2075,2061,2050,-2.58,-12.63,1.72,-27.7,57038,0.0185,0.0307,0.0205,0.0204,3.26,5.33
60,2004-12-31,2085,2130,2064,2035,2930,2354,1965,2085,2065,2050,-2.57,-6.5,-1.65,-26.84,43850,0.0175,0.0099,0.0183,0.0196,3.29,0.48
61,2005-01-31,3150,3440,2591,2120,3440,2341,1965,3440,3308,3150,59.9,52.91,-5.97,15.6,867555,0.0282,0.0552,0.0243,0.0367,3.26,51.08
62,2005-02-28,3275,3520,3237,2960,3520,2374,1965,3275,3132,3000,59.76,51.27,-1.65,25.96,217027,0.0347,0.0545,0.0279,0.0443,3.28,-0.15
63,2005-03-31,2605,3440,2872,2560,3590,2398,1965,2615,2596,2560,24.94,21.73,1.76,-2.43,85863,0.0374,0.0249,0.0288,0.0492,3.26,-20.46
64,2005-04-30,2250,2640,2446,2240,3590,2373,1965,2640,2502,2250,-31.4,14.21,-1.75,-15.41,337384,0.041,0.046,0.031,0.0446,3.29,-12.11
65,2005-05-31,2525,2525,2370,2255,3590,2368,1965,2525,2470,2435,-22.9,21.69,2.23,6.32,72375,0.0406,0.0213,0.0309,0.0329,3.29,12.22
66,2005-06-30,2635,2635,2517,2420,3590,2383,1965,2635,2513,2420,1.15,26.38,4.98,18.16,134655,0.0413,0.0225,0.0312,0.032,3.3,6.68
67,2005-07-31,3045,3170,2993,2850,3590,2452,1965,3170,3039,2860,35.33,-7.16,6.84,51.49,138296,0.0375,0.0427,0.0332,0.0306,3.27,17.12
68,2005-08-31,2435,3000,2696,2435,3590,2506,1965,2590,2503,2435,-3.56,-25.65,-6.35,12.21,71935,0.032,0.027,0.0339,0.0326,3.25,-20.03
69,2005-09-30,2865,2900,2680,2545,3590,2544,1965,2900,2852,2735,8.73,9.98,5.52,33.88,128934,0.0316,0.0167,0.034,0.0254,3.28,16.46
70,2005-10-31,3000,3125,2992,2860,3590,2619,1965,3125,3044,2955,-1.48,33.33,-0.99,52.28,220898,0.0277,0.026,0.0346,0.0247,3.51,4.71
71,2005-11-30,3525,3895,3515,3000,3895,2740,2035,3895,3664,3475,43.29,42.71,-8.08,69.88,276972,0.0327,0.0484,0.0362,0.0327,3.5,19.29
72,2005-12-31,3290,3830,3460,3115,3895,2858,2085,3290,3179,3115,13.45,26.54,2.81,60.49,82016,0.0305,0.0268,0.0371,0.0356,3.76,-5.32
73,2006-01-31,2950,3430,3096,2515,3895,2906,2240,2950,2795,2665,-1.67,-3.12,10.69,-6.35,78953,0.0336,0.0453,0.0357,0.0418,3.76,-10.33
74,2006-02-28,2955,2970,2853,2770,3895,2880,2240,2970,2956,2940,-18.03,14.76,1.9,-9.77,27613,0.0328,0.0161,0.0328,0.0313,3.99,0.85
75,2006-03-31,2760,2960,2792,2695,3895,2870,2240,2760,2718,2695,-16.11,-3.66,0.0,5.95,36107,0.0325,0.0183,0.0316,0.0294,3.97,-6.6
76,2006-04-30,2775,2955,2845,2720,3895,2899,2240,2780,2758,2720,-5.29,-6.09,-0.89,14.91,36614,0.0316,0.0153,0.0295,0.0153,3.97,2.78
