,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,16521.767660217138,0.36958,-9.430691893475714e-06,2.57,0.0475
1,2000-01-31,16579.182052505967,0.52897,1.1630884341297628e-06,-12.28,0.0523
2,2000-02-29,14931.536217886807,0.44204,5.69568943501744e-06,3.83,0.0598
3,2000-03-31,28483.675453957138,0.45898,-1.2247840247041097e-05,-28.32,0.0447
4,2000-04-30,11644.268083822608,0.36173,-7.800493034739454e-06,-16.9,0.0523
5,2000-05-31,12121.551080246914,0.30059,-9.100845039910868e-06,-0.89,0.0411
6,2000-06-30,23506.337096674688,0.28732,-1.110238533999464e-05,11.54,0.0495
7,2000-07-31,31750.271344114066,0.32048,-9.73826651667996e-07,-2.3,0.0288
8,2000-08-31,10205.276304380326,0.31311,-1.7575049954619096e-06,-21.88,0.0397
9,2000-09-30,4482.192248279736,0.25786,-9.943109963289908e-07,-11.86,0.0362
10,2000-10-31,16969.997390811117,0.22728,9.619805311498376e-06,-20.0,0.0139
11,2000-11-30,2278.6637748715957,0.20039,-2.9789682687790477e-07,-3.0,0.0237
