,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,relativeMA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
228,2018-12-31,204000.0,218000.0,202225.0,190500.0,227000.0,185750.0,149500.0,218000.0,209100.0,203000.0,0.25524475524475526,-0.73,3.55,-6.42,-2.86,24718.0,0.0265,0.0215,0.0284,0.0243,1.89,3.82
229,2019-01-31,184000.0,214000.0,190125.0,180500.0,218000.0,183961.0,149500.0,187500.0,186000.0,184000.0,-0.5623471882640586,9.2,8.88,1.94,-16.36,22321.0,0.0258,0.026,0.0285,0.0239,1.81,-9.8
230,2019-02-28,213000.0,218000.0,196900.0,182500.0,218000.0,184208.0,149500.0,218000.0,213800.0,208000.0,0.3748326639892905,8.4,18.33,2.4,22.41,21435.0,0.0255,0.0238,0.0285,0.0242,1.8,14.21
231,2019-03-31,218500.0,219500.0,211150.0,201500.0,219500.0,188220.0,149500.0,218500.0,215400.0,213000.0,0.16427911275415896,7.11,6.33,2.1,43.28,22317.0,0.0233,0.0155,0.0281,0.0225,1.81,2.58
232,2019-04-30,218500.0,232500.0,223200.0,213500.0,232500.0,192202.0,149500.0,224000.0,219100.0,215000.0,1.2798611111111111,18.43,24.15,-3.53,14.4,22604.0,0.0215,0.0135,0.0258,0.0185,1.79,0.0
233,2019-05-31,186500.0,215000.0,201350.0,186500.0,232500.0,193223.0,149500.0,200500.0,192800.0,186500.0,-5.680365296803653,-12.44,-4.11,-5.81,2.19,37941.0,0.0207,0.0183,0.0249,0.0166,1.79,-14.65
234,2019-06-30,211000.0,211000.0,196275.0,185500.0,232500.0,193376.0,149500.0,211000.0,200300.0,192000.0,-0.42053445850914206,-2.99,3.43,3.94,7.11,31879.0,0.0212,0.0236,0.0241,0.0195,1.83,5.24
235,2019-07-31,204500.0,208000.0,199375.0,188500.0,232500.0,196112.0,159000.0,206500.0,203300.0,201500.0,-0.3050928129462161,-6.41,11.14,-0.97,21.01,16486.0,0.0205,0.0219,0.0231,0.0221,1.56,-3.08
236,2019-08-31,203500.0,215000.0,204400.0,195500.0,232500.0,199420.0,166000.0,203500.0,199000.0,196000.0,0.46270928462709277,9.12,-4.46,4.09,19.71,29170.0,0.0203,0.0205,0.0227,0.0235,1.54,-1.45
237,2019-09-30,197000.0,207500.0,200225.0,192000.0,232500.0,200122.0,166000.0,197000.0,195700.0,192000.0,1.603864734299517,-6.64,-9.84,1.55,-4.14,24367.0,0.02,0.0167,0.0218,0.0203,1.58,-3.19
238,2019-10-31,178000.0,195500.0,190150.0,178000.0,232500.0,199890.0,166000.0,192000.0,185200.0,178000.0,-2.297872340425532,-12.96,-18.54,-5.32,5.64,21177.0,0.0205,0.0178,0.0209,0.0175,1.29,-9.64
239,2019-11-30,168000.0,189500.0,178975.0,168000.0,232500.0,200006.0,168000.0,173000.0,170300.0,168000.0,1.1196911196911197,-14.5,-11.81,-3.17,-12.95,62659.0,0.0204,0.018,0.0203,0.0167,1.28,-9.19
240,2019-12-31,169500.0,169500.0,163800.0,159000.0,232500.0,196882.0,159000.0,169500.0,166900.0,165500.0,0.8255470136014194,-13.96,-19.67,2.42,-16.91,24161.0,0.0181,0.0126,0.0197,0.0158,1.39,0.89
241,2020-01-31,165000.0,174000.0,169450.0,163000.0,232500.0,195100.0,159000.0,174000.0,170000.0,165000.0,0.7066795740561471,-7.3,-19.32,-5.17,-10.33,26954.0,0.0166,0.0163,0.0189,0.0156,1.25,-2.65
242,2020-02-29,151500.0,169000.0,162000.0,151500.0,232500.0,192156.0,151500.0,160500.0,156600.0,151500.0,0.3768617942500866,-10.88,-22.7,-7.62,-28.87,38345.0,0.016,0.0176,0.0181,0.0155,1.26,-11.92
243,2020-03-31,132000.0,163000.0,133950.0,109000.0,232500.0,185637.0,109000.0,132000.0,123000.0,118500.0,0.5587269512503157,-22.12,-32.99,8.2,-39.59,66518.0,0.0254,0.051,0.0227,0.0324,0.8,-12.87
244,2020-04-30,158000.0,159000.0,146000.0,127500.0,218500.0,179331.0,109000.0,159000.0,155100.0,148500.0,0.22160148975791433,-5.95,-14.59,7.85,-26.85,60306.0,0.0291,0.0386,0.0249,0.0384,0.76,33.33
245,2020-05-31,167000.0,167000.0,156525.0,149000.0,215500.0,175536.0,109000.0,167000.0,158600.0,155500.0,-0.8290113452188007,10.23,-0.6,7.4,-12.34,41122.0,0.0305,0.0275,0.0256,0.0403,0.49,5.7
246,2020-06-30,139000.0,157500.0,143500.0,135000.0,215500.0,171117.0,109000.0,139000.0,136900.0,135000.0,-0.43610785463071516,14.88,-17.99,1.46,-34.12,31949.0,0.0311,0.0182,0.0252,0.0296,0.57,-16.77
247,2020-07-31,124500.0,142500.0,129600.0,124500.0,215500.0,164708.0,109000.0,127000.0,125400.0,124500.0,0.5419222903885481,-21.2,-24.55,-2.73,-39.12,27791.0,0.0309,0.0138,0.0248,0.0191,0.51,-10.43
248,2020-08-31,127500.0,134000.0,126875.0,121500.0,207500.0,158225.0,109000.0,127500.0,124500.0,121500.0,0.6331994645247657,-23.65,-15.84,1.19,-37.35,50127.0,0.0309,0.0208,0.0246,0.0184,0.55,2.41
249,2020-09-30,123500.0,124500.0,120625.0,116000.0,197000.0,152060.0,109000.0,123500.0,119200.0,117000.0,0.2853139013452915,-10.18,4.22,6.47,-35.68,45211.0,0.0219,0.0151,0.0246,0.0171,0.55,1.65
250,2020-10-31,118000.0,136000.0,125700.0,118000.0,189500.0,146720.0,109000.0,129000.0,123800.0,118000.0,0.1569066965536565,-5.6,-25.32,-11.61,-35.69,32492.0,0.0195,0.0241,0.025,0.0199,0.52,-4.45
251,2020-11-30,125500.0,141000.0,131525.0,123500.0,174000.0,142510.0,109000.0,131500.0,129000.0,125500.0,-0.1300395256916996,3.29,-24.85,-4.56,-25.3,38676.0,0.0199,0.0249,0.0255,0.0214,0.6,6.36
252,2020-12-31,135500.0,138500.0,131275.0,125500.0,174000.0,139821.0,109000.0,138500.0,136400.0,133500.0,-0.48454636091724834,9.72,-2.52,-0.73,-20.06,31629.0,0.0199,0.0188,0.0258,0.0223,0.61,7.97
253,2021-01-31,170000.0,170000.0,147375.0,132000.0,171000.0,138280.0,109000.0,170000.0,161800.0,155500.0,32.58823529411765,38.78,36.55,11.84,1.19,113199.0,0.0229,0.0315,0.027,0.0253,0.52,27.34
254,2021-02-28,159000.0,177500.0,165425.0,159000.0,177500.0,138208.0,109000.0,167000.0,162800.0,159000.0,11.864583333333334,22.78,27.71,-2.45,1.92,37022.0,0.0236,0.0268,0.0275,0.0256,0.59,-0.93
255,2021-03-31,158000.0,174500.0,167175.0,158000.0,177500.0,140876.0,116000.0,163500.0,160700.0,158000.0,0.8431472081218274,16.61,27.94,-2.77,19.7,40576.0,0.0246,0.0176,0.0242,0.0268,0.59,-0.63
256,2021-04-30,153000.0,163500.0,158500.0,149500.0,177500.0,142046.0,116000.0,156500.0,153100.0,149500.0,3.1645569620253164,-10.0,29.66,-2.24,-3.16,35434.0,0.0232,0.0141,0.0219,0.0205,0.49,-3.77
257,2021-05-31,181500.0,184500.0,173275.0,153000.0,184500.0,143417.0,116000.0,181500.0,177600.0,173000.0,1.630184331797235,14.15,44.62,4.61,8.68,51974.0,0.0236,0.0247,0.0218,0.02,0.51,18.63
258,2021-06-30,179500.0,192000.0,183875.0,175500.0,192000.0,146867.0,116000.0,186000.0,184300.0,179500.0,0.44234728894989706,12.89,32.47,2.28,29.14,33106.0,0.0242,0.0232,0.022,0.0214,0.63,0.28
259,2021-07-31,161500.0,169000.0,166300.0,161500.0,192000.0,150002.0,116000.0,164000.0,162900.0,161500.0,0.19041095890410958,5.56,-5.0,-4.15,29.2,31646.0,0.0214,0.0141,0.0221,0.0221,0.58,-10.03
260,2021-08-31,178500.0,181000.0,171900.0,159000.0,192000.0,153796.0,116000.0,181000.0,178000.0,175500.0,-0.041249999999999995,-1.65,12.26,3.18,40.0,29309.0,0.0206,0.0239,0.0224,0.0207,0.9,10.53
261,2021-09-30,170500.0,183500.0,177275.0,170500.0,192000.0,158419.0,118000.0,174500.0,172700.0,170500.0,-0.13163426169206516,-5.01,7.23,-0.58,38.06,19424.0,0.0204,0.0142,0.0224,0.0181,0.92,-5.8
262,2021-10-31,161500.0,180000.0,171125.0,161500.0,192000.0,161743.0,118000.0,170500.0,166200.0,161500.0,-0.038316582914572864,-1.22,8.03,-7.18,31.84,28525.0,0.0209,0.0197,0.0222,0.0197,0.76,-6.65
263,2021-11-30,146000.0,169500.0,158575.0,146000.0,192000.0,164312.0,125500.0,153500.0,149400.0,146000.0,-1.1843233312921004,-19.34,-18.44,-4.89,16.33,40805.0,0.0191,0.0172,0.0217,0.0176,1.067,-9.6
264,2021-12-31,145500.0,153500.0,149475.0,145500.0,192000.0,165794.0,132000.0,150000.0,146800.0,145500.0,-1.986449864498645,-14.66,-18.94,-1.02,7.38,17489.0,0.0186,0.0149,0.0216,0.019,1.437,-0.34
265,2022-01-31,162000.0,162000.0,148525.0,137500.0,192000.0,165904.0,137500.0,162000.0,157100.0,153000.0,0.17032967032967034,-0.31,-0.61,3.18,-1.82,41116.0,0.0209,0.0278,0.0211,0.0219,1.277,8.0
266,2022-02-28,169500.0,169500.0,164775.0,155500.0,192000.0,165905.0,137500.0,169500.0,164200.0,161500.0,2.1424242424242426,14.14,-4.24,2.11,6.6,30536.0,0.0197,0.0191,0.0205,0.0214,1.39,4.63
267,2022-03-31,174500.0,181000.0,174000.0,161500.0,192000.0,166460.0,137500.0,181000.0,175600.0,173000.0,1.9090038314176245,19.93,2.35,-3.06,10.44,33611.0,0.0207,0.0193,0.0204,0.0221,1.454,2.95
268,2022-04-30,181000.0,184500.0,180450.0,178000.0,192000.0,168279.0,137500.0,183000.0,181200.0,180000.0,0.5567157095396298,11.73,12.07,0.84,21.07,32193.0,0.0196,0.012,0.0203,0.0171,1.53,4.62
269,2022-05-31,183500.0,203000.0,188925.0,183500.0,203000.0,169597.0,137500.0,194000.0,187300.0,183500.0,7.509090909090908,8.26,25.68,-0.54,1.1,37612.0,0.02,0.0235,0.0199,0.0186,1.863,1.38
270,2022-06-30,189000.0,189000.0,178975.0,173500.0,203000.0,169075.0,137500.0,189000.0,181600.0,174500.0,1.6880907372400755,8.93,29.9,8.93,5.29,46795.0,0.0197,0.0135,0.0193,0.0168,2.337,1.89
271,2022-07-31,181000.0,189500.0,185775.0,181000.0,203000.0,170726.0,137500.0,184500.0,183000.0,181000.0,0.0,0.0,11.73,-1.09,10.7,22801.0,0.0175,0.0166,0.0192,0.018,2.341,-2.69
