,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,-8.130104743343221e-09,-32.97,-32.97
1,2000-01-31,4.78,-1.7055570950978123e-08,91.48,91.48
2,2000-02-29,5.07,8.716054096573051e-08,-11.66,-11.66
3,2000-03-31,5.05,-1.771031163303548e-07,36.0,36.0
4,2000-04-30,5.06,4.741836460279458e-08,-35.9,-35.9
5,2000-05-31,5.12,-1.8374820985168864e-07,-61.18,-61.18
6,2000-06-30,5.16,-2.708960698222655e-06,-51.03,-51.03
7,2000-07-31,5.13,-1.3571314499368572e-08,-10.53,-10.53
8,2000-08-31,5.12,-6.52553869112817e-07,52.94,52.94
9,2000-09-30,5.09,-3.0661162254431364e-08,14.63,14.63
10,2000-10-31,5.37,8.472434276580068e-09,-33.33,-33.33
11,2000-11-30,5.32,-2.3140223157370063e-09,-17.24,-17.24
12,2000-12-31,6.08,2.0285040389793808e-08,-11.31,-11.31
13,2001-01-31,5.27,-3.959452348348438e-09,22.15,22.15
14,2001-02-28,5.06,4.8608622017111244e-08,47.5,47.5
15,2001-03-31,4.96,-5.486052214119005e-07,-5.08,-5.08
16,2001-04-30,5.01,-1.975399877406754e-06,-9.82,-9.82
17,2001-05-31,5.01,7.004518098641746e-07,23.76,23.76
18,2001-06-30,4.99,-3.762031988020561e-07,-25.82,-25.82
19,2001-07-31,4.77,9.972302509564713e-07,-37.97,-37.97
20,2001-08-31,4.54,-5.228094314982307e-08,-3.47,-3.47
21,2001-09-30,4.0,-2.592784397988116e-07,-47.29,-47.29
22,2001-10-31,4.02,2.535747492426325e-07,57.71,57.71
23,2001-11-30,4.04,-4.919017135391302e-07,9.73,9.73
24,2001-12-31,4.01,-8.898035143452419e-08,3.97,3.97
25,2002-01-31,3.98,-2.680371059134148e-06,-3.82,-3.82
26,2002-02-28,4.01,-9.916048910465483e-08,-25.32,-25.32
27,2002-03-31,4.0,-2.3219775435126124e-06,-51.03,-51.03
28,2002-04-30,4.04,-1.4596651055032955e-06,-22.73,-22.73
29,2002-05-31,4.28,-6.273552169648773e-06,58.37,58.37
30,2002-06-30,4.26,-3.2248018289912868e-06,-21.77,-21.77
31,2002-07-31,4.27,-3.0035442976013025e-06,6.52,6.52
32,2002-08-31,4.28,-1.9853421938942856e-08,-50.88,-50.88
33,2002-09-30,4.28,-7.031403692015062e-07,-40.71,-40.71
34,2002-10-31,4.28,-8.153297489922035e-07,2.41,2.41
36,2002-12-31,4.52,-1.1444211274404136e-07,-67.06,-67.06
37,2003-01-31,4.34,1.3134355619869445e-09,-41.07,-41.07
38,2003-02-28,4.27,-4.3328310315058645e-08,3.45,3.45
39,2003-03-31,4.27,-9.187058175925055e-08,-10.0,-10.0
40,2003-04-30,4.26,-8.466038144558245e-08,7.41,7.41
41,2003-05-31,4.01,-5.182767965816316e-10,-3.45,-3.45
42,2003-06-30,4.1,6.7251988855271405e-09,-3.57,-3.57
43,2003-07-31,3.75,-9.324946293122029e-08,0.0,0.0
44,2003-08-31,3.72,0.0,-14.29,-14.29
45,2003-09-30,3.77,-1.5211535728661743e-10,33.33,33.33
46,2003-10-31,3.84,1.527774090883906e-07,-28.13,-28.13
47,2003-11-30,3.78,3.749169674845295e-08,0.0,0.0
48,2003-12-31,3.97,8.162363535914232e-09,0.0,0.0
49,2004-01-31,3.78,-1.0051567818829413e-05,-17.39,-17.39
50,2004-02-29,3.78,-9.732907924483729e-08,-5.88,-5.88
51,2004-03-31,3.74,-1.42739324653355e-09,-6.25,-6.25
52,2004-04-30,3.76,-2.0344623146077396e-08,-6.25,-6.25
53,2004-05-31,3.77,2.7865418388807577e-09,-6.67,-6.67
54,2004-06-30,3.78,3.827999897417435e-07,0.0,0.0
55,2004-07-31,3.77,-3.7137495641461633e-07,-7.14,-7.14
56,2004-08-31,3.52,1.5372057697296897e-09,0.0,0.0
57,2004-09-30,3.55,1.3728149956082052e-09,107.69,107.69
58,2004-10-31,3.53,6.966325492564895e-08,-14.81,-14.81
59,2004-11-30,3.26,2.467198054971108e-07,-8.7,-8.7
60,2004-12-31,3.29,4.607778175615569e-08,9.52,9.52
61,2005-01-31,3.26,-9.166230953041162e-08,30.43,30.43
62,2005-02-28,3.28,-1.7551107548884727e-07,0.0,0.0
63,2005-03-31,3.26,1.8977350361478357e-07,22.22,22.22
64,2005-04-30,3.29,1.2839936518489015e-07,-14.29,-14.29
65,2005-05-31,3.29,-1.0038724734437428e-08,-3.33,-3.33
66,2005-06-30,3.3,1.1604392345022715e-08,3.33,3.33
67,2005-07-31,3.27,3.34481436920188e-08,63.33,63.33
68,2005-08-31,3.25,-1.2405537443479534e-07,-24.49,-24.49
69,2005-09-30,3.28,-2.5261428231229385e-08,11.11,11.11
70,2005-10-31,3.51,5.632358439699359e-09,-2.5,-2.5
71,2005-11-30,3.5,4.295716351610406e-08,-2.63,-2.63
72,2005-12-31,3.76,1.5832002771130507e-08,-5.41,-5.41
73,2006-01-31,3.76,7.13996320716773e-08,-2.86,-2.86
74,2006-02-28,3.99,-3.5065337607720244e-07,-14.29,-14.29
