,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,-3.179627332137827e-07,-13.39,-13.39
1,2000-01-31,4.78,1.8807689207131146e-05,-1.03,-1.03
2,2000-02-29,5.07,-1.0463644871988907e-05,-32.65,-32.65
3,2000-03-31,5.05,-1.1625504003887413e-06,0.0,0.0
4,2000-04-30,5.06,1.9972370912721294e-05,5.19,5.19
5,2000-05-31,5.12,1.9018162244086664e-06,-10.96,-10.96
6,2000-06-30,5.16,5.9245058348616015e-06,12.82,12.82
7,2000-07-31,5.13,1.0814454523375712e-05,12.31,12.31
8,2000-08-31,5.12,-3.814858654986404e-06,-0.72,-0.72
9,2000-09-30,5.09,1.1681057938375733e-06,-22.3,-22.3
10,2000-10-31,5.37,-2.9363867151406805e-06,-20.41,-20.41
11,2000-11-30,5.32,1.16992191331206e-05,6.37,6.37
12,2000-12-31,6.08,-1.604418979975471e-05,-33.39,-33.39
13,2001-01-31,5.27,-7.2300307245322555e-06,16.88,16.88
14,2001-02-28,5.06,1.0342111748126083e-05,23.0,23.0
15,2001-03-31,4.96,1.3733025988880157e-06,-4.58,-4.58
16,2001-04-30,5.01,-2.9645034213741223e-08,16.8,16.8
17,2001-05-31,5.01,1.0696940770043018e-05,42.12,42.12
18,2001-06-30,4.99,-9.686547119094278e-07,14.9,14.9
19,2001-07-31,4.77,-8.328455107909067e-06,-16.46,-16.46
20,2001-08-31,4.54,-6.023912731317088e-06,-2.09,-2.09
21,2001-09-30,4.0,2.881605125522542e-06,-15.33,-15.33
22,2001-10-31,4.02,-4.713338438787415e-06,15.82,15.82
23,2001-11-30,4.04,-2.7527661522099843e-06,8.11,8.11
24,2001-12-31,4.01,1.1304940041272308e-06,2.56,2.56
25,2002-01-31,3.98,1.6011793721040763e-09,23.06,23.06
26,2002-02-28,4.01,-5.190574550743937e-06,8.58,8.58
27,2002-03-31,4.0,3.5000133623657615e-06,20.55,20.55
28,2002-04-30,4.04,1.7425798004487814e-06,-4.92,-4.92
29,2002-05-31,4.28,-5.6296210181247706e-06,-5.52,-5.52
30,2002-06-30,4.26,3.5186660187026377e-07,-5.11,-5.11
31,2002-07-31,4.27,-9.35658977231182e-06,-18.92,-18.92
32,2002-08-31,4.28,1.073669593439358e-05,3.14,3.14
