,Date,riskfree,MA1M,actualreturn
79,2006-07-31,4.22,-33.33,-33.33
80,2006-08-31,4.49,-5.85,-5.85
81,2006-09-30,4.48,-8.85,-8.85
82,2006-10-31,4.48,-12.62,-12.62
83,2006-11-30,4.49,18.06,18.06
84,2006-12-31,4.6,-2.59,-2.59
85,2007-01-31,4.61,-16.71,-16.71
86,2007-02-28,4.55,2.82,2.82
87,2007-03-31,4.63,11.23,11.23
88,2007-04-30,4.88,-6.65,-6.65
89,2007-05-31,4.56,39.31,39.31
90,2007-06-30,4.52,20.28,20.28
91,2007-07-31,4.76,12.26,12.26
92,2007-08-31,4.98,-4.44,-4.44
93,2007-09-30,4.98,17.94,17.94
94,2007-10-31,5.02,51.2,51.2
95,2007-11-30,5.02,56.94,56.94
96,2007-12-31,5.02,-18.46,-18.46
97,2008-01-31,4.96,7.49,7.49
98,2008-02-29,4.94,-15.16,-15.16
99,2008-03-31,4.98,-22.77,-22.77
100,2008-04-30,4.95,-2.24,-2.24
101,2008-05-31,5.04,6.12,6.12
102,2008-06-30,5.01,-3.19,-3.19
103,2008-07-31,5.03,-27.55,-27.55
104,2008-08-31,5.25,-31.21,-31.21
105,2008-09-30,5.22,19.96,19.96
106,2008-10-31,4.14,-38.88,-38.88
107,2008-11-30,3.99,7.85,7.85
108,2008-12-31,3.02,19.3,19.3
109,2009-01-31,2.41,-1.33,-1.33
110,2009-02-28,1.87,-11.98,-11.98
111,2009-03-31,1.73,28.16,28.16
112,2009-04-30,1.85,24.81,24.81
113,2009-05-31,1.96,0.0,0.0
114,2009-06-30,1.96,-9.57,-9.57
115,2009-07-31,1.95,39.18,39.18
116,2009-08-31,1.99,60.62,60.62
117,2009-09-30,2.0,-1.34,-1.34
118,2009-10-31,2.01,0.79,0.79
119,2009-11-30,2.01,-12.71,-12.71
120,2009-12-31,2.01,-10.45,-10.45
121,2010-01-31,2.0,-6.71,-6.71
122,2010-02-28,2.01,4.12,4.12
123,2010-03-31,2.0,-10.59,-10.59
124,2010-04-30,2.0,-5.66,-5.66
125,2010-05-31,2.0,-16.5,-16.5
126,2010-06-30,2.03,6.43,6.43
127,2010-07-31,2.28,-0.75,-0.75
128,2010-08-31,2.28,-4.18,-4.18
129,2010-09-30,2.27,1.19,1.19
130,2010-10-31,2.26,4.02,4.02
131,2010-11-30,2.51,-10.06,-10.06
132,2010-12-31,2.51,-1.94,-1.94
133,2011-01-31,2.75,-2.85,-2.85
134,2011-02-28,2.76,-13.0,-13.0
135,2011-03-31,2.99,-2.78,-2.78
136,2011-04-30,3.02,2.75,2.75
137,2011-05-31,3.03,-10.99,-10.99
138,2011-06-30,3.28,39.82,39.82
139,2011-07-31,3.27,-14.29,-14.29
140,2011-08-31,3.27,-11.46,-11.46
141,2011-09-30,3.28,-0.6,-0.6
142,2011-10-31,3.26,3.31,3.31
143,2011-11-30,3.27,-13.75,-13.75
144,2011-12-31,3.29,-2.33,-2.33
145,2012-01-31,3.27,7.51,7.51
146,2012-02-29,3.26,0.63,0.63
147,2012-03-31,3.24,-9.43,-9.43
148,2012-04-30,3.26,-2.43,-2.43
149,2012-05-31,3.27,-25.62,-25.62
150,2012-06-30,3.26,-16.12,-16.12
151,2012-07-31,3.02,18.23,18.23
152,2012-08-31,3.01,19.17,19.17
153,2012-09-30,3.01,-14.34,-14.34
154,2012-10-31,2.75,3.77,3.77
155,2012-11-30,2.77,-4.8,-4.8
156,2012-12-31,2.77,3.85,3.85
157,2013-01-31,2.76,0.0,0.0
158,2013-02-28,2.76,-6.32,-6.32
159,2013-03-31,2.75,-31.65,-31.65
160,2013-04-30,2.78,0.0,0.0
161,2013-05-31,2.5,0.0,0.0
162,2013-06-30,2.5,0.0,0.0
163,2013-07-31,2.53,0.0,0.0
164,2013-08-31,2.51,0.0,0.0
165,2013-09-30,2.5,-13.37,-13.37
166,2013-10-31,2.52,-22.6,-22.6
167,2013-11-30,2.5,25.04,25.04
168,2013-12-31,2.52,-2.53,-2.53
169,2014-01-31,2.51,6.54,6.54
170,2014-02-28,2.49,7.59,7.59
171,2014-03-31,2.49,114.21,114.21
172,2014-04-30,2.5,-18.92,-18.92
173,2014-05-31,2.49,-18.18,-18.18
174,2014-06-30,2.49,2.22,2.22
175,2014-07-31,2.49,13.41,13.41
176,2014-08-31,2.24,1.21,1.21
177,2014-09-30,2.24,-20.3,-20.3
178,2014-10-31,1.97,4.12,4.12
179,2014-11-30,1.99,-1.03,-1.03
180,2014-12-31,2.03,-2.79,-2.79
181,2015-01-31,2.0,8.96,8.96
182,2015-02-28,1.99,1.71,1.71
183,2015-03-31,1.74,11.11,11.11
184,2015-04-30,1.74,9.32,9.32
185,2015-05-31,1.74,-0.56,-0.56
186,2015-06-30,1.5,5.97,5.97
187,2015-07-31,1.5,2.68,2.68
188,2015-08-31,1.52,-11.23,-11.23
189,2015-09-30,1.49,-0.29,-0.29
190,2015-10-31,1.5,-7.62,-7.62
191,2015-11-30,1.5,-6.67,-6.67
192,2015-12-31,1.52,-13.27,-13.27
193,2016-01-31,1.5,-8.49,-8.49
194,2016-02-29,1.52,0.0,0.0
195,2016-03-31,1.53,5.91,5.91
196,2016-04-30,1.5,-2.25,-2.25
197,2016-05-31,1.48,7.28,7.28
198,2016-06-30,1.23,-8.96,-8.96
199,2016-07-31,1.24,4.56,4.56
200,2016-08-31,1.25,17.86,17.86
201,2016-09-30,1.26,-6.03,-6.03
202,2016-10-31,1.24,-6.74,-6.74
203,2016-11-30,1.23,-17.47,-17.47
204,2016-12-31,1.27,1.24,1.24
205,2017-01-31,1.25,5.98,5.98
206,2017-02-28,1.26,-5.85,-5.85
207,2017-03-31,1.27,-2.38,-2.38
