,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn
0,1999-12-31,4.79,11.18,53320.3485596457,0.42269,9.149061333234704e-07,16.96
1,2000-01-31,4.78,-8.41,30679.9066337022,0.45968,-1.0180245678907704e-05,-16.92
2,2000-02-29,5.07,-13.36,33120.96078063427,0.50077,2.0087459547108923e-06,10.31
3,2000-03-31,5.05,4.71,34029.70853283269,0.4937,8.732400427056508e-07,-1.42
4,2000-04-30,5.06,-17.96,29334.11290262521,0.57033,-2.653137233166658e-06,13.88
5,2000-05-31,5.12,1.68,60214.03053616437,0.37507,-4.487318406817513e-06,-34.23
6,2000-06-30,5.16,12.61,57479.19123375739,0.38304,-4.373835849582859e-06,5.47
7,2000-07-31,5.13,-14.44,39580.498276685554,0.31611,-4.278969099575372e-06,-17.48
8,2000-08-31,5.12,-3.14,18470.200093132204,0.28943,-4.025571417824801e-06,-8.44
9,2000-09-30,5.09,-17.36,19919.02069940859,0.28319,1.656212388122629e-07,-1.19
10,2000-10-31,5.37,-16.2,13267.698718062693,0.21737,-1.4640230081725915e-06,-23.25
11,2000-11-30,5.32,-0.81,57584.73404730031,0.22811,-1.5110587151684396e-06,5.51
12,2000-12-31,6.08,-4.36,30835.881431808895,0.18729,-3.397339186118309e-06,-21.24
13,2001-01-31,5.27,23.09,47817.8114442647,0.23982,-3.873707808614834e-06,19.39
14,2001-02-28,5.06,-7.49,57485.88793587315,0.25773,-3.8848039766381554e-07,7.9
15,2001-03-31,4.96,-9.68,25033.82603888677,0.20266,-8.049671608207776e-08,-21.37
16,2001-04-30,5.01,11.19,15054.371571389236,0.2069,-1.731873569585444e-06,2.1
17,2001-05-31,5.01,5.02,27938.142679807403,0.23491,-1.232590811866303e-07,13.53
18,2001-06-30,4.99,-7.17,14590.418866850147,0.20994,-2.0931545692170653e-07,-10.62
19,2001-07-31,4.77,-8.5,10643.006857049006,0.19961,-1.7067748420763659e-06,-4.93
20,2001-08-31,4.54,0.66,35091.15045984302,0.20117,-1.1250548563731017e-06,0.76
21,2001-09-30,4.0,-17.28,18086.011842105265,0.182,-7.620748486271994e-08,-21.11
22,2001-10-31,4.02,12.78,40304.528477064974,0.20757,-8.273075368179602e-08,14.05
23,2001-11-30,4.04,20.45,4720.288596406956,0.2115,1.4801977525694962e-07,3.42
24,2001-12-31,4.01,10.41,42091.537110243036,0.15168,-1.0852991822386486e-06,-28.29
