,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
251,2020-11-30,0.6,14.74,14248.504613377354,5.37083,5.723014960429781e-06,26.41,26.41,0.0365,26.41,14.74
252,2020-12-31,0.61,12.5,7154.439714505714,4.78737,2.0882896554461295e-06,-10.86,-10.86,0.0241,-10.86,12.5
253,2021-01-31,0.52,6.11,22069.212547729338,2.97738,3.497171652386651e-06,29.02,29.02,0.0476,29.02,6.11
254,2021-02-28,0.59,-3.94,14377.76600064844,3.0065,-7.075241103007279e-07,-1.9,-1.9,0.0467,-1.9,-3.94
255,2021-03-31,0.59,1.25,8238.994577221494,3.53792,-3.648038365834158e-06,17.68,17.68,0.0418,17.68,1.25
256,2021-04-30,0.49,1.38,14849.610417232456,3.57366,-2.1759132015913206e-06,1.22,1.22,0.0356,1.22,1.38
257,2021-05-31,0.51,1.31,8551.55897660259,3.8972,3.568784775814132e-07,9.05,9.05,0.0253,9.05,1.31
258,2021-06-30,0.63,3.03,18477.297955859627,4.30162,8.115113621590893e-07,12.07,12.07,0.0289,12.07,3.03
259,2021-07-31,0.58,-3.4,9028.732879277724,4.2575,-9.349114892841346e-07,-1.03,-1.03,0.0185,-1.03,-3.4
260,2021-08-31,0.9,-0.97,4673.663875307197,4.2575,8.041611951816111e-06,0.0,0.0,0.0217,0.0,-0.97
261,2021-09-30,0.92,-2.48,5703.298476021906,4.38986,-1.4374726047876182e-06,4.37,4.37,0.0258,4.37,-2.48
262,2021-10-31,0.76,-2.9,10250.033751774623,4.92664,9.94908369490183e-06,16.72,16.72,0.0327,16.72,-2.9
263,2021-11-30,1.067,-3.92,10051.828685749058,5.36048,7.31823892367467e-06,8.81,8.81,0.0248,8.81,-3.92
264,2021-12-31,1.437,5.61,6641.279625385674,5.13253,3.448985496628878e-06,-4.25,-4.25,0.03,-4.25,5.61
265,2022-01-31,1.277,-10.77,6455.719706938114,3.48542,-1.3994604581356746e-05,-33.8,-33.8,0.0289,-33.8,-10.77
266,2022-02-28,1.39,0.99,7943.071728322863,4.2428,-5.411197147028448e-06,21.73,21.73,0.0365,21.73,0.99
267,2022-03-31,1.454,1.13,4927.334462172907,4.55163,4.635901529492519e-06,7.28,7.28,0.0209,7.28,1.13
268,2022-04-30,1.53,-2.39,6726.3762086015895,3.69866,-1.1592641317212582e-05,-15.89,-15.89,0.0277,-15.89,-2.39
269,2022-05-31,1.863,-0.15,4936.798521499983,3.39718,-8.026228387201399e-06,-8.15,-8.15,0.0238,-8.15,-0.15
270,2022-06-30,2.337,-12.85,14573.626587458213,2.13978,-2.21809691831478e-06,-36.18,-36.18,0.0646,-36.18,-12.85
271,2022-07-31,2.341,3.34,6846.994272977879,2.58097,1.403582964276216e-06,18.18,18.18,0.0334,18.18,3.34
