,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-6.67,-6.67
1,2000-01-31,4.78,-27.27,-27.27
2,2000-02-29,5.07,23.98,23.98
3,2000-03-31,5.05,-25.55,-25.55
4,2000-04-30,5.06,-37.17,-37.17
5,2000-05-31,5.12,-12.57,-12.57
6,2000-06-30,5.16,3.23,3.23
7,2000-07-31,5.13,-9.57,-9.57
8,2000-08-31,5.12,-12.31,-12.31
9,2000-09-30,5.09,-32.02,-32.02
10,2000-10-31,5.37,-13.11,-13.11
11,2000-11-30,5.32,-11.54,-11.54
12,2000-12-31,6.08,-34.07,-34.07
13,2001-01-31,5.27,93.26,93.26
14,2001-02-28,5.06,-15.43,-15.43
15,2001-03-31,4.96,-18.98,-18.98
16,2001-04-30,5.01,21.17,21.17
17,2001-05-31,5.01,-4.83,-4.83
18,2001-06-30,4.99,-13.24,-13.24
19,2001-07-31,4.77,-14.62,-14.62
20,2001-08-31,4.54,-17.87,-17.87
21,2001-09-30,4.0,-32.97,-32.97
22,2001-10-31,4.02,29.44,29.44
23,2001-11-30,4.04,29.56,29.56
24,2001-12-31,4.01,0.97,0.97
25,2002-01-31,3.98,40.87,40.87
26,2002-02-28,4.01,-1.97,-1.97
27,2002-03-31,4.0,-12.92,-12.92
28,2002-04-30,4.04,-22.54,-22.54
29,2002-05-31,4.28,-17.41,-17.41
30,2002-06-30,4.26,-23.71,-23.71
31,2002-07-31,4.27,10.71,10.71
32,2002-08-31,4.28,10.48,10.48
33,2002-09-30,4.28,-23.56,-23.56
34,2002-10-31,4.28,9.02,9.02
35,2002-11-30,4.28,35.71,35.71
36,2002-12-31,4.52,-28.42,-28.42
37,2003-01-31,4.34,11.76,11.76
38,2003-02-28,4.27,-10.06,-10.06
39,2003-03-31,4.27,-12.59,-12.59
40,2003-04-30,4.26,-5.15,-5.15
41,2003-05-31,4.01,4.65,4.65
42,2003-06-30,4.1,8.89,8.89
43,2003-07-31,3.75,-15.65,-15.65
44,2003-08-31,3.72,-2.35,-2.35
45,2003-09-30,3.77,-18.88,-18.88
46,2003-10-31,3.84,-1.98,-1.98
47,2003-11-30,3.78,-11.5,-11.5
48,2003-12-31,3.97,5.65,5.65
49,2004-01-31,3.78,-3.74,-3.74
50,2004-02-29,3.78,-7.61,-7.61
51,2004-03-31,3.74,-21.76,-21.76
52,2004-04-30,3.76,14.93,14.93
53,2004-05-31,3.77,-20.13,-20.13
54,2004-06-30,3.78,-7.94,-7.94
55,2004-07-31,3.77,-8.62,-8.62
56,2004-08-31,3.52,9.43,9.43
57,2004-09-30,3.55,19.13,19.13
58,2004-10-31,3.53,-14.74,-14.74
