,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn
1,2000-01-31,4.79,11.18,32.642547505617124,3.12501,0.2704133408395933,-40.77,0.0474,5.53
2,2000-02-29,4.78,-8.41,50.722841485250804,3.79215,0.44345804971900626,5.53,0.0602,21.35
3,2000-03-31,5.07,-13.36,40.7166024586216,2.83241,-0.09162304957185106,21.35,0.0678,-25.31
4,2000-04-30,5.05,4.71,39.68527795405559,2.10675,-0.569593877393265,-25.31,0.0537,-38.78
5,2000-05-31,5.06,-17.96,30.734449292252986,1.26405,-0.2891341841318088,-38.78,0.062,-40.0
6,2000-06-30,5.12,1.68,36.59405872675159,1.29682,-0.1155551052804612,-40.0,0.0836,11.02
7,2000-07-31,5.16,12.61,45.76118652771438,1.30852,0.15405335780968435,11.02,0.0716,0.9
8,2000-08-31,5.13,-14.44,23.214131148675058,1.3647,-0.08863319915075515,0.9,0.0654,4.29
9,2000-09-30,5.12,-3.14,26.875545020422013,1.01358,-0.3672290821407159,4.29,0.0489,-22.95
10,2000-10-31,5.09,-17.36,13.556732242829545,0.63905,-0.12386832410383636,-22.95,0.0699,-36.95
11,2000-11-30,5.37,-16.2,17.795215116631528,0.59808,-0.12561742724755554,-36.95,0.0504,-7.09
12,2000-12-31,5.32,-0.81,13.995814705602587,0.37687,-0.8579420839819841,-7.09,0.0347,-38.31
37,2003-01-31,4.52,-13.23,77.27430259091989,20.27669,0.006615933623922846,-31.88,0.065,-2.13
38,2003-02-28,4.34,-5.82,64.02428375870069,12.78315,0.008751754703036017,-2.13,0.0601,-34.09
39,2003-03-31,4.27,-3.15,108.08859502851703,2.42285,-0.3952685077607276,-34.09,0.0646,-81.05
40,2003-04-30,4.27,-6.59,349.35629183737785,1.82827,-6.150776365603523e-06,-81.05,0.1019,-24.54
41,2003-05-31,4.26,12.34,189.4558221460693,1.79856,-0.0202323337000418,-24.54,0.0582,-1.63
42,2003-06-30,4.01,5.34,70.0878475005973,1.70861,-0.001070019367757732,-1.63,0.0593,-5.0
43,2003-07-31,4.1,6.13,494.8998522734878,3.65915,-0.029279314507954287,-5.0,0.024,114.16
44,2003-08-31,3.75,7.08,388.4897125849491,3.95318,-0.0009097891682661258,114.16,0.0977,6.28
45,2003-09-30,3.72,5.24,181.15724492043984,2.46665,0.00979636953991468,6.28,0.0701,-37.6
46,2003-10-31,3.77,-8.24,226.9029188272266,2.00928,-0.019977331627602027,-37.6,0.0532,-18.54
47,2003-11-30,3.84,13.28,249.37938559068186,2.31963,-0.0012913232711795483,-18.54,0.0493,10.08
48,2003-12-31,3.78,3.06,159.41568294435504,1.58455,-0.14289659660603077,10.08,0.0509,-31.69
49,2004-01-31,3.97,1.54,94.88884184936352,2.46296,-0.0011615852736604581,-31.69,0.0473,-16.49
50,2004-02-29,3.78,5.4,182.8747555740224,1.88527,-0.2406655289787359,-16.49,0.0363,-24.39
51,2004-03-31,3.78,2.57,154.7947226633759,1.82442,-0.10747936408747974,-24.39,0.0627,-3.23
52,2004-04-30,3.74,0.05,115.33117866537717,1.67246,-0.0003161360924899552,-3.23,0.0339,-9.84
53,2004-05-31,3.76,-3.09,156.3365980816078,1.42917,-0.011308304071163308,-9.84,0.0292,-14.55
54,2004-06-30,3.77,-7.35,509.36694999396553,1.49002,-0.00776361520284318,-14.55,0.0995,19.51
55,2004-07-31,3.78,-2.2,414.189642695408,1.36831,0.00015704595744172085,19.51,0.0834,-8.16
56,2004-08-31,3.77,-6.46,133.18075669166214,1.3988,0.013610800159095906,-8.16,0.0618,2.22
57,2004-09-30,3.52,8.0,144.34004440950565,1.27709,-0.012116314080255597,2.22,0.0277,-8.7
58,2004-10-31,3.55,4.67,84.23179984579359,1.06428,-0.006983928769579561,-8.7,0.0453,-14.63
59,2004-11-30,3.53,0.61,115.4401412911084,1.1555,-0.005313440376637696,-14.63,0.0374,8.57
60,2004-12-31,3.26,5.01,94.77957111016421,1.03391,0.00246479421208258,8.57,0.0379,-10.53
61,2005-01-31,3.29,1.63,121.95377951228818,2.18602,0.0072214170984254335,-10.53,0.0378,5.88
62,2005-02-28,3.26,5.04,122.92080793765619,1.51799,0.048219882123700375,5.88,0.0441,-32.43
63,2005-03-31,3.28,8.09,119.30423287836695,1.63951,0.004042061795675497,-32.43,0.0543,8.0
64,2005-04-30,3.26,-4.64,41.558372224559434,1.27518,-0.11809124906315968,8.0,0.0646,-30.0
65,2005-05-31,3.29,-5.28,35.65465457739202,1.3967,0.01573889158709028,-30.0,0.029,9.52
66,2005-06-30,3.29,6.17,25.323765177841373,1.51799,6.726730488847706e-05,9.52,0.0609,19.05
67,2005-07-31,3.3,3.68,253.12428819142488,2.48971,-0.0004982364545402993,19.05,0.0401,86.36
68,2005-08-31,3.27,11.61,101.86324245634687,1.51799,0.010153792727497293,86.36,0.0909,-39.02
69,2005-09-30,3.25,-2.25,56.9982015545042,1.33582,-0.0033153348442879122,-39.02,0.074,-15.38
70,2005-10-31,3.28,12.46,31.00104519174667,1.21453,0.002395362420943523,-15.38,0.0443,-9.09
