,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,32433.421970099866,0.31354,-7.297062340435025e-06,9.48,0.0406
1,2000-01-31,16123.215470978676,0.34329,-4.029067083538845e-06,17.51,0.0376
2,2000-02-29,13280.605033361977,0.40815,2.2409442423868583e-05,-18.54,0.0306
3,2000-03-31,12785.76321547781,0.33247,2.68921567095675e-06,-4.35,0.0413
4,2000-04-30,6824.711233426801,0.35681,2.2701796739000747e-07,-26.14,0.0438
5,2000-05-31,4757.106379623058,0.26355,-1.6417856609909418e-05,26.5,0.0503
6,2000-06-30,14330.346428479806,0.31354,-1.0210846406828232e-05,-9.05,0.0229
7,2000-07-31,10802.37417320991,0.21994,6.319217251371367e-06,-4.74,0.0257
8,2000-08-31,8886.20225355869,0.20951,-1.2290028472247446e-06,-3.33,0.0437
9,2000-09-30,3723.473776842178,0.21159,-8.410874759036934e-07,2.46,0.0375
10,2000-10-31,6891.494657401181,0.21681,1.2399564758869656e-06,-15.8,0.0151
11,2000-11-30,3366.404748682186,0.16885,-5.060649738354034e-06,-10.9,0.0206
12,2000-12-31,5093.981263049728,0.16365,-2.601930159880786e-05,18.34,0.0333
13,2001-01-31,5514.044847593689,0.19367,1.0060603927179394e-05,20.9,0.0235
14,2001-02-28,3678.4025633041883,0.22306,3.0209450059459527e-05,0.93,0.0247
15,2001-03-31,1718.363790409906,0.22514,7.104170634234718e-06,2.31,0.016
16,2001-04-30,2134.3824467123536,0.23037,-1.6444653577097137e-05,30.32,0.0261
17,2001-05-31,4393.683059538967,0.30019,3.549684771393081e-06,5.04,0.0224
18,2001-06-30,4297.687070889379,0.2989,7.59261879410443e-07,-15.66,0.0593
19,2001-07-31,2348.4078278930083,0.24963,4.97979660945568e-07,8.86,0.0388
20,2001-08-31,2923.686584805749,0.27175,1.2016643065346561e-05,0.71,0.0505
21,2001-09-30,1792.8652968036529,0.29913,2.573905804459603e-05,2.11,0.0218
22,2001-10-31,990.4490532944379,0.30546,1.2381579414598138e-05,4.9,0.0351
23,2001-11-30,3544.197216737411,0.31599,-1.0287480041636677e-05,9.86,0.0319
24,2001-12-31,4472.602095555627,0.32863,-4.365471535184012e-06,30.77,0.0388
25,2002-01-31,6430.631177528068,0.42974,6.512483165620106e-06,21.46,0.0375
26,2002-02-28,5953.052218380588,0.52454,6.937168157784905e-06,3.01,0.0298
27,2002-03-31,8336.727439453236,0.54033,-1.6909055955110879e-06,-15.4,0.027
28,2002-04-30,3961.0161485335007,0.45713,-8.472390893247303e-07,-14.52,0.0247
29,2002-05-31,2139.304197084557,0.39078,-6.373079381662893e-06,-17.88,0.0312
