,Date,riskfree,activity,MA1M,actualreturn
93,2007-09-30,4.98,-1.1198669773165324e-06,26.47,26.47
94,2007-10-31,5.02,-1.2063578797499077e-06,-3.59,-3.59
95,2007-11-30,5.02,-7.40684328192114e-06,0.0,0.0
96,2007-12-31,5.02,-6.85131699017923e-08,-6.36,-6.36
97,2008-01-31,4.96,-1.0535944642795859e-06,-17.56,-17.56
98,2008-02-29,4.94,5.970708859919645e-07,7.07,7.07
99,2008-03-31,4.98,-2.259655335367549e-06,-9.9,-9.9
100,2008-04-30,4.95,-4.720684927080845e-05,-4.47,-4.47
101,2008-05-31,5.04,-9.856882814228265e-07,2.92,2.92
102,2008-06-30,5.01,-5.532824747548407e-07,-12.22,-12.22
103,2008-07-31,5.03,-3.8835289923699335e-07,-5.83,-5.83
104,2008-08-31,5.25,4.952952291739923e-06,-6.25,-6.25
105,2008-09-30,5.22,9.83539436669845e-06,-4.81,-4.81
106,2008-10-31,4.14,-2.525215510247242e-06,-43.19,-43.19
107,2008-11-30,3.99,-6.3857706398318345e-06,-2.22,-2.22
108,2008-12-31,3.02,-3.820367598686657e-07,6.06,6.06
109,2009-01-31,2.41,-3.1554269093378823e-07,14.29,14.29
110,2009-02-28,1.87,-1.718307401601322e-07,2.74,2.74
111,2009-03-31,1.73,1.3552484475445076e-06,16.0,16.0
112,2009-04-30,1.85,-5.101989070735461e-08,14.94,14.94
113,2009-05-31,1.96,4.7587185091153607e-07,-2.5,-2.5
114,2009-06-30,1.96,-1.884907446257693e-06,-7.18,-7.18
115,2009-07-31,1.95,2.959679971935604e-08,-3.87,-3.87
116,2009-08-31,1.99,3.41731558293256e-07,33.91,33.91
117,2009-09-30,2.0,-3.943544859695465e-07,49.76,49.76
118,2009-10-31,2.01,2.349619484882026e-07,-10.97,-10.97
119,2009-11-30,2.01,-2.661555063548466e-06,5.43,5.43
120,2009-12-31,2.01,-3.03542488762745e-06,25.43,25.43
121,2010-01-31,2.0,-1.7271041432295434e-06,-7.3,-7.3
122,2010-02-28,2.01,-2.613894433890222e-05,-11.24,-11.24
123,2010-03-31,2.0,-5.429142251498792e-07,2.85,2.85
124,2010-04-30,2.0,-2.647399963480588e-07,20.99,20.99
125,2010-05-31,2.0,2.2234879720067077e-07,-6.38,-6.38
126,2010-06-30,2.03,3.1914516770433365e-08,0.83,0.83
127,2010-07-31,2.28,-3.834060211751569e-08,5.46,5.46
128,2010-08-31,2.28,-9.756570886170642e-08,-6.99,-6.99
129,2010-09-30,2.27,-2.886704676777739e-07,0.83,0.83
130,2010-10-31,2.26,-3.5965866096028394e-07,2.76,2.76
131,2010-11-30,2.51,1.6319599092236651e-07,-8.6,-8.6
132,2010-12-31,2.51,1.0322092971091391e-06,-2.35,-2.35
133,2011-01-31,2.75,-1.0596294835969885e-08,6.93,6.93
134,2011-02-28,2.76,2.937135404524426e-07,-9.04,-9.04
135,2011-03-31,2.99,-2.0044014625983083e-06,-4.3,-4.3
136,2011-04-30,3.02,-4.936313230389573e-07,13.38,13.38
137,2011-05-31,3.03,-9.560216657736021e-07,-7.76,-7.76
138,2011-06-30,3.28,-8.04287334062956e-09,-5.98,-5.98
139,2011-07-31,3.27,2.9268165286785243e-08,16.43,16.43
140,2011-08-31,3.27,-8.592565476374908e-08,-17.79,-17.79
141,2011-09-30,3.28,-7.007384054305171e-09,-13.75,-13.75
