,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,55649.36272502042,3.69323,-5.5204105941005706e-06,-40.77,-40.77,0.0474,-40.77,11.18
1,2000-01-31,4.78,-8.41,32642.547505617127,3.12501,2.7041334083959326e-06,5.53,5.53,0.0602,5.53,-8.41
2,2000-02-29,5.07,-13.36,50722.84148525081,3.79215,4.434580497190063e-06,21.35,21.35,0.0678,21.35,-13.36
3,2000-03-31,5.05,4.71,40716.6024586216,2.83241,-9.162304957185106e-07,-25.31,-25.31,0.0537,-25.31,4.71
4,2000-04-30,5.06,-17.96,39685.27795405559,2.10675,-5.695938773932649e-06,-38.78,-38.78,0.062,-38.78,-17.96
5,2000-05-31,5.12,1.68,30734.449292252986,1.26405,-2.8913418413180878e-06,-40.0,-40.0,0.0836,-40.0,1.68
6,2000-06-30,5.16,12.61,36594.05872675159,1.29682,-1.1555510528046122e-06,11.02,11.02,0.0716,11.02,12.61
7,2000-07-31,5.13,-14.44,45761.18652771438,1.30852,1.5405335780968436e-06,0.9,0.9,0.0654,0.9,-14.44
8,2000-08-31,5.12,-3.14,23214.131148675056,1.3647,-8.863319915075516e-07,4.29,4.29,0.0489,4.29,-3.14
9,2000-09-30,5.09,-17.36,26875.545020422014,1.01358,-3.672290821407159e-06,-22.95,-22.95,0.0699,-22.95,-17.36
10,2000-10-31,5.37,-16.2,13556.732242829545,0.63905,-1.2386832410383636e-06,-36.95,-36.95,0.0504,-36.95,-16.2
11,2000-11-30,5.32,-0.81,17795.215116631527,0.59808,-1.2561742724755554e-06,-7.09,-7.09,0.0347,-7.09,-0.81
12,2000-12-31,6.08,-4.36,13995.814705602586,0.37687,-8.579420839819841e-06,-38.31,-38.31,0.0458,-38.31,-4.36
37,2003-01-31,4.34,-5.82,77274.30259091989,20.27669,6.615933623922846e-08,-2.13,-2.13,0.0601,-2.13,-5.82
38,2003-02-28,4.27,-3.15,64024.283758700694,12.78315,8.751754703036016e-08,-34.09,-34.09,0.0646,-34.09,-3.15
39,2003-03-31,4.27,-6.59,108088.59502851704,2.42285,-3.9526850776072754e-06,-81.05,-81.05,0.1019,-81.05,-6.59
40,2003-04-30,4.26,12.34,349356.2918373779,1.82827,-6.150776365603524e-11,-24.54,-24.54,0.0582,-24.54,12.34
41,2003-05-31,4.01,5.34,189455.8221460693,1.79856,-2.0232333700041802e-07,-1.63,-1.63,0.0593,-1.63,5.34
42,2003-06-30,4.1,6.13,70087.8475005973,1.70861,-1.070019367757732e-08,-5.0,-5.0,0.024,-5.0,6.13
43,2003-07-31,3.75,7.08,494899.8522734878,3.65915,-2.927931450795429e-07,114.16,114.16,0.0977,114.16,7.08
44,2003-08-31,3.72,5.24,388489.7125849491,3.95318,-9.097891682661259e-09,6.28,6.28,0.0701,6.28,5.24
45,2003-09-30,3.77,-8.24,181157.24492043984,2.46665,9.796369539914679e-08,-37.6,-37.6,0.0532,-37.6,-8.24
46,2003-10-31,3.84,13.28,226902.91882722662,2.00928,-1.9977331627602028e-07,-18.54,-18.54,0.0493,-18.54,13.28
47,2003-11-30,3.78,3.06,249379.38559068186,2.31963,-1.2913232711795482e-08,10.08,10.08,0.0509,10.08,3.06
48,2003-12-31,3.97,1.54,159415.68294435504,1.58455,-1.4289659660603077e-06,-31.69,-31.69,0.0473,-31.69,1.54
49,2004-01-31,3.78,5.4,94888.84184936351,2.46296,-1.161585273660458e-08,-16.49,-16.49,0.0363,-16.49,5.4
50,2004-02-29,3.78,2.57,182874.7555740224,1.88527,-2.406655289787359e-06,-24.39,-24.39,0.0627,-24.39,2.57
51,2004-03-31,3.74,0.05,154794.7226633759,1.82442,-1.0747936408747975e-06,-3.23,-3.23,0.0339,-3.23,0.05
52,2004-04-30,3.76,-3.09,115331.17866537717,1.67246,-3.1613609248995524e-09,-9.84,-9.84,0.0292,-9.84,-3.09
53,2004-05-31,3.77,-7.35,156336.5980816078,1.42917,-1.1308304071163308e-07,-14.55,-14.55,0.0995,-14.55,-7.35
