,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-20.0,-20.0
1,2000-01-31,4.78,4.07,4.07
2,2000-02-29,5.07,-13.19,-13.19
3,2000-03-31,5.05,-34.69,-34.69
4,2000-04-30,5.06,-27.48,-27.48
5,2000-05-31,5.12,21.05,21.05
6,2000-06-30,5.16,19.37,19.37
7,2000-07-31,5.13,-22.64,-22.64
8,2000-08-31,5.12,14.63,14.63
9,2000-09-30,5.09,-39.17,-39.17
10,2000-10-31,5.37,-34.25,-34.25
11,2000-11-30,5.32,-17.31,-17.31
12,2000-12-31,6.08,-45.45,-45.45
13,2001-01-31,5.27,39.17,39.17
14,2001-02-28,5.06,0.0,0.0
15,2001-03-31,4.96,-22.42,-22.42
16,2001-04-30,5.01,-0.78,-0.78
17,2001-05-31,5.01,137.01,137.01
18,2001-06-30,4.99,-20.0,-20.0
19,2001-07-31,4.77,-2.94,-2.94
20,2001-08-31,4.54,-3.03,-3.03
21,2001-09-30,4.0,-26.55,-26.55
22,2001-10-31,4.02,20.19,20.19
23,2001-11-30,4.04,19.23,19.23
24,2001-12-31,4.01,-23.97,-23.97
25,2002-01-31,3.98,-14.41,-14.41
26,2002-02-28,4.01,-27.46,-27.46
27,2002-03-31,4.0,46.43,46.43
28,2002-04-30,4.04,-32.2,-32.2
29,2002-05-31,4.28,-10.79,-10.79
30,2002-06-30,4.26,-24.16,-24.16
31,2002-07-31,4.27,-28.23,-28.23
32,2002-08-31,4.28,21.15,21.15
33,2002-09-30,4.28,-25.99,-25.99
34,2002-10-31,4.28,20.11,20.11
35,2002-11-30,4.28,50.34,50.34
36,2002-12-31,4.52,-25.11,-25.11
37,2003-01-31,4.34,-5.99,-5.99
38,2003-02-28,4.27,28.09,28.09
39,2003-03-31,4.27,-16.67,-16.67
40,2003-04-30,4.26,2.55,2.55
41,2003-05-31,4.01,33.72,33.72
42,2003-06-30,4.1,-6.88,-6.88
43,2003-07-31,3.75,2.77,2.77
