,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,17526.13704339772,0.4472,-1.7274846216434336e-07,-7.65,0.052,-7.65,11.18
1,2000-01-31,4.78,-8.41,23013.186512516415,0.46351,-3.0701994352076442e-06,0.71,0.0416,0.71,-8.41
2,2000-02-29,5.07,-13.36,11909.525797958335,0.38791,-1.898445812449989e-06,-17.37,0.041,-17.37,-13.36
3,2000-03-31,5.05,4.71,19143.60983784009,0.48521,-5.627944124293872e-06,25.08,0.0593,25.08,4.71
4,2000-04-30,5.06,-17.96,16177.687326406749,0.34385,-9.076427249682779e-06,-23.2,0.064,-23.2,-17.96
5,2000-05-31,5.12,1.68,5077.98855044286,0.30178,1.7098971273682679e-06,-12.24,0.0461,-12.24,1.68
6,2000-06-30,5.16,12.61,6971.8302776152395,0.27416,-2.314703643663264e-06,-3.14,0.0463,-3.14,12.61
7,2000-07-31,5.13,-14.44,5007.10004255737,0.26627,5.514152375434929e-06,-2.76,0.0271,-2.76,-14.44
8,2000-08-31,5.12,-3.14,3847.414826123834,0.27614,-5.286877962883752e-07,3.7,0.0226,3.7,-3.14
9,2000-09-30,5.09,-17.36,40831.52796052631,0.32216,-7.06956414150988e-07,16.95,0.063,16.95,-17.36
10,2000-10-31,5.37,-16.2,15513.016105464818,0.24326,4.186251721409134e-09,-24.49,0.0323,-24.49,-16.2
11,2000-11-30,5.32,-0.81,5179.413503422526,0.22354,2.0830718329555924e-06,-10.53,0.0205,-10.53,-0.81
12,2000-12-31,6.08,-4.36,6464.497994384276,0.21762,-1.6748433571049935e-05,0.3,0.0248,0.3,-4.36
13,2001-01-31,5.27,23.09,7545.215761962203,0.23088,-5.592172282660889e-06,9.06,0.023,9.06,23.09
14,2001-02-28,5.06,-7.49,12085.182744949972,0.24175,-5.289367700768254e-07,8.48,0.0274,8.48,-7.49
15,2001-03-31,4.96,-9.68,6708.6709826959195,0.21361,-3.889038939477519e-07,-11.66,0.017,-11.66,-9.68
16,2001-04-30,5.01,11.19,6284.736444519053,0.21553,-1.3169378582155781e-05,1.05,0.0152,1.05,11.19
17,2001-05-31,5.01,5.02,7175.075682135033,0.23088,-8.428243493115293e-08,7.12,0.0183,7.12,5.02
18,2001-06-30,4.99,-7.17,4062.008535934761,0.22704,2.2116374769217507e-06,-6.33,0.0214,-6.33,-7.17
19,2001-07-31,4.77,-8.5,2310.6135213924376,0.20146,3.4995964110980586e-06,-11.27,0.0182,-11.27,-8.5
20,2001-08-31,4.54,0.66,4359.336750958515,0.20274,7.559790225927902e-07,0.48,0.0242,0.48,0.66
21,2001-09-30,4.0,-17.28,4094.9636203540645,0.19698,-1.379000097610799e-06,-10.85,0.0459,-10.85,-17.28
22,2001-10-31,4.02,12.78,7006.908782829709,0.21489,1.903296458625786e-05,9.09,0.0356,9.09,12.78
23,2001-11-30,4.04,20.45,4370.985778413379,0.23663,3.88320933949852e-07,9.47,0.0171,9.47,20.45
24,2001-12-31,4.01,10.41,9028.28918037487,0.24879,-2.0599987376762298e-07,6.58,0.0288,6.58,10.41
25,2002-01-31,3.98,6.92,10641.238694257501,0.28245,5.501103808817799e-06,19.02,0.026,19.02,6.92
26,2002-02-28,4.01,10.36,4928.97190612761,0.29404,-2.5158805575326753e-06,0.84,0.0238,0.84,10.36
27,2002-03-31,4.0,8.98,8469.754601060951,0.32088,-1.2836466005056111e-05,9.13,0.0232,9.13,8.98
28,2002-04-30,4.04,-4.87,5320.816875017479,0.25927,-7.165766750983438e-07,-19.2,0.0233,-19.2,-4.87
29,2002-05-31,4.28,-5.25,2261.417835963576,0.24829,4.4031284227443596e-07,-4.35,0.0206,-4.35,-5.25
30,2002-06-30,4.26,-12.73,1455.268083733601,0.22633,-7.799850366028505e-07,-12.71,0.0301,-12.71,-12.73
31,2002-07-31,4.27,-3.77,1108.502728744025,0.22572,-2.8747526690049388e-06,-0.4,0.023,-0.4,-3.77
32,2002-08-31,4.28,1.76,2846.5052075528247,0.2367,-1.692198749419999e-08,6.01,0.0171,6.01,1.76
33,2002-09-30,4.28,-12.08,13178.974128314921,0.21718,-7.644907793811485e-09,-8.25,0.0437,-8.25,-12.08
34,2002-10-31,4.28,2.13,4484.041446351583,0.20925,-2.1468369516401237e-05,-3.65,0.0173,-3.65,2.13
35,2002-11-30,4.28,8.38,4362.8778241360305,0.23182,-6.078509581241599e-06,8.88,0.0096,8.88,8.38
36,2002-12-31,4.52,-13.23,3127.24655710264,0.19582,-1.7287155499404314e-08,-15.53,0.0219,-15.53,-13.23
37,2003-01-31,4.34,-5.82,1866.584704655696,0.17971,-2.282939125220055e-06,-5.61,0.0218,-5.61,-5.82
38,2003-02-28,4.27,-3.15,1420.358370865417,0.17141,2.4071754285351895e-06,-3.02,0.0119,-3.02,-3.15
39,2003-03-31,4.27,-6.59,1360.499472963002,0.15896,-3.7502551437110498e-06,-7.27,0.0255,-7.27,-6.59
40,2003-04-30,4.26,12.34,1995.2608334959984,0.16963,-2.334600606422513e-08,4.39,0.0264,4.39,12.34
41,2003-05-31,4.01,5.34,1539.8260766006097,0.17793,-3.256498689137159e-09,5.08,0.0135,5.08,5.34
42,2003-06-30,4.1,6.13,2391.107453276289,0.18209,-3.484350679291116e-08,2.33,0.017,2.33,6.13
43,2003-07-31,3.75,7.08,2179.582318813011,0.17082,-2.0826935455789796e-08,-6.19,0.012,-6.19,7.08
44,2003-08-31,3.72,5.24,1208.7407177033492,0.172,-1.905973516943303e-06,-0.34,0.0133,-0.34,5.24
45,2003-09-30,3.77,-8.24,1050.7918916265828,0.16607,-9.04692934802984e-07,-3.45,0.0116,-3.45,-8.24
46,2003-10-31,3.84,13.28,1039.2544810126583,0.16785,-1.9266710333447628e-07,0.89,0.0122,0.89,13.28
47,2003-11-30,3.78,3.06,1095.198104265403,0.16963,-4.0996215320504315e-08,1.42,0.0122,1.42,3.06
48,2003-12-31,3.97,1.54,1246.0901549463647,0.16963,-3.0972637187238534e-08,-0.17,0.0149,-0.17,1.54
49,2004-01-31,3.78,5.4,1054.3482687364549,0.15843,-3.850772321519624e-07,-2.98,0.0127,-2.98,5.4
