,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,relativeMA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,5600.0,9370.0,7389.0,5500.0,18150.0,9799.0,5500.0,6050.0,5720.0,5500.0,1.9493150684931508,-56.92,-33.49,-16.42,-29.2,22482.0,0.0594,0.0829,0.0527,0.0556,4.79,-35.03
1,2000-01-31,5450.0,6090.0,5706.0,5320.0,18150.0,9550.0,5320.0,5580.0,5448.0,5320.0,1.1454074287359632,-39.78,-66.97,-4.39,-34.73,4428.0,0.052,0.0344,0.0506,0.0568,4.78,-2.68
2,2000-02-29,7000.0,7000.0,5869.0,5070.0,18150.0,9374.0,5070.0,7000.0,6458.0,6000.0,10.085106382978724,-14.22,-44.66,23.24,-1.41,17360.0,0.0537,0.0642,0.0517,0.0638,5.07,27.27
3,2000-03-31,6500.0,9200.0,7418.0,6500.0,18150.0,9376.0,5070.0,7490.0,6856.0,6500.0,-1.6532921810699588,16.07,-43.48,-16.67,-9.72,10172.0,0.0569,0.0671,0.0538,0.0576,5.05,-7.14
4,2000-04-30,5290.0,6760.0,5869.0,5000.0,18150.0,9230.0,5000.0,5500.0,5320.0,5100.0,0.0992465575474149,-3.82,-42.19,-3.82,-38.49,5208.0,0.0595,0.0526,0.0552,0.0623,5.06,-25.39
5,2000-05-31,5210.0,7350.0,5636.0,4710.0,18150.0,8907.0,4710.0,5210.0,5088.0,4890.0,0.5774616079494128,-25.57,-35.28,7.87,-44.28,10702.0,0.0677,0.0917,0.0592,0.072,5.12,-1.51
6,2000-06-30,4760.0,5800.0,5130.0,4760.0,18150.0,8617.0,4710.0,5000.0,4927.0,4760.0,0.6084090909090909,-26.77,-15.0,-2.86,-44.0,5686.0,0.0611,0.0399,0.0601,0.0648,5.16,-8.11
7,2000-07-31,4290.0,4950.0,4612.0,4250.0,18150.0,7989.0,4250.0,4360.0,4308.0,4250.0,0.2554054054054054,-18.9,-21.28,-3.49,-74.0,2632.0,0.0617,0.041,0.0567,0.0618,5.13,-9.87
8,2000-08-31,12850.0,12850.0,6378.0,4490.0,14800.0,7203.0,4250.0,12850.0,9938.0,7390.0,-375.99999999999994,146.64,83.57,99.84,-0.39,20366.0,0.0664,0.0729,0.0603,0.0596,5.12,199.53
9,2000-09-30,37000.0,40000.0,27585.0,11200.0,40000.0,8338.0,4250.0,40000.0,37230.0,34900.0,3.3423469387755103,655.1,452.24,21.91,196.0,131270.0,0.0771,0.1096,0.0683,0.0833,5.09,279.1
10,2000-10-31,24700.0,37950.0,27675.0,21400.0,40000.0,9874.0,4250.0,24700.0,23240.0,21500.0,2.7511709940438327,475.76,366.92,-5.36,172.93,58590.0,0.0832,0.091,0.0724,0.0975,5.37,-33.24
11,2000-11-30,23200.0,28000.0,25793.0,23200.0,40000.0,11387.0,4250.0,25000.0,24190.0,23200.0,0.569287991498406,107.14,347.88,-3.73,188.2,14686.0,0.0771,0.0335,0.0725,0.0901,5.32,7.91
