,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,25500,29200,27163,24000,50800,34726,24000,25500,24640,24000,-12.07,-22.73,-40.7,-5.2,-23.42,9446,0.0297,0.0374,0.0344,0.0322,4.79,-12.07
1,2000-01-31,23650,25000,23395,22000,50800,33804,22000,24100,23950,23650,-7.25,-23.83,-43.35,5.11,-24.92,11722,0.0316,0.0368,0.0338,0.0341,4.78,-7.25
2,2000-02-29,20300,24800,21218,17700,50800,33159,17700,21200,19580,18400,-15.77,-27.76,-50.25,14.69,-24.81,15876,0.0356,0.0501,0.0359,0.0412,5.07,-15.77
3,2000-03-31,31050,31050,25280,22500,50800,32806,17700,31050,26510,24000,52.96,21.76,-0.8,31.57,1.8,31068,0.0442,0.0688,0.0407,0.054,5.05,52.96
4,2000-04-30,21100,31050,23213,20100,50800,32097,17700,21500,21000,20500,-14.57,-12.45,-29.67,-2.31,-37.94,5644,0.0478,0.0625,0.0425,0.0586,5.06,-14.57
5,2000-05-31,19750,22000,19800,17800,50800,30386,17700,19750,18980,18150,-6.4,-2.71,-32.59,6.18,-48.16,3350,0.0482,0.0332,0.0402,0.0545,5.12,-6.4
6,2000-06-30,23900,23900,20405,19000,50800,28619,17700,23900,21780,20600,25.79,-11.48,-6.27,18.32,-47.47,62880,0.0489,0.0409,0.0404,0.0468,5.16,25.79
7,2000-07-31,17850,23100,19878,17850,40800,26391,17700,18600,18210,17850,-25.31,-15.4,-24.52,-1.92,-57.25,16312,0.0479,0.0244,0.0402,0.0347,5.13,-25.31
8,2000-08-31,18650,19500,18705,18050,35600,24553,17700,18950,18770,18650,4.48,-5.57,-8.13,0.54,-51.18,3950,0.0419,0.0155,0.0399,0.0301,5.12,4.48
9,2000-09-30,19250,20300,18845,17400,35000,23386,17400,19250,18570,18250,2.67,-16.3,-25.39,9.07,-39.08,6656,0.0377,0.0322,0.0402,0.0259,5.09,2.67
10,2000-10-31,21500,24000,21850,19500,35000,22624,17400,23550,21900,20400,11.69,20.45,1.9,-8.9,-30.76,44436,0.0365,0.0567,0.0422,0.0381,5.37,11.69
11,2000-11-30,21900,22500,21395,20500,31050,21658,17400,22100,21590,21050,7.35,15.57,15.26,5.8,-25.26,55042,0.0351,0.0233,0.0419,0.0394,5.32,7.35
12,2000-12-31,22400,24150,22270,21200,31050,21278,17400,24000,22780,22100,6.41,22.07,8.21,-6.67,-7.44,74324,0.0331,0.0299,0.0416,0.0389,6.08,6.41
13,2001-01-31,20700,22400,20435,19700,31050,20998,17400,20800,20310,19750,-7.59,-3.72,15.97,3.5,-12.47,27320,0.0327,0.0257,0.041,0.0283,5.27,-7.59
14,2001-02-28,22900,22900,21008,20200,31050,20981,17400,22900,21990,21100,15.95,5.77,21.49,5.05,8.02,36534,0.0326,0.0156,0.0387,0.0242,5.06,15.95
15,2001-03-31,21650,23700,22238,21600,31050,20783,17400,22300,21930,21650,-5.46,-3.35,12.47,0.0,-19.81,6328,0.0315,0.0214,0.0347,0.0218,4.96,-5.46
16,2001-04-30,22150,22400,21875,21100,24150,20698,17400,22200,22040,21850,2.31,6.49,8.58,0.0,4.98,6976,0.0227,0.012,0.0301,0.0177,5.01,2.31
17,2001-05-31,23400,23400,22120,21600,24150,20900,17400,23400,22850,22400,5.64,2.18,6.85,5.41,18.48,21558,0.0205,0.0119,0.0286,0.0156,5.01,5.64
18,2001-06-30,23500,24950,24050,23000,24950,21219,17400,24100,23560,23150,2.62,6.82,4.91,-3.69,2.17,9352,0.0176,0.021,0.0268,0.0151,4.99,2.62
19,2001-07-31,21900,24000,22393,21300,24950,21422,17400,22000,21730,21400,-6.81,-1.13,5.8,2.34,22.69,2236,0.0171,0.0167,0.0259,0.017,4.77,-6.81
20,2001-08-31,21600,23000,22470,21600,24950,21765,17400,22750,22410,21600,-1.37,-7.69,-5.68,-5.26,15.82,1870,0.0166,0.0158,0.0259,0.0166,4.54,-1.37
21,2001-09-30,21500,23900,21973,20000,24950,21985,19100,22000,21660,21300,-5.29,-7.13,-1.38,-4.02,17.17,50170,0.0211,0.0394,0.0267,0.0252,4.0,-5.29
22,2001-10-31,25250,25800,23313,21550,25800,22128,19700,25250,24650,24100,17.44,15.3,14.0,-2.13,17.44,56718,0.0234,0.0259,0.0226,0.0285,4.02,17.44
23,2001-11-30,24400,25400,24118,23100,25800,22374,19700,25400,24870,24400,-2.01,8.44,7.49,-0.41,11.42,26720,0.0235,0.017,0.0222,0.029,4.04,-2.01
24,2001-12-31,24900,28000,25653,24150,28000,22635,19700,28000,26400,24700,2.05,15.81,7.56,-9.78,11.16,60966,0.0259,0.034,0.0226,0.0267,4.01,2.05
25,2002-01-31,23100,24100,23140,22600,28000,22862,20000,23800,23240,22750,-7.23,-8.51,5.48,2.21,11.59,19311,0.0263,0.0152,0.0219,0.0237,3.98,-7.23
26,2002-02-28,23700,23850,22963,21700,28000,23018,20000,23850,23710,23650,-0.42,-2.87,4.41,0.64,3.49,20436,0.0261,0.0156,0.0218,0.0231,4.01,-0.42
27,2002-03-31,25300,26850,24755,23350,28000,23222,20000,25650,25510,25300,6.75,1.61,17.67,-5.07,15.0,20597,0.0226,0.022,0.0217,0.0178,4.0,6.75
28,2002-04-30,23800,27000,25318,23800,28000,23521,20000,25000,24150,23800,-5.93,4.62,-4.42,-4.03,7.45,8038,0.0213,0.0167,0.0221,0.0189,4.04,-5.93
29,2002-05-31,25400,26950,26288,25250,28000,23882,20000,26500,25910,25250,6.72,7.17,4.1,-5.05,8.55,18376,0.0223,0.0122,0.0229,0.0217,4.28,6.72
30,2002-06-30,24250,27750,25965,23650,28000,24025,20000,26400,24880,23650,-7.79,-5.46,-2.61,-10.19,4.75,11574,0.0208,0.0283,0.0235,0.0231,4.26,-7.79
31,2002-07-31,24750,25200,24515,23700,28000,24207,20000,24750,24130,23700,2.06,3.99,7.14,2.06,13.01,5350,0.0208,0.0168,0.0235,0.023,4.27,2.06
32,2002-08-31,26300,26400,25520,24550,28000,24463,20000,26300,26100,26000,8.68,4.16,10.97,-0.38,16.89,1922,0.0205,0.0095,0.0234,0.0194,4.28,8.68
33,2002-09-30,26150,28850,27560,26150,28850,24935,21550,27850,27210,26150,-0.57,7.84,3.36,-6.61,21.63,4059,0.0193,0.0171,0.0211,0.0151,4.28,-0.57
34,2002-10-31,27100,29000,27625,26450,29000,25301,21700,28200,27670,27100,3.63,9.49,13.87,-1.28,7.33,2436,0.0179,0.0196,0.0204,0.0159,4.28,3.63
35,2002-11-30,28700,28700,27653,27150,29000,25603,21700,28700,28300,27950,2.5,10.38,9.96,3.8,15.73,3308,0.0177,0.009,0.0199,0.0159,4.28,2.5
36,2002-12-31,24600,29000,27675,24600,29000,25756,21700,27900,26290,24600,-14.29,-5.93,1.44,-11.83,-1.2,8041,0.0165,0.0214,0.0187,0.0179,4.52,-14.29
37,2003-01-31,23800,24900,24148,23500,29000,25837,21700,24000,23720,23500,-3.25,-13.61,-1.65,0.63,4.62,3352,0.0156,0.0109,0.0183,0.0151,4.34,-3.25
38,2003-02-28,23750,24850,23650,22900,29000,25871,22900,24850,24100,23750,0.64,-17.25,-8.65,-0.21,0.21,1100,0.0165,0.0164,0.0184,0.0168,4.27,0.64
39,2003-03-31,25650,25650,23903,23100,29000,25794,22900,25650,24930,24350,8.0,4.27,-1.91,5.99,1.38,5536,0.0156,0.0105,0.0176,0.0129,4.27,8.0
40,2003-04-30,26450,26600,25955,25300,29000,25843,22900,26600,26270,26000,4.13,11.13,-3.99,0.57,11.13,1832,0.0138,0.0089,0.0169,0.0124,4.26,4.13
41,2003-05-31,29600,29600,27703,26100,29600,25961,22900,29600,29150,28500,11.91,24.63,3.14,2.07,17.23,2838,0.0148,0.0147,0.0161,0.0117,4.01,11.91
42,2003-06-30,30150,32300,30945,29100,32300,26362,22900,30150,29510,29100,1.86,18.7,22.56,0.84,24.33,2780,0.0139,0.0194,0.0151,0.015,4.1,1.86
43,2003-07-31,30000,32000,30510,30000,32300,26893,22900,30900,30360,30000,-0.5,13.42,26.05,-2.28,21.21,480,0.0146,0.0122,0.015,0.0168,3.75,-0.5
44,2003-08-31,30650,30700,30188,29500,32300,27278,22900,30700,30560,30100,1.83,3.55,29.05,1.16,17.88,1738,0.0135,0.0092,0.015,0.014,3.72,1.83
45,2003-09-30,30300,31300,30990,30250,32300,27547,22900,31300,31050,30300,-1.14,0.5,19.29,-3.19,15.87,634,0.014,0.0133,0.0147,0.0129,3.77,-1.14
46,2003-10-31,33000,33000,31795,30800,33000,27919,22900,33000,32390,32000,8.91,10.0,24.76,4.27,21.77,2102,0.0146,0.0137,0.0142,0.0123,3.84,8.91
47,2003-11-30,33300,35300,34045,32750,35300,28443,22900,33550,33210,32750,4.06,8.47,14.43,0.3,16.03,992,0.0137,0.0133,0.0144,0.0134,3.78,4.06
48,2003-12-31,31500,33500,32490,30750,35300,28854,22900,32650,31820,30750,-5.41,3.96,4.48,-3.52,28.05,2146,0.0125,0.0135,0.0134,0.0135,3.97,-5.41
49,2004-01-31,31300,31500,31175,30500,35300,29429,22900,31500,31040,30500,-0.63,-5.01,4.33,-0.63,31.51,2758,0.0125,0.0144,0.0135,0.0126,3.78,-0.63
50,2004-02-29,33600,34900,32743,31000,35300,30148,23100,34900,34190,33500,8.39,0.15,9.62,0.3,37.99,716,0.015,0.0225,0.0143,0.0165,3.78,8.39
51,2004-03-31,31850,33500,32268,31550,35300,30907,25300,32500,32260,31850,-5.21,1.11,5.12,-0.78,24.17,616,0.015,0.0128,0.0144,0.0165,3.74,-5.21
52,2004-04-30,33000,35000,33058,31900,35300,31534,26100,34500,33800,33000,1.54,5.43,0.15,-5.71,24.76,1548,0.0148,0.0126,0.0146,0.0167,3.76,1.54
53,2004-05-31,33600,35000,34310,33000,35300,32051,29100,34900,34280,33600,1.82,0.0,0.9,-3.72,13.51,2420,0.0153,0.0166,0.0147,0.0141,3.77,1.82
54,2004-06-30,33450,35300,34128,33450,35300,32330,29500,34100,33700,33450,-1.62,2.92,6.19,-1.04,10.95,693,0.0147,0.0073,0.0139,0.013,3.78,-1.62
55,2004-07-31,34700,34700,33293,32100,35300,32563,29500,34700,34320,34000,3.74,5.15,10.86,2.06,15.67,1548,0.016,0.0194,0.0142,0.0149,3.77,3.74
56,2004-08-31,37950,38900,36488,34700,38900,33103,30250,38500,37590,37000,9.37,12.95,12.95,-1.56,23.82,741,0.0144,0.016,0.0147,0.0151,3.52,9.37
57,2004-09-30,38300,38300,36970,35800,38900,33558,30500,38300,37210,36500,3.51,14.5,17.85,2.68,26.4,1672,0.0152,0.0175,0.0149,0.0169,3.55,3.51
58,2004-10-31,39500,39500,37888,37000,39500,34088,30500,39500,37960,37000,5.9,16.18,18.98,4.22,23.44,792,0.0155,0.0163,0.0152,0.0162,3.53,5.9
59,2004-11-30,39100,40100,39540,39000,40100,34585,30500,39800,39460,39000,-1.01,5.68,15.0,-2.25,17.42,1048,0.0152,0.0133,0.0151,0.0154,3.26,-1.01
60,2004-12-31,37100,40300,39258,37100,40300,35176,30500,39600,38760,37100,-5.12,-3.13,10.91,-4.01,17.78,1582,0.0155,0.0171,0.0154,0.0155,3.29,-5.12
61,2005-01-31,38700,40000,39125,37750,40300,35788,31000,39700,39080,38700,4.31,-2.03,11.53,-0.9,23.64,318,0.0158,0.0128,0.0156,0.0155,3.26,4.31
62,2005-02-28,48800,49000,43870,38500,49000,36646,31550,48800,48440,48100,25.77,25.13,31.89,1.35,45.24,894,0.0219,0.04,0.0184,0.027,3.28,25.77
63,2005-03-31,53000,57900,53640,52300,57900,38504,31900,53000,52900,52500,8.61,42.86,38.38,0.76,66.41,418,0.0246,0.0321,0.0202,0.0309,3.26,8.61
64,2005-04-30,58000,60000,55560,53700,60000,40282,32100,58500,57220,55700,9.43,49.48,46.84,6.23,74.7,612,0.0277,0.0353,0.0221,0.0357,3.29,9.43
65,2005-05-31,55400,57400,56325,55200,60000,42099,32100,56400,55620,55400,-4.48,13.52,41.69,-1.07,64.88,458,0.0278,0.0129,0.022,0.0234,3.29,-4.48
66,2005-06-30,56100,59000,56005,54500,60000,43961,32100,59000,57540,56100,1.26,5.85,51.21,0.54,67.71,1796,0.0273,0.0149,0.0223,0.0159,3.3,1.26
67,2005-07-31,55000,57000,55850,54500,60000,45861,34700,56200,55180,54700,-4.68,-5.17,41.75,-0.72,61.76,1242,0.0273,0.0119,0.0219,0.0125,3.27,-4.68
68,2005-08-31,57800,57800,55325,54500,60000,47578,35800,57800,56100,55500,5.09,4.33,18.44,3.21,52.31,840,0.0182,0.0111,0.0217,0.0124,3.25,5.09
69,2005-09-30,69700,69700,65320,59300,69700,49841,37000,69700,67200,65300,25.36,24.24,31.51,2.5,81.98,1338,0.015,0.0219,0.0221,0.0156,3.28,25.36
70,2005-10-31,72000,77400,73545,68600,77400,52737,37100,74400,72020,68800,3.3,30.91,24.14,-3.49,82.28,953,0.0169,0.025,0.0227,0.0202,3.51,3.3
71,2005-11-30,77000,77000,74815,73000,77400,55825,37100,77000,76300,74500,11.92,38.49,38.99,4.05,96.93,488,0.0172,0.0137,0.0227,0.0204,3.5,11.92
72,2005-12-31,70200,79300,75425,70000,79300,58864,37100,72500,71360,70000,-8.83,2.03,21.66,-4.62,80.46,1174,0.0174,0.0142,0.0229,0.019,3.76,-8.83
73,2006-01-31,59600,69300,63380,57500,79300,61033,38500,60000,59720,59300,-15.1,-17.22,8.36,-0.67,54.01,832,0.0225,0.0349,0.0246,0.0238,3.76,-15.1
74,2006-02-28,62900,63200,61115,58900,79300,62138,50400,63200,62900,62500,5.36,-17.78,12.32,0.48,28.89,1447,0.0226,0.016,0.0221,0.0241,3.99,5.36
75,2006-03-31,64900,64900,63245,62500,79300,62995,53700,64900,63580,62500,3.18,-7.55,-6.89,2.53,22.45,493,0.0201,0.0071,0.0202,0.0222,3.97,3.18
76,2006-04-30,66500,69900,67640,64700,79300,63930,54500,67400,66640,66000,5.89,11.39,-3.34,-1.92,13.68,1180,0.0188,0.0113,0.0179,0.0118,3.97,5.89
77,2006-05-31,60500,67000,63265,60000,79300,64502,54500,60600,60380,60100,-9.02,-3.82,-21.43,0.67,9.21,867,0.0185,0.0108,0.0177,0.0102,3.96,-9.02
78,2006-06-30,63000,64500,62350,59800,79300,65066,54500,63000,62680,62400,4.13,-1.72,-10.26,-0.94,12.3,1656,0.0177,0.0134,0.0177,0.0122,4.21,4.13
79,2006-07-31,58300,62900,60650,58300,79300,65488,54500,59100,58540,58300,-7.46,-12.33,-2.18,-1.19,6.0,3409,0.0117,0.0088,0.0176,0.0114,4.22,-7.46
80,2006-08-31,60300,60300,59625,58700,79300,65860,57500,60300,59880,59600,3.43,-0.33,-4.13,1.52,4.33,1320,0.0102,0.0066,0.0174,0.0102,4.49,3.43
81,2006-09-30,61000,62300,61210,60300,79300,65554,57500,61900,61240,60900,2.35,-2.56,-4.09,-1.29,-11.34,2005,0.01,0.0081,0.0162,0.0081,4.48,2.35
82,2006-10-31,59600,61000,60155,59400,79300,64480,57500,60300,59920,59600,-2.3,2.23,-10.38,-1.81,-17.22,1564,0.0098,0.0088,0.0149,0.0079,4.48,-2.3
83,2006-11-30,63900,65200,62340,60100,79300,63373,57500,65100,64080,63600,7.04,7.21,5.62,-1.99,-17.01,1346,0.0095,0.0092,0.0146,0.0087,4.49,7.04
84,2006-12-31,62000,75000,67495,62000,75000,62696,57500,75000,68780,62000,-2.52,1.81,-0.64,-12.43,-11.43,32179,0.0184,0.0418,0.0181,0.0249,4.6,-2.52
85,2007-01-31,58200,59400,57400,56000,75000,62123,56000,58200,57640,57000,-6.13,-2.35,-0.17,2.46,-2.35,2958,0.0186,0.009,0.0153,0.0253,4.61,-6.13
86,2007-02-28,59400,60100,59020,57300,75000,61969,56000,59900,59700,59400,2.77,-6.6,-1.0,-0.5,-5.56,4247,0.0187,0.0086,0.0149,0.0251,4.55,2.77
87,2007-03-31,61100,61100,59715,58800,75000,61677,56000,61100,60320,60000,2.86,-1.45,0.16,2.0,-4.68,2319,0.0187,0.0078,0.0149,0.0083,4.63,2.86
88,2007-04-30,63300,64000,62425,61100,75000,61243,56000,64000,63200,62600,3.6,9.9,6.03,1.44,-4.81,3803,0.0187,0.0076,0.0147,0.008,4.88,3.6
89,2007-05-31,70900,71300,67620,63600,75000,61603,56000,71300,70620,69400,12.01,19.36,10.95,1.43,17.19,3344,0.0192,0.0143,0.0149,0.0101,4.56,12.01
90,2007-06-30,67900,71000,69630,67900,75000,62202,56000,69900,69200,67900,-4.37,12.42,9.52,-2.86,8.47,2453,0.0097,0.0091,0.0147,0.011,4.52,-4.37
91,2007-07-31,75000,75000,72090,68900,75000,63149,56000,75000,74500,73900,10.46,18.48,28.87,1.76,28.64,2322,0.0102,0.0113,0.0148,0.0122,4.76,10.46
92,2007-08-31,83000,83000,76930,73000,83000,64671,56000,83000,80720,77500,10.67,17.07,39.73,7.79,37.65,4738,0.0123,0.0189,0.0157,0.0141,4.98,10.67
93,2007-09-30,88600,96800,88790,81000,96800,66716,56000,91000,89300,88400,10.2,27.3,47.42,0.23,45.48,2779,0.0173,0.0312,0.0179,0.0219,4.98,10.2
94,2007-10-31,98300,98300,91815,89000,98300,69459,56000,98300,93980,91000,10.95,31.07,55.29,8.62,64.93,3413,0.019,0.0207,0.0186,0.0238,5.02,10.95
95,2007-11-30,95000,95800,91540,89500,98400,72127,56000,95000,91620,90100,-1.66,16.28,33.24,6.15,48.67,1736,0.0195,0.0175,0.0191,0.0237,5.02,-1.66
96,2007-12-31,81900,95200,91265,81900,98400,73857,56000,88400,85540,81900,-9.1,-7.56,17.67,-5.97,32.1,8317,0.0208,0.0215,0.0162,0.0194,5.02,-9.1
