,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn
170,2014-02-28,2.51,-3.96,7.834032747567601,2.1269,0.06720694393650999,0.29,0.0188,8.44
171,2014-03-31,2.49,2.18,7.13409887646649,2.24966,1.2073999919462963,8.44,0.0197,5.77
172,2014-04-30,2.49,-0.12,3.2755125464831023,2.09551,-0.23946758013495426,5.77,0.0191,-6.85
173,2014-05-31,2.5,-1.08,4.03669004768011,1.99843,0.42507700397341364,-6.85,0.0148,-4.63
174,2014-06-30,2.49,1.81,4.483272326106169,1.93275,0.29356439849009325,-4.63,0.0154,-3.29
175,2014-07-31,2.49,0.24,4.725758661377986,1.83568,-0.9089041225303718,-3.29,0.0213,-5.02
176,2014-08-31,2.49,3.5,4.823582886597938,2.00414,0.9966809874539839,-5.02,0.0145,10.73
177,2014-09-30,2.24,-0.97,4.905251474935934,2.18398,0.588404571715885,10.73,0.0185,8.97
178,2014-10-31,2.24,-3.26,5.88173991062298,2.02983,0.5830737728807032,8.97,0.0152,-7.06
179,2014-11-30,1.97,-2.46,5.85064224220485,1.97275,0.24364046733540098,-7.06,0.0218,-4.03
180,2014-12-31,1.99,4.27,3.260037402065541,1.86426,0.01944841772682052,-4.03,0.0245,-5.5
181,2015-01-31,2.03,-3.8,5.262463091115695,1.68444,-1.747694981879339,-5.5,0.0107,-14.24
182,2015-02-28,2.0,2.39,5.072664752986676,1.75665,-3.3026591728890953,-14.24,0.0209,3.73
183,2015-03-31,1.99,-0.29,15.088323598029465,2.05443,-0.6364378227325821,3.73,0.0133,16.95
184,2015-04-30,1.74,2.31,19.16269705726048,2.1567,-1.539817182243908,16.95,0.0258,2.14
185,2015-05-31,1.74,3.55,27.496432073500657,2.57484,-0.11574251107426632,2.14,0.024,21.59
186,2015-06-30,1.74,-2.85,24.02522834383678,2.72222,0.587738632098373,21.59,0.0441,5.72
187,2015-07-31,1.5,-3.12,22.54390005318031,2.46654,-0.5263193785643296,5.72,0.0353,-9.39
188,2015-08-31,1.5,-3.16,10.428528587929131,2.16873,-0.20037199380881685,-9.39,0.0507,-12.07
189,2015-09-30,1.52,-4.71,5.764307202222173,2.31615,-0.4531094174518582,-12.07,0.048,4.48
190,2015-10-31,1.49,1.68,10.626143312663565,1.91907,-1.6341337472002455,4.48,0.0287,-17.14
191,2015-11-30,1.5,5.37,14.722795699165726,2.52067,0.4826805379147641,-17.14,0.0358,31.35
192,2015-12-31,1.5,-2.07,9.51961087232194,2.89065,0.4549152068891164,31.35,0.0386,14.68
193,2016-01-31,1.52,-1.58,61.29562004863875,3.83337,-0.30208521259557747,14.68,0.0356,61.24
194,2016-02-29,1.5,-3.78,20.831823051768318,3.41931,0.247334737470909,61.24,0.0838,-10.8
195,2016-03-31,1.52,1.09,13.45780568917614,3.69978,-0.24244370077975413,-10.8,0.0414,8.2
196,2016-04-30,1.53,4.79,11.965891817065845,2.99189,-1.4298141397393784,8.2,0.0238,-19.13
197,2016-05-31,1.5,-0.13,6.864800304296407,3.05869,-0.4198993334014347,-19.13,0.0239,2.23
198,2016-06-30,1.48,-0.64,12.957074138728753,2.95183,0.17152886713645996,2.23,0.0255,-3.49
199,2016-07-31,1.23,1.0,6.8785889765648855,2.97854,-0.5393498629436373,-3.49,0.0286,0.9
200,2016-08-31,1.24,3.78,5.391994536048728,2.66598,-0.12850183014544606,0.9,0.024,-10.49
201,2016-09-30,1.25,2.14,7.579920114796615,2.69803,0.4175978872309519,-10.49,0.0179,-0.49
202,2016-10-31,1.26,0.0,5.1261865242132725,2.47631,-0.44591518129083507,-0.49,0.0308,-8.22
203,2016-11-30,1.24,-0.61,6.626920850303718,2.65263,0.9589662797658622,-8.22,0.0189,9.6
204,2016-12-31,1.23,-0.88,5.590394414565779,2.79153,0.9956130604840425,9.6,0.0339,7.07
205,2017-01-31,1.27,2.81,5.660103276544387,2.30889,-0.6037301778240479,7.07,0.0263,-6.22
206,2017-02-28,1.25,3.11,7.587425653697141,2.57981,1.1113723467322472,-6.22,0.0202,11.96
207,2017-03-31,1.26,-0.16,5.382181390712433,2.60339,1.1492473366260285,11.96,0.0237,0.91
208,2017-04-30,1.27,3.92,5.603362549271852,2.74474,1.968201126765928,0.91,0.0192,5.91
209,2017-05-31,1.21,2.12,5.680882992202472,2.90967,1.3947068360321664,5.91,0.0154,6.01
210,2017-06-30,1.26,6.08,4.989837021556182,2.87431,0.9583112669920452,6.01,0.0177,0.41
211,2017-07-31,1.29,2.35,4.3540795225117,2.6505,0.27700390752253856,0.41,0.0191,-7.79
212,2017-08-31,1.24,0.91,4.657197227091697,2.45024,-2.194725019773246,-7.79,0.0176,-7.56
213,2017-09-30,1.27,-2.01,5.865667443382224,2.55626,0.21401679033249119,-7.56,0.019,0.46
214,2017-10-31,1.27,2.47,6.601165311477893,2.6505,1.8062402427555542,0.46,0.0198,3.69
215,2017-11-30,1.26,5.47,8.192839804688425,3.16881,2.5083223671711883,3.69,0.0158,19.56
216,2017-12-31,1.53,-1.55,4.256214522813915,3.26305,2.0320645348745443,19.56,0.0319,3.36
217,2018-01-31,1.58,-1.89,5.869062435539069,3.18272,0.8083575959256103,3.36,0.0276,5.78
218,2018-02-28,1.54,2.66,4.0903812304523175,2.94544,-0.8606788990013341,5.78,0.0243,-10.21
219,2018-03-31,1.51,-6.71,3.373918225810048,2.89994,-0.37257196764857914,-10.21,0.0214,-1.54
220,2018-04-30,1.54,0.56,4.89148649912388,2.66112,-1.861922854732379,-1.54,0.0196,-8.24
221,2018-05-31,1.51,2.84,3.9829027071015624,2.38818,-2.1206738339759412,-8.24,0.0225,-10.26
222,2018-06-30,1.55,-3.91,3.0475666827443058,2.28583,-1.664950283997529,-10.26,0.015,-7.8
223,2018-07-31,1.57,-5.23,3.0834180333359047,2.37683,0.10990186331060886,-7.8,0.0173,3.98
224,2018-08-31,1.52,-0.74,3.1345033180950996,2.4678,0.4590333231004039,3.98,0.0251,3.83
225,2018-09-30,1.55,0.88,3.2872971314044586,2.68388,1.548238610382689,3.83,0.0173,10.8
226,2018-10-31,1.65,1.11,3.5941625182488144,1.97196,-0.7791921613915581,10.8,0.0162,-26.53
227,2018-11-30,1.57,-12.15,3.0975068183517176,2.33133,0.9058211150677764,-26.53,0.0242,14.27
228,2018-12-31,1.76,3.38,3.440526565935018,2.43313,0.4019069214153926,14.27,0.0201,7.08
229,2019-01-31,1.89,-4.19,2.255924102957941,2.29089,0.716069369921556,7.08,0.0182,3.92
230,2019-02-28,1.81,9.13,2.4421447114567103,2.26927,0.4085838179700433,3.92,0.0124,0.0
231,2019-03-31,1.8,0.77,2.6085136680007124,2.20444,-0.6149698951765453,0.0,0.0137,-2.86
232,2019-04-30,1.81,-2.58,2.9150257111286324,2.20444,-2.510493539790808,-2.86,0.016,0.0
233,2019-05-31,1.79,3.05,2.4933591881263477,1.99048,-1.4519010357057507,0.0,0.0142,-9.71
234,2019-06-30,1.79,-7.38,1.8660018888540058,1.99265,-0.6317605857058866,-9.71,0.012,-1.18
235,2019-07-31,1.83,4.84,1.595589679862651,1.88891,-0.4953737758966302,-1.18,0.0153,-5.21
236,2019-08-31,1.56,-4.02,1.849877322998661,1.79164,-1.2139368524982648,-5.21,0.0176,-6.22
237,2019-09-30,1.54,-3.7,1.3580596945067425,1.80245,0.24048668793568068,-6.22,0.0182,0.6
238,2019-10-31,1.58,5.62,1.8984581438741657,2.06829,1.6612693310499707,0.6,0.0108,14.75
239,2019-11-30,1.29,0.83,1.7324325068785453,1.98184,0.5740208685075537,14.75,0.0155,-0.33
240,2019-12-31,1.28,-0.28,1.9627122947745044,2.19996,0.510685095458165,-0.33,0.0122,11.01
241,2020-01-31,1.39,6.14,2.1414787529497543,1.80438,0.8355808930522286,11.01,0.0161,-4.23
242,2020-02-29,1.25,-3.15,2.548359934382318,1.67812,0.36677726628016705,-4.23,0.0135,-8.57
