,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,1710,3200,2521,1710,6380,3439,900,2090,1914,1710,-68.91,-49.78,-18.96,-80.63,2958,0.068,0.0823,0.0617,0.0556,4.79,-45.71
1,2000-01-31,1950,2215,1872,1465,6380,3449,900,1950,1900,1765,-46.13,-44.29,5.41,-81.09,5496,0.0727,0.0874,0.0613,0.0737,4.78,14.04
2,2000-02-29,1775,1980,1736,1460,6380,3459,1035,1900,1748,1640,-35.45,-61.83,14.52,-73.39,5076,0.067,0.0776,0.0621,0.0823,5.07,-8.97
3,2000-03-31,1975,3150,2224,1765,6380,3449,1460,2280,2036,1860,15.5,-60.5,-10.23,-59.69,7330,0.074,0.0994,0.0675,0.0839,5.05,11.27
4,2000-04-30,1600,1975,1749,1515,6380,3259,1460,1650,1587,1515,-17.95,-54.93,-5.6,-59.08,3932,0.076,0.053,0.0681,0.0786,5.06,-24.35
5,2000-05-31,1285,1635,1470,1240,6380,3027,1240,1450,1295,1240,-27.61,-55.54,-6.88,-68.66,15080,0.0774,0.057,0.0683,0.0728,5.12,-19.69
6,2000-06-30,1155,1395,1244,1150,6380,2817,1150,1215,1181,1155,-40.77,-32.46,-3.75,-64.68,13230,0.0704,0.04,0.069,0.0498,5.16,-8.33
7,2000-07-31,1280,1530,1344,1205,6380,2623,1150,1340,1290,1260,-20.0,-34.36,4.49,-63.43,10510,0.0669,0.0608,0.0689,0.0535,5.13,10.82
8,2000-08-31,2125,2125,1607,1200,6380,2399,1150,2125,1688,1400,65.37,19.72,31.58,-56.0,68396,0.074,0.1127,0.0725,0.0769,5.12,66.02
9,2000-09-30,1440,2890,1948,1420,5000,2138,1150,1560,1462,1420,23.08,-22.58,-15.29,-71.37,91504,0.0742,0.1066,0.0737,0.0922,5.09,-10.56
10,2000-10-31,1150,1525,1221,1010,4000,1874,1010,1310,1156,1010,-10.16,-28.13,13.86,-68.23,75150,0.0788,0.084,0.0766,0.0981,5.37,-20.14
11,2000-11-30,750,1125,864,715,3200,1635,715,850,811,750,-59.46,-40.48,-6.25,-74.05,46120,0.0822,0.0845,0.0794,0.086,5.32,-42.75
12,2000-12-31,775,920,817,720,3150,1506,715,920,831,775,-46.18,-34.32,-15.76,-57.18,106342,0.0861,0.0749,0.0787,0.0795,6.08,-8.82
