,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,11694.81745858386,0.26236,-7.989479033895244e-07,3.1,0.0547
1,2000-01-31,14680.76735621532,0.85677,-1.0421996449192102e-06,5.26,0.055
2,2000-02-29,15357.481377484215,0.87472,1.9288810744370353e-05,12.82,0.0515
3,2000-03-31,8457.344232572177,0.98686,3.446805002500445e-05,-37.85,0.0637
4,2000-04-30,6818.992077398325,0.628,-1.5308519547785283e-05,-12.5,0.081
5,2000-05-31,11944.598035603436,0.54949,-2.9721059379535072e-06,7.09,0.0672
6,2000-06-30,8088.418094341064,0.52483,-5.613951359969016e-06,-13.68,0.0358
7,2000-07-31,7157.726424348139,0.45304,-5.749444053794105e-07,3.22,0.0325
8,2000-08-31,3673.047488456951,0.46764,-3.1617854325368635e-06,-23.24,0.035
9,2000-09-30,2784.8406328614346,0.37959,-1.2347098513661959e-05,-31.76,0.0405
10,2000-10-31,2837.659734966985,0.25905,1.8878502941840675e-07,14.73,0.0504
11,2000-11-30,6591.4370548735,0.32745,-7.339423819470886e-07,9.32,0.0295
12,2000-12-31,3276.461699450338,0.34202,2.1030704728628376e-06,5.08,0.0687
13,2001-01-31,10535.923609897036,0.45686,7.437305419798162e-07,-11.21,0.0314
14,2001-02-28,4755.995914844462,0.41764,-7.559633684732983e-07,-17.06,0.0557
15,2001-03-31,6444.053447715752,0.34637,-5.781055913752489e-06,2.88,0.0576
16,2001-04-30,12999.118114343508,0.35636,6.911318350937846e-07,18.4,0.0368
17,2001-05-31,15214.672088837075,0.42192,3.0133513089016727e-06,-1.43,0.0356
18,2001-06-30,14193.904899567504,0.39341,-1.5817965391592522e-06,-21.38,0.0336
19,2001-07-31,4263.611955539052,0.30932,-5.724680859815538e-06,-11.75,0.0382
20,2001-08-31,4472.818171871515,0.27296,1.07007692682186e-06,-18.69,0.0824
21,2001-09-30,10258.481568697536,0.24801,7.097857227612552e-07,-1.15,0.0351
22,2001-10-31,6074.7796387172075,0.24518,1.0546994103951273e-06,19.19,0.0288
23,2001-11-30,6924.146746364874,0.29222,1.4711041836843336e-06,25.13,0.0891
24,2001-12-31,26002.611980182082,0.35493,5.007236917967054e-06,15.66,0.0555
25,2002-01-31,23605.76535003637,0.21236,-2.1553096401154584e-06,2.36,0.0416
26,2002-02-28,17765.928798994057,0.24001,1.760915558911983e-07,56.68,0.0596
27,2002-03-31,29144.768462785123,0.37606,7.985698168308696e-07,-26.67,0.0591
28,2002-04-30,21168.219206347494,0.27577,1.5547362911915442e-06,-2.54,0.0515
29,2002-05-31,8064.590811715179,0.26877,1.2946718113398199e-06,-26.54,0.0403
30,2002-06-30,5832.22237955863,0.19393,-6.962589052867658e-06,10.27,0.0424
31,2002-07-31,6208.562687549542,0.21383,-3.2492413331847155e-06,17.13,0.0582
32,2002-08-31,17468.33508541803,0.23449,5.695280060526679e-07,-38.36,0.0477
33,2002-09-30,8443.460817836572,0.14452,9.56321690554083e-07,7.14,0.045
34,2002-10-31,7209.0820801269565,0.15484,-1.7049886590115972e-06,25.29,0.0547
35,2002-11-30,8066.931297133903,0.1991,8.025896134117237e-07,-31.48,0.0562
36,2002-12-31,12222.205936453534,0.13642,-8.062418938095139e-06,-7.03,0.0408
37,2003-01-31,10190.966978124194,0.33717,-1.9099562510102264e-05,1.24,0.0392
38,2003-02-28,7608.860548975043,0.32049,-5.826957818118845e-08,-12.23,0.0874
39,2003-03-31,14161.76130633498,0.28128,1.4920860915338799e-07,41.11,0.0683
40,2003-04-30,37130.74532312925,0.37341,9.230951871386325e-07,43.31,0.061
