,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,5590,8200,7030,5590,30900,16233,5590,6600,5984,5590,-48.94,-67.73,-14.66,-7.02,1412918,0.0604,0.0626,0.0583,0.0645,4.79,-19.57
1,2000-01-31,6240,6340,5527,4450,30900,15508,4450,6240,5726,4980,-32.9,-56.39,22.35,-0.65,2049626,0.0586,0.0602,0.0581,0.0634,4.78,11.63
2,2000-02-29,4695,6330,5161,4380,30900,14844,4380,5070,4738,4520,-30.96,-62.77,6.46,-29.88,1347234,0.0605,0.0537,0.059,0.0588,5.07,-20.42
3,2000-03-31,5600,6150,5532,4740,30900,13940,4380,5630,5502,5220,0.18,-48.36,10.02,-34.9,1972762,0.0588,0.0503,0.0597,0.0543,5.05,19.28
4,2000-04-30,4540,5630,5026,4500,30900,12816,4380,5010,4734,4540,-23.05,-52.21,-6.97,-62.39,750022,0.0567,0.041,0.0594,0.0496,5.06,-13.03
5,2000-05-31,3480,4610,3691,2955,28250,11398,2955,3700,3378,3145,-25.88,-55.5,7.08,-71.3,1392318,0.0569,0.0694,0.0594,0.0554,5.12,-23.35
6,2000-06-30,3720,4040,3521,3185,26300,9607,2955,3860,3654,3400,-33.93,-33.45,11.04,-76.14,1846882,0.0561,0.0584,0.0579,0.0577,5.16,10.71
7,2000-07-31,3755,4690,4204,3750,21550,8053,2955,3990,3867,3750,-17.29,-39.82,-0.66,-73.76,904218,0.056,0.0576,0.0572,0.0621,5.13,0.94
8,2000-08-31,3920,4230,3969,3785,18200,6729,2955,3985,3956,3920,12.64,-16.51,1.69,-68.04,731618,0.0523,0.0287,0.0562,0.0465,5.12,4.39
9,2000-09-30,3420,3985,3532,3030,15650,5689,2955,3480,3384,3285,-5.0,-38.93,6.54,-69.15,820786,0.0512,0.0426,0.0568,0.0441,5.09,-14.18
10,2000-10-31,3070,3390,3107,2810,11550,4994,2810,3250,3120,3050,-18.24,-32.38,-4.66,-66.99,464340,0.0512,0.0411,0.0535,0.0377,5.37,-10.23
11,2000-11-30,3245,3700,3473,3200,8200,4454,2810,3385,3317,3245,-18.36,-3.42,1.41,-58.5,490400,0.0435,0.0284,0.0514,0.0418,5.32,6.39
12,2000-12-31,3700,3700,3438,3245,6340,4183,2810,3700,3592,3520,12.63,8.82,3.64,-36.97,1121680,0.0398,0.0183,0.0486,0.0354,6.08,12.12
13,2001-01-31,3630,3735,3506,3320,6330,4004,2810,3720,3589,3465,18.24,-3.33,-2.42,-41.83,1371078,0.0367,0.0435,0.0473,0.0357,5.27,-1.89
14,2001-02-28,3390,3560,3356,3220,6150,3853,2810,3460,3362,3280,0.15,-14.82,0.59,-25.0,1031660,0.0366,0.0276,0.0453,0.031,5.06,-2.16
15,2001-03-31,3000,3260,3076,2965,5600,3647,2810,3045,3025,3000,-18.92,-12.28,-0.5,-46.71,403914,0.0334,0.0192,0.0431,0.0312,4.96,-11.5
16,2001-04-30,3020,3060,2854,2535,4690,3475,2535,3060,3016,2990,-15.64,-0.98,1.68,-33.48,514856,0.0309,0.028,0.0421,0.0252,5.01,0.67
17,2001-05-31,3920,4215,3796,3370,4690,3482,2535,4215,4084,3920,15.63,20.8,-3.33,12.64,994154,0.0292,0.0283,0.0383,0.0273,5.01,29.8
18,2001-06-30,4170,4475,4046,3805,4690,3527,2535,4475,4230,4000,37.85,12.7,-4.14,15.83,935002,0.0304,0.0341,0.0357,0.0306,4.99,1.71
19,2001-07-31,3860,4280,3951,3710,4475,3508,2535,3860,3790,3710,27.81,6.34,1.58,2.8,198216,0.0269,0.0204,0.0323,0.0278,4.77,-7.43
20,2001-08-31,4100,4900,4384,4060,4900,3543,2535,4610,4334,4100,4.59,20.94,-8.17,4.59,828474,0.0281,0.0319,0.0325,0.0291,4.54,6.22
