,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-16.83,-16.83
1,2000-01-31,4.78,-8.33,-8.33
2,2000-02-29,5.07,-23.9,-23.9
3,2000-03-31,5.05,19.39,19.39
4,2000-04-30,5.06,-19.7,-19.7
5,2000-05-31,5.12,-9.63,-9.63
6,2000-06-30,5.16,10.28,10.28
7,2000-07-31,5.13,-4.34,-4.34
8,2000-08-31,5.12,1.85,1.85
9,2000-09-30,5.09,-15.24,-15.24
10,2000-10-31,5.37,-18.91,-18.91
11,2000-11-30,5.32,-0.46,-0.46
12,2000-12-31,6.08,4.82,4.82
13,2001-01-31,5.27,-2.3,-2.3
14,2001-02-28,5.06,-1.29,-1.29
15,2001-03-31,4.96,-13.04,-13.04
16,2001-04-30,5.01,9.25,9.25
17,2001-05-31,5.01,14.42,14.42
18,2001-06-30,4.99,-3.3,-3.3
19,2001-07-31,4.77,-6.83,-6.83
20,2001-08-31,4.54,2.59,2.59
21,2001-09-30,4.0,-12.24,-12.24
22,2001-10-31,4.02,-0.21,-0.21
23,2001-11-30,4.04,14.13,14.13
24,2001-12-31,4.01,21.71,21.71
25,2002-01-31,3.98,24.39,24.39
26,2002-02-28,4.01,7.59,7.59
27,2002-03-31,4.0,-18.59,-18.59
28,2002-04-30,4.04,-7.95,-7.95
29,2002-05-31,4.28,-1.1,-1.1
30,2002-06-30,4.26,6.09,6.09
31,2002-07-31,4.27,-7.51,-7.51
32,2002-08-31,4.28,3.22,3.22
33,2002-09-30,4.28,-6.54,-6.54
34,2002-10-31,4.28,5.17,5.17
35,2002-11-30,4.28,10.06,10.06
36,2002-12-31,4.52,-11.43,-11.43
37,2003-01-31,4.34,-8.23,-8.23
38,2003-02-28,4.27,-3.93,-3.93
39,2003-03-31,4.27,-2.23,-2.23
40,2003-04-30,4.26,11.48,11.48
41,2003-05-31,4.01,7.31,7.31
42,2003-06-30,4.1,-0.31,-0.31
43,2003-07-31,3.75,23.29,23.29
44,2003-08-31,3.72,3.99,3.99
45,2003-09-30,3.77,-5.51,-5.51
46,2003-10-31,3.84,32.32,32.32
47,2003-11-30,3.78,24.49,24.49
48,2003-12-31,3.97,25.95,25.95
49,2004-01-31,3.78,3.15,3.15
50,2004-02-29,3.78,19.11,19.11
51,2004-03-31,3.74,-10.35,-10.35
52,2004-04-30,3.76,-19.58,-19.58
53,2004-05-31,3.77,-7.75,-7.75
54,2004-06-30,3.78,6.73,6.73
55,2004-07-31,3.77,9.69,9.69
56,2004-08-31,3.52,19.07,19.07
57,2004-09-30,3.55,22.56,22.56
58,2004-10-31,3.53,26.32,26.32
59,2004-11-30,3.26,18.83,18.83
60,2004-12-31,3.29,-10.56,-10.56
61,2005-01-31,3.26,-14.57,-14.57
62,2005-02-28,3.28,60.0,60.0
63,2005-03-31,3.26,-22.32,-22.32
64,2005-04-30,3.29,-26.16,-26.16
65,2005-05-31,3.29,7.11,7.11
66,2005-06-30,3.3,16.35,16.35
67,2005-07-31,3.27,-0.9,-0.9
68,2005-08-31,3.25,4.11,4.11
69,2005-09-30,3.28,14.04,14.04
70,2005-10-31,3.51,-8.46,-8.46
71,2005-11-30,3.5,-8.44,-8.44
72,2005-12-31,3.76,-4.67,-4.67
73,2006-01-31,3.76,0.0,0.0
74,2006-02-28,3.99,-15.45,-15.45
