,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn
0,1999-12-31,4.79,11.18,8156.645397838198,0.6332,4.773054662162929e-06,-0.4
1,2000-01-31,4.78,-8.41,3085.997607694436,0.61185,9.933590347216071e-06,-3.37
2,2000-02-29,5.07,-13.36,3794.2784671179725,0.54024,5.976833981247591e-06,-12.24
3,2000-03-31,5.05,4.71,8023.9068582920145,0.63447,9.275384898362414e-06,17.44
4,2000-04-30,5.06,-17.96,5534.163361196891,0.615,3.256369489253306e-06,0.51
5,2000-05-31,5.12,1.68,5417.21392229833,0.4592,-1.4493115314732238e-05,-25.33
6,2000-06-30,5.16,12.61,5588.208643179526,0.61512,6.469160510198683e-07,13.86
7,2000-07-31,5.13,-14.44,2542.409322228372,0.50081,9.483500224124206e-06,-8.87
8,2000-08-31,5.12,-3.14,6095.715475857947,0.54142,1.2455412155406924e-05,8.11
9,2000-09-30,5.09,-17.36,3850.1601189706453,0.56713,7.747856573991391e-06,0.36
10,2000-10-31,5.37,-16.2,6280.763400890751,0.58134,1.5669329708881352e-06,2.51
11,2000-11-30,5.32,-0.81,6884.351046593036,0.64563,1.2990769091091625e-05,10.93
12,2000-12-31,6.08,-4.36,4666.31104311756,0.60909,1.3943515062703568e-05,-4.15
13,2001-01-31,5.27,23.09,8103.597918188459,0.59555,-8.40041721880441e-06,-2.22
14,2001-02-28,5.06,-7.49,5870.998298379699,0.66324,8.316857290425787e-06,15.29
15,2001-03-31,4.96,-9.68,4444.356436844674,0.59555,8.023887208522962e-07,-10.2
16,2001-04-30,5.01,11.19,8492.377417071,0.54954,-2.447669660803254e-05,-7.73
17,2001-05-31,5.01,5.02,12178.953959244978,0.67677,7.619308065460533e-06,23.15
18,2001-06-30,4.99,-7.17,5143.403073286052,0.69302,8.261886858480817e-06,6.67
19,2001-07-31,4.77,-8.5,5059.9661820026095,0.60296,-1.092454274295306e-06,-9.47
20,2001-08-31,4.54,0.66,3560.45749952675,0.67645,1.1395096591342077e-05,12.19
21,2001-09-30,4.0,-17.28,6934.248385261453,0.79093,1.199880712057706e-05,12.59
22,2001-10-31,4.02,12.78,6532.140612396916,0.76101,-1.3737128227854858e-06,-3.78
23,2001-11-30,4.04,20.45,9116.617717823972,0.80654,-6.161633155160616e-06,6.71
24,2001-12-31,4.01,10.41,16110.977070788946,0.93793,-5.614652015590552e-06,18.78
25,2002-01-31,3.98,6.92,9273.964532578879,0.97328,-1.1832816002206348e-06,12.07
26,2002-02-28,4.01,10.36,6224.487046171329,0.96364,3.849894218179806e-06,0.0
27,2002-03-31,4.0,8.98,9037.129385246137,1.13228,2.1500823169691533e-06,17.5
28,2002-04-30,4.04,-4.87,5451.523413551564,1.09615,8.555560972330115e-06,-3.19
29,2002-05-31,4.28,-5.25,3308.8917829511065,1.07205,6.223901343776857e-06,-2.2
30,2002-06-30,4.26,-12.73,3422.404253960875,0.90944,-3.0606435083687416e-06,-16.11
31,2002-07-31,4.27,-3.77,2907.80825110714,0.96002,6.634025672057649e-06,5.56
32,2002-08-31,4.28,1.76,2534.486808496337,0.93714,-9.433306201845827e-06,-1.27
33,2002-09-30,4.28,-12.08,2948.110374435785,0.86728,-4.5032784621269663e-08,-7.46
34,2002-10-31,4.28,2.13,4937.515824621709,0.84319,-4.458863000204575e-06,-2.78
35,2002-11-30,4.28,8.38,4305.824737843892,0.94678,4.436570264408377e-06,10.24
36,2002-12-31,4.52,-13.23,3069.9179587012445,0.86728,3.738983228998444e-06,-8.4
37,2003-01-31,4.34,-5.82,3671.9037215125363,0.73588,5.1030889657172234e-06,-0.28
38,2003-02-28,4.27,-3.15,2206.755688666496,0.7328,8.070381909831853e-06,0.56
39,2003-03-31,4.27,-6.59,4477.914053701296,0.77175,2.676703117552201e-06,5.31
40,2003-04-30,4.26,12.34,7098.574102406136,0.92754,6.77128961338964e-06,17.53
41,2003-05-31,4.01,5.34,6767.818118069145,1.01466,-4.529605871932675e-06,9.39
42,2003-06-30,4.1,6.13,4060.1552797251975,1.21963,1.592429002338603e-05,20.2
43,2003-07-31,3.75,7.08,8255.898957791003,1.20233,1.0642598852584648e-07,-1.42
44,2003-08-31,3.72,5.24,3770.621221696104,1.12448,-1.0610632143202624e-06,-5.11
45,2003-09-30,3.77,-8.24,4955.64033273457,1.10718,1.96228022976191e-06,-1.54
46,2003-10-31,3.84,13.28,6046.520574042332,1.49643,7.515107828170062e-06,35.16
47,2003-11-30,3.78,3.06,5762.533641544699,1.93757,-2.9294605440198444e-06,36.59
48,2003-12-31,3.97,1.54,4189.150643725756,2.06732,1.7044310730908118e-06,6.7
49,2004-01-31,3.78,5.4,3782.906338581346,1.61348,-6.172567533459458e-06,-10.25
50,2004-02-29,3.78,2.57,2796.4051068221297,1.50441,1.6289500553916083e-06,-6.1
51,2004-03-31,3.74,0.05,5191.9043997844765,1.66989,1.1866073398134897e-05,11.0
52,2004-04-30,3.76,-3.09,3797.9181709113363,1.69622,2.0225869518909776e-06,1.58
53,2004-05-31,3.77,-7.35,3712.6038223446058,1.67741,8.165410730207267e-06,-1.11
