,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,143964.83903251425,3.91639,1.1957626345475124e-06,-20.84,-20.84,0.0725,-20.84,11.18
1,2000-01-31,4.78,-8.41,52429.082757553886,3.41977,-2.3775836954085656e-06,-9.33,-9.33,0.0481,-9.33,-8.41
2,2000-02-29,5.07,-13.36,56428.11158227621,3.27519,-3.670386798103119e-08,-5.96,-5.96,0.0674,-5.96,-13.36
3,2000-03-31,5.05,4.71,81701.14074497376,3.05517,-6.565808030728685e-07,-6.72,-6.72,0.0661,-6.72,4.71
4,2000-04-30,5.06,-17.96,23125.12803955201,2.3511,-1.538246517017567e-06,-30.22,-30.22,0.0498,-30.22,-17.96
5,2000-05-31,5.12,1.68,22642.318876602407,1.86076,-4.406136312593723e-07,-20.86,-20.86,0.0818,-20.86,1.68
6,2000-06-30,5.16,12.61,41839.66536010813,1.9362,1.661377740586113e-08,7.69,7.69,0.07,7.69,12.61
7,2000-07-31,5.13,-14.44,48702.969413045925,1.72875,1.4229962348487308e-07,-10.71,-10.71,0.0532,-10.71,-14.44
8,2000-08-31,5.12,-3.14,20516.942366684878,1.73503,-1.185143322603209e-06,0.36,0.36,0.039,0.36,-3.14
9,2000-09-30,5.09,-17.36,16381.466462606348,1.53387,-2.8127473871792265e-06,-17.57,-17.57,0.0366,-17.57,-17.36
10,2000-10-31,5.37,-16.2,19152.728412598684,1.19441,1.2096224412469707e-07,-22.13,-22.13,0.0407,-22.13,-16.2
11,2000-11-30,5.32,-0.81,24999.91500904159,1.19441,-3.109537816242922e-08,-5.0,-5.0,0.0268,-5.0,-0.81
12,2000-12-31,6.08,-4.36,24359.316825396825,0.95553,1.8032409828208503e-07,-24.75,-24.75,0.0385,-24.75,-4.36
13,2001-01-31,5.27,23.09,49698.79207007838,1.42915,9.963526592092616e-08,42.95,42.95,0.051,42.95,23.09
14,2001-02-28,5.06,-7.49,23473.62298210013,1.30837,-3.199236735273553e-07,-4.88,-4.88,0.0278,-4.88,-7.49
