,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,10800,12850,11404,9980,16000,10692,5950,12800,11900,10800,8.0,-18.8,-4.42,-4.0,101.55,4826610,0.045,0.0625,0.0443,0.0503,4.79,8.0
1,2000-01-31,12450,13700,12288,11100,16000,11008,5950,12450,11660,11100,15.28,16.36,-12.32,5.96,87.2,1186648,0.0436,0.0555,0.0448,0.0567,4.78,15.28
2,2000-02-29,11700,14100,12845,11700,16000,11437,6350,12650,12270,11700,-1.68,22.77,-13.97,-4.88,107.08,1427336,0.0476,0.0506,0.0459,0.0556,5.07,-1.68
3,2000-03-31,10700,12600,11023,10050,16000,11803,8000,10950,10760,10500,-8.55,-0.93,-16.08,1.9,54.72,1240070,0.0502,0.0319,0.0469,0.0476,5.05,-8.55
4,2000-04-30,6910,10700,8260,6890,16000,11741,6890,7350,7052,6900,-35.72,-41.93,-34.19,-11.07,-29.22,951366,0.0537,0.0541,0.0477,0.0504,5.06,-35.72
5,2000-05-31,6300,7410,6199,5010,16000,11438,5010,6300,5936,5550,-8.83,-46.15,-41.12,21.15,-29.61,1408828,0.0548,0.0607,0.049,0.0538,5.12,-8.83
6,2000-06-30,7380,7380,6704,6240,16000,11139,5010,7380,7110,6570,23.0,-29.71,-31.67,14.77,-35.83,1571540,0.051,0.0464,0.0493,0.0544,5.16,23.0
7,2000-07-31,6290,8600,7385,6130,15400,10545,5010,6540,6354,6130,-14.77,-8.97,-49.48,-6.4,-55.7,716538,0.0494,0.0359,0.0469,0.0484,5.13,-14.77
8,2000-08-31,6500,6900,6397,5910,14100,9882,5010,6900,6590,6220,3.34,3.17,-44.44,4.0,-51.85,1149680,0.0455,0.0345,0.047,0.0388,5.12,3.34
9,2000-09-30,5000,6900,5613,4510,14100,9318,4510,5050,4878,4675,-27.54,-31.51,-54.34,10.86,-61.54,486334,0.0474,0.046,0.0483,0.0395,5.09,-27.54
10,2000-10-31,3400,4860,4029,3400,14100,8647,3400,3760,3533,3400,-32.0,-45.95,-50.8,-10.99,-68.22,699462,0.0455,0.0438,0.0496,0.0415,5.37,-32.0
11,2000-11-30,3880,4300,3974,3570,14100,7974,3400,4060,3910,3680,13.28,-43.77,-35.33,8.68,-63.74,873714,0.0429,0.0417,0.0491,0.0471,5.32,13.28
12,2000-12-31,3870,4300,4021,3700,14100,7442,3400,4135,3951,3800,5.16,-17.22,-41.1,-6.41,-69.77,539542,0.0408,0.0273,0.0472,0.0423,6.08,5.16
13,2001-01-31,5200,5480,4658,3870,14100,6790,3400,5480,5148,4890,34.37,52.94,-17.33,-5.11,-58.23,2189664,0.0462,0.0619,0.0477,0.0485,5.27,34.37
14,2001-02-28,5280,5760,5232,4800,13300,6156,3400,5510,5410,5280,7.98,32.0,-17.88,-8.33,-57.07,697510,0.0461,0.0306,0.0464,0.0448,5.06,7.98
15,2001-03-31,4900,5100,4849,4600,10700,5599,3400,5050,4958,4900,-7.2,26.61,-2.0,1.45,-53.33,681486,0.0426,0.0214,0.0451,0.0429,4.96,-7.2
16,2001-04-30,4800,4865,4639,4330,8600,5319,3400,4800,4740,4660,-2.04,-6.61,40.15,-0.41,-30.54,497846,0.0394,0.026,0.0426,0.0272,5.01,-2.04
17,2001-05-31,5010,5480,5207,4870,8600,5233,3400,5480,5264,5010,4.38,-5.11,29.12,-8.24,-20.48,1087946,0.0359,0.0301,0.0398,0.0256,5.01,4.38
18,2001-06-30,5200,5690,5314,5020,8600,5123,3400,5200,5132,5020,-2.62,6.12,34.37,0.19,-28.77,409746,0.0353,0.0236,0.0381,0.026,4.99,-2.62
19,2001-07-31,4385,5200,4690,4280,6900,4892,3400,4430,4339,4280,-15.67,-8.65,-15.67,-0.11,-30.29,381426,0.0253,0.0204,0.0372,0.0251,4.77,-15.67
20,2001-08-31,3840,4605,4374,3840,6490,4709,3400,4380,4130,3840,-12.43,-23.35,-27.27,-10.9,-40.92,390902,0.0242,0.0205,0.0363,0.0228,4.54,-12.43
21,2001-09-30,2975,3970,3317,2740,5760,4540,2740,2975,2851,2745,-30.97,-41.89,-39.9,8.58,-41.09,1061942,0.0286,0.0427,0.0359,0.0303,4.0,-30.97
22,2001-10-31,3330,3555,3321,3000,5760,4479,2740,3440,3363,3300,11.93,-24.06,-30.63,-6.33,-2.06,590650,0.031,0.0397,0.0353,0.036,4.02,11.93
23,2001-11-30,3930,4300,3732,3320,5760,4455,2740,4300,4018,3810,19.09,-1.26,-24.42,0.13,1.29,1789976,0.0331,0.0417,0.0345,0.0416,4.04,19.09
24,2001-12-31,4150,4550,4035,3720,5760,4452,2740,4150,3853,3720,8.92,39.5,-18.95,10.81,7.24,802648,0.0367,0.0438,0.0357,0.041,4.01,8.92
