,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,45000,51800,46833,45000,95000,67758,45000,46000,45200,45000,-45.05,-47.98,-2.17,-10.18,1896,0.0405,0.0354,0.0361,0.0463,4.79,-13.46
1,2000-01-31,42450,46000,43443,38700,95000,66850,38700,43000,42530,42000,-32.08,-46.94,-2.86,-22.82,324,0.0424,0.0425,0.0364,0.0494,4.78,-5.67
2,2000-02-29,35950,40600,37333,34000,95000,65476,34000,35950,35120,34000,-22.85,-50.07,4.81,-29.51,294,0.0428,0.0404,0.0375,0.039,5.07,-15.81
3,2000-03-31,34900,39100,35795,33350,95000,63941,33350,37000,35450,34900,-22.44,-56.91,-0.14,-39.83,9632,0.0446,0.0461,0.0393,0.043,5.05,-2.92
4,2000-04-30,29500,35000,32155,28050,95000,61706,28050,32800,31320,29500,-30.91,-51.88,-6.35,-59.59,874,0.0461,0.0422,0.0404,0.0429,5.06,-20.27
5,2000-05-31,29500,31000,28538,24900,91700,57558,24900,29500,27640,26500,-17.94,-36.29,18.47,-61.18,562,0.04,0.0344,0.0391,0.0413,5.12,0.0
6,2000-06-30,24300,29950,25738,23700,91700,52828,23700,25300,24810,24300,-30.47,-46.0,2.53,-71.07,3158,0.0388,0.0252,0.0391,0.0343,5.16,-14.74
7,2000-07-31,23950,26000,24780,22500,86900,47241,22500,24500,23850,22500,-18.81,-43.58,0.0,-70.06,1554,0.0367,0.03,0.0392,0.0299,5.13,-1.44
8,2000-08-31,25300,28000,25018,23050,86900,42631,22500,25900,25410,25200,-14.24,-29.62,-2.32,-65.1,2428,0.0378,0.0466,0.0407,0.0346,5.12,5.64
9,2000-09-30,21700,25950,23433,20000,81000,38459,20000,22000,21390,21000,-14.23,-38.7,8.5,-73.21,1800,0.0353,0.032,0.0398,0.0364,5.09,-14.4
10,2000-10-31,18500,21850,20555,18200,71000,34001,18200,20300,19330,18200,-22.76,-37.29,-7.96,-70.4,1300,0.0327,0.0263,0.0396,0.0357,5.37,-14.75
11,2000-11-30,25000,26950,20498,18200,51800,30191,18200,26950,23880,20400,-3.47,-12.28,16.28,-46.0,68066,0.0407,0.0677,0.0401,0.0464,5.32,37.36
12,2000-12-31,17600,26950,21283,17600,46000,28272,17600,22100,19450,17600,-17.18,-28.6,-20.36,-60.89,34868,0.0451,0.0705,0.0417,0.0526,6.08,-13.73
13,2001-01-31,20900,23200,20430,17600,40600,26259,17600,21900,20760,20000,12.97,-12.73,2.45,-50.77,22074,0.049,0.0548,0.0431,0.0598,5.27,18.75
14,2001-02-28,25500,28750,24550,21000,39100,25194,17600,27000,26260,25500,-5.38,1.19,-9.41,-27.25,11028,0.0514,0.0613,0.0451,0.0649,5.06,27.5
15,2001-03-31,26900,28000,25128,23400,35000,24269,17600,26900,24390,23400,52.84,23.96,12.79,-23.03,11408,0.0537,0.0513,0.0455,0.0547,4.96,5.49
