,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,38146.82555880407,2.18577,1.3101725285217035e-06,16.41,0.0502
1,2000-01-31,19773.65874114645,2.12608,1.402518719268225e-05,44.15,0.0688
2,2000-02-29,22985.485717989715,3.04044,2.7099174937296114e-05,-4.2,0.0512
3,2000-03-31,10518.898658971553,2.91322,5.348398238928e-06,-18.53,0.0639
4,2000-04-30,12608.704786824981,2.47698,1.2220003349065873e-06,15.02,0.0503
5,2000-05-31,8648.386242485141,2.84909,2.5340360657875148e-05,23.31,0.0413
6,2000-06-30,12492.129145582205,3.09397,8.886003700760097e-06,-17.53,0.028
7,2000-07-31,7773.3623164544415,2.55172,1.0058053374421952e-06,-2.5,0.0262
8,2000-08-31,7973.943285167513,2.48758,-1.0099789413314928e-05,-23.58,0.0346
9,2000-09-30,10882.326944125694,1.99887,-3.310203751251819e-06,-22.34,0.0585
10,2000-10-31,9980.530099625521,1.55202,-1.0758908271802599e-06,-5.07,0.0293
11,2000-11-30,8765.138537763161,1.43329,-1.0173169862415794e-05,-17.33,0.0298
12,2000-12-31,10394.738089281247,1.31827,-1.852359931006913e-05,39.52,0.0302
13,2001-01-31,11249.543225053892,1.67364,1.6745032472872288e-05,23.82,0.027
14,2001-02-28,5644.599561169396,2.03151,1.788327229172458e-05,-21.62,0.0375
15,2001-03-31,7970.981463453053,1.59212,-1.057849134716264e-06,1.82,0.0121
16,2001-04-30,5623.842304164954,1.62155,4.91614673047669e-06,30.67,0.0404
17,2001-05-31,7947.741637793246,2.11881,1.3825257577789881e-05,-0.88,0.0288
18,2001-06-30,6635.358951182483,2.18634,3.2501820165912445e-06,-14.25,0.0246
19,2001-07-31,3827.75020213437,1.87476,1.7505903031947993e-06,0.83,0.0213
20,2001-08-31,2894.9470652273535,1.8902,7.885435200493303e-06,-8.36,0.0415
21,2001-09-30,3726.8109935338925,1.78216,1.9718992710862764e-06,24.86,0.0311
22,2001-10-31,4341.7710894969405,2.22492,9.425296757639482e-06,5.22,0.0273
23,2001-11-30,5562.64999013619,2.34116,-2.206480781572621e-05,12.5,0.0389
24,2001-12-31,7730.509459156081,2.61174,-6.260385769851494e-06,19.63,0.0365
25,2002-01-31,6840.854261385502,2.75037,-4.18131524431182e-06,1.74,0.0373
26,2002-02-28,5832.452123049115,2.98003,-1.143823418769162e-05,5.71,0.0281
27,2002-03-31,8052.717495568129,3.15026,-4.976615796087671e-06,-5.41,0.0282
28,2002-04-30,7052.298713555801,2.98003,1.1945324147593481e-06,-16.0,0.0356
29,2002-05-31,9551.953480101054,2.50331,-1.8161210661436863e-05,-15.15,0.0285
30,2002-06-30,8228.735596168137,2.14545,-4.302293767020679e-06,-5.95,0.046
31,2002-07-31,12005.570915331808,2.0181,-2.927709102911706e-06,-2.05,0.0291
32,2002-08-31,5120.8149568659255,2.03508,5.302574307661306e-06,-13.81,0.0273
33,2002-09-30,5916.3480237355225,1.75406,4.233651087679933e-06,-13.2,0.0463
