,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,80635.1839037756,1.61663,1.1015382230673531e-06,-30.15,-30.15,0.0592,-30.15,11.18
1,2000-01-31,4.78,-8.41,45060.87372224419,408.93906,1.463914001428432e-06,-4.68,-4.68,0.0585,-4.68,-8.41
2,2000-02-29,5.07,-13.36,38155.05793638943,401.22106,5.348842916671022e-06,-1.52,-1.52,0.061,-1.52,-13.36
3,2000-03-31,5.05,4.71,62454.701728563,398.13386,1.0313290784582603e-06,-0.77,-0.77,0.0667,-0.77,4.71
4,2000-04-30,5.06,-17.96,25811.528746271728,197.83435,-3.210728448697282e-06,-54.54,-54.54,0.0582,-54.54,-17.96
5,2000-05-31,5.12,1.68,41211.12475547497,182.09884,-1.6294904034864811e-06,-7.96,-7.96,0.0919,-7.96,1.68
6,2000-06-30,5.16,12.61,44898.45813977232,189.80532,-5.096066423326362e-06,7.89,7.89,0.0766,7.89,12.61
7,2000-07-31,5.13,-14.44,43364.28850714698,151.22682,-2.576692273728648e-07,-20.33,-20.33,0.0459,-20.33,-14.44
8,2000-08-31,5.12,-3.14,15535.19410380666,141.97673,2.142787386660766e-09,-6.12,-6.12,0.0283,-6.12,-3.14
9,2000-09-30,5.09,-17.36,48764.33710867708,171.90416,4.936554211404178e-08,11.4,11.4,0.0711,11.4,-17.36
10,2000-10-31,5.37,-16.2,63537.67793953813,89.50582,-6.097981247528824e-08,-47.94,-47.94,0.067,-47.94,-16.2
11,2000-11-30,5.32,-0.81,39504.80477200973,72.52621,-1.28037226698603e-09,-26.79,-26.79,0.042,-26.79,-0.81
12,2000-12-31,6.08,-4.36,51038.323937003224,67.8954,9.293715128209534e-08,-19.41,-19.41,0.0859,-19.41,-4.36
25,2002-01-31,3.98,6.92,38392.22913517821,9.03955,1.125744848061971e-08,5.99,5.99,0.0343,5.99,6.92
26,2002-02-28,4.01,10.36,151165.23279202404,11.45608,-2.3404963217771226e-08,27.81,27.81,0.063,27.81,10.36
27,2002-03-31,4.0,8.98,145530.38567924307,8.03304,-5.614480030928187e-08,-29.88,-29.88,0.0768,-29.88,8.98
28,2002-04-30,4.04,-4.87,56860.04511923143,5.16482,-4.384943272473067e-08,-35.7,-35.7,0.0403,-35.7,-4.87
29,2002-05-31,4.28,-5.25,152738.4173931533,5.10541,6.441719830016955e-09,-1.16,-1.16,0.0638,-1.16,-5.25
30,2002-06-30,4.26,-12.73,69146.2223344318,3.76826,3.2840082286757884e-08,-27.25,-27.25,0.0739,-27.25,-12.73
31,2002-07-31,4.27,-3.77,173170.46752977732,5.13568,-3.060278967899082e-08,36.25,36.25,0.0756,36.25,-3.77
32,2002-08-31,4.28,1.76,157411.57474965812,5.31501,4.6573310155082414e-09,0.85,0.85,0.0306,0.85,1.76
33,2002-09-30,4.28,-12.08,108044.91926798102,4.0395,7.391825063152094e-10,-24.01,-24.01,0.0527,-24.01,-12.08
34,2002-10-31,4.28,2.13,29589.050922941693,3.94871,-1.9714424604914763e-08,-2.23,-2.23,0.0373,-2.23,2.13
35,2002-11-30,4.28,8.38,34574.88824095226,3.93414,-5.961502346680815e-08,-6.43,-6.43,0.0229,-6.43,8.38
