,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,1.7103677662969601e-06,-11.87,-11.87
1,2000-01-31,4.78,-3.1234042183552997e-06,-3.16,-3.16
2,2000-02-29,5.07,2.160771601721793e-06,34.71,34.71
3,2000-03-31,5.05,1.0997803288045907e-06,12.67,12.67
4,2000-04-30,5.06,-1.186033449598012e-05,-31.03,-31.03
5,2000-05-31,5.12,-1.468750137598258e-06,1.24,1.24
6,2000-06-30,5.16,-2.827318524197796e-07,9.24,9.24
7,2000-07-31,5.13,-2.727212366854459e-06,-10.58,-10.58
8,2000-08-31,5.12,-6.199572913245411e-07,-1.94,-1.94
9,2000-09-30,5.09,-7.973176291022959e-07,11.74,11.74
10,2000-10-31,5.37,-1.4150853970551678e-06,-7.32,-7.32
11,2000-11-30,5.32,-2.114260563289958e-07,-5.82,-5.82
12,2000-12-31,6.08,3.1031477528653715e-08,-5.21,-5.21
13,2001-01-31,5.27,1.3553376279139979e-06,14.51,14.51
14,2001-02-28,5.06,8.435098470204623e-08,42.74,42.74
15,2001-03-31,4.96,-6.191634324377822e-07,-24.09,-24.09
16,2001-04-30,5.01,3.070232860096718e-07,4.22,4.22
17,2001-05-31,5.01,2.4790162339575645e-07,13.2,13.2
18,2001-06-30,4.99,3.4820978020778826e-07,-14.35,-14.35
19,2001-07-31,4.77,-2.5077893545507227e-06,-10.09,-10.09
20,2001-08-31,4.54,-1.786426919338433e-06,2.2,2.2
21,2001-09-30,4.0,-1.774422762322959e-06,-18.35,-18.35
22,2001-10-31,4.02,-1.4832562252707412e-07,41.35,41.35
23,2001-11-30,4.04,2.0702578171632212e-06,-10.49,-10.49
24,2001-12-31,4.01,-2.901355076072076e-06,-6.73,-6.73
25,2002-01-31,3.98,3.203435847326707e-07,7.21,7.21
26,2002-02-28,4.01,7.496594027026045e-08,1.72,1.72
27,2002-03-31,4.0,1.635839655473042e-07,8.64,8.64
28,2002-04-30,4.04,-9.490057026275838e-07,-13.73,-13.73
29,2002-05-31,4.28,-9.536346524835499e-07,-7.78,-7.78
30,2002-06-30,4.26,5.55048616205788e-06,-5.02,-5.02
31,2002-07-31,4.27,-3.507981422394832e-06,-2.44,-2.44
32,2002-08-31,4.28,4.320317604567791e-06,3.31,3.31
33,2002-09-30,4.28,-1.1359894889043188e-06,-1.8,-1.8
34,2002-10-31,4.28,8.433280673741419e-07,-4.08,-4.08
35,2002-11-30,4.28,1.2709512079175966e-06,9.96,9.96
36,2002-12-31,4.52,-3.140475277971131e-07,-12.33,-12.33
37,2003-01-31,4.34,-4.347477306054412e-06,-2.86,-2.86
38,2003-02-28,4.27,9.807286002315004e-07,0.23,0.23
39,2003-03-31,4.27,7.397372253428042e-06,-0.23,-0.23
40,2003-04-30,4.26,3.61002097904437e-06,9.68,9.68
41,2003-05-31,4.01,3.861217365549062e-06,8.32,8.32
42,2003-06-30,4.1,-2.0308116910940637e-07,-7.49,-7.49
43,2003-07-31,3.75,-4.880965545715228e-06,-0.2,-0.2
44,2003-08-31,3.72,3.3143147490295575e-07,5.13,5.13
45,2003-09-30,3.77,-1.961264559758451e-06,-6.84,-6.84
46,2003-10-31,3.84,5.9095503773774015e-06,3.35,3.35
47,2003-11-30,3.78,1.8426416506262892e-06,7.27,7.27
48,2003-12-31,3.97,-1.5953699940946477e-06,-3.77,-3.77
49,2004-01-31,3.78,-3.048181911316279e-06,4.31,4.31
50,2004-02-29,3.78,-3.758206409964254e-09,68.07,68.07
51,2004-03-31,3.74,1.0187048596685369e-06,-5.02,-5.02
52,2004-04-30,3.76,8.512694334608783e-06,0.63,0.63
53,2004-05-31,3.77,5.8998618471138e-07,-7.88,-7.88
54,2004-06-30,3.78,-4.384514434519696e-06,16.62,16.62
55,2004-07-31,3.77,-8.680447572601287e-07,14.94,14.94
56,2004-08-31,3.52,-5.349455638689912e-07,14.0,14.0
57,2004-09-30,3.55,-3.223367412220382e-07,33.51,33.51
58,2004-10-31,3.53,-7.705918282910433e-07,-4.23,-4.23
59,2004-11-30,3.26,-2.6271749640311e-07,-2.01,-2.01
60,2004-12-31,3.29,1.3805204302480613e-08,12.3,12.3
61,2005-01-31,3.26,1.2898894334026152e-07,2.19,2.19
62,2005-02-28,3.28,-3.581304651095414e-07,6.81,6.81
63,2005-03-31,3.26,-1.1677233961913043e-06,-16.44,-16.44
64,2005-04-30,3.29,-1.1147697330654988e-06,11.42,11.42
65,2005-05-31,3.29,2.7445320253092745e-07,3.53,3.53
66,2005-06-30,3.3,2.611987275779335e-07,3.82,3.82
67,2005-07-31,3.27,-2.57934462295329e-07,-4.75,-4.75
68,2005-08-31,3.25,2.1841752150208376e-06,-13.17,-13.17
69,2005-09-30,3.28,2.3489460976139938e-06,13.47,13.47
70,2005-10-31,3.51,2.9928915785124366e-06,-1.44,-1.44
71,2005-11-30,3.5,4.294210516108612e-06,22.55,22.55
72,2005-12-31,3.76,-1.3185743064258321e-07,-6.25,-6.25
73,2006-01-31,3.76,6.188848085516969e-07,17.33,17.33
74,2006-02-28,3.99,-1.3456452125290034e-06,0.57,0.57
75,2006-03-31,3.97,-9.978875857514751e-07,5.67,5.67
76,2006-04-30,3.97,4.779435737795356e-07,0.8,0.8
77,2006-05-31,3.96,-4.764400969387424e-06,-17.37,-17.37
78,2006-06-30,4.21,-8.61574101997707e-06,-2.87,-2.87
79,2006-07-31,4.22,-1.041406069541512e-05,21.64,21.64
80,2006-08-31,4.49,1.984931693078076e-06,-3.5,-3.5
81,2006-09-30,4.48,2.258737616643143e-06,7.67,7.67
82,2006-10-31,4.48,9.464312453280289e-07,9.23,9.23
83,2006-11-30,4.49,1.9998815621407336e-06,-5.83,-5.83
84,2006-12-31,4.6,1.986202911955172e-06,-5.6,-5.6
85,2007-01-31,4.61,-7.063792415912501e-06,-2.82,-2.82
86,2007-02-28,4.55,1.3341750405366032e-06,2.61,2.61
87,2007-03-31,4.63,-2.2464438569598044e-06,0.44,0.44
88,2007-04-30,4.88,1.4768821227379492e-05,20.88,20.88
89,2007-05-31,4.56,1.558237913690149e-05,31.39,31.39
90,2007-06-30,4.52,1.8858255791544568e-08,-2.08,-2.08
91,2007-07-31,4.76,1.4126779791252106e-06,13.9,13.9
92,2007-08-31,4.98,5.680367090402017e-07,-0.34,-0.34
