,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
61,2005-01-31,3.26,5.04,28640.177589760464,0.80445,-7.562628960135948e-06,15.72,115474.0
62,2005-02-28,3.28,8.09,20525.455949763502,0.8176,-1.6040353378283105e-06,6.25,123257.0
63,2005-03-31,3.26,-4.64,8017.501896576159,0.76077,4.149747289133864e-06,-6.95,119953.0
64,2005-04-30,3.29,-5.28,2263.9380610331614,0.68209,1.1823603313477656e-05,-12.11,110399.0
65,2005-05-31,3.29,6.17,1044.1142467737939,0.70832,1.1610642992331895e-05,3.85,104922.0
66,2005-06-30,3.3,3.68,2733.073362303976,0.80445,-1.151706216627051e-06,14.29,111147.0
67,2005-07-31,3.27,11.61,4594.975411867212,0.87224,1.8960603953273167e-05,12.71,125101.0
68,2005-08-31,3.25,-2.25,1435.6760162243893,0.80669,2.222332376050411e-05,-7.52,124997.0
69,2005-09-30,3.28,12.46,3948.0657243194382,0.84819,-1.6636992715606158e-06,5.72,125007.0
70,2005-10-31,3.51,-5.53,4136.461936642598,0.93348,2.283569064918538e-05,10.05,136969.0
71,2005-11-30,3.5,11.5,2706.8898262891908,0.99248,-1.038042063333931e-05,7.58,146623.0
72,2005-12-31,3.76,8.39,2619.446139316193,0.98376,1.8190415787267047e-05,0.9,147176.0
73,2006-01-31,3.76,1.81,2384.3819476896497,0.84759,7.3969101080141184e-06,-4.0,141234.0
74,2006-02-28,3.99,-1.77,643.6037022817438,0.7593,2.2142389818933723e-05,-5.15,132837.0
75,2006-03-31,3.97,-0.7,762.6828342505665,0.72597,-5.760615391739211e-06,-4.39,123560.0
76,2006-04-30,3.97,6.56,1017.7764907998352,0.78675,-3.834234289282284e-07,6.08,128639.0
77,2006-05-31,3.96,-7.11,10388.546592276389,0.7593,5.908395633593084e-07,-3.49,130483.0
78,2006-06-30,4.21,-2.08,1624.173093485432,0.77892,-6.50661122306525e-05,2.58,123078.0
79,2006-07-31,4.22,0.63,137.41144548196172,0.72793,-3.9258391958073915e-06,-6.55,124014.0
80,2006-08-31,4.49,4.11,376.9847422407299,0.71809,-1.8948891994410063e-05,-1.35,120791.0
