,Date,professionalism,pbr,activity,indireturn,indistd
113,2009-05-31,96269.3306023297,0.53729,-1.5028347870132718e-05,-22.39,0.0367
114,2009-06-30,17850.662016768696,0.417,-4.103259296753393e-06,0.0,0.0245
115,2009-07-31,9812.284002752363,0.417,-1.2009496318683165e-06,-9.89,0.0234
116,2009-08-31,9508.220046105944,0.37576,-9.599912285065417e-07,-9.7,0.0387
117,2009-09-30,9982.267098701557,0.34139,4.617432712749199e-06,-16.44,0.0234
118,2009-10-31,5054.837169203563,0.28525,1.7728646338138177e-06,-13.25,0.0273
119,2009-11-30,3272.572706033086,0.24745,3.0248455157412325e-06,8.33,0.0201
120,2009-12-31,4564.084108358019,0.26807,-2.225272691940451e-06,-7.14,0.044
121,2010-01-31,10384.389551124854,0.24429,-6.403772807824548e-06,-5.86,0.0273
122,2010-02-28,3950.1943164301174,0.24871,-1.5335299205782507e-06,16.44,0.0178
123,2010-03-31,7020.9695472942585,0.2896,-8.598263626285647e-07,-0.38,0.0248
124,2010-04-30,9617.861584921025,0.28739,1.5174082762216806e-06,-20.77,0.0283
125,2010-05-31,4294.227443745317,0.2277,-1.3559969095889898e-06,1.5,0.0243
126,2010-06-30,3116.0364452478043,0.22439,-3.983527326785663e-06,7.88,0.026
127,2010-07-31,4184.400135250481,0.24207,-8.615912474100834e-07,-7.76,0.0217
128,2010-08-31,2988.0051373528363,0.22328,-5.234977774914308e-07,24.27,0.0374
129,2010-09-30,15862.75635108435,0.28297,2.26130435118697e-06,19.2,0.0538
130,2010-10-31,42488.27307493081,0.3294,-9.1679214833675e-07,-19.8,0.0304
131,2010-11-30,12503.789458393858,0.26418,-6.491520579170368e-07,2.51,0.0252
132,2010-12-31,6191.628060099146,0.27081,-3.768628953294344e-07,3.67,0.0425
133,2011-01-31,22303.724585905635,0.27399,-3.6204513527892615e-06,-18.94,0.0261
134,2011-02-28,5764.502323900616,0.23084,-1.359255850240769e-06,-5.14,0.0272
135,2011-03-31,5034.154211823197,0.21897,-5.892834365784256e-06,12.01,0.0387
136,2011-04-30,10799.545958815213,0.23947,1.1789680242502482e-06,-6.31,0.0231
137,2011-05-31,4401.211581879363,0.22437,1.388383164763311e-06,22.28,0.024
138,2011-06-30,7965.839161118615,0.26644,-1.911732051706344e-06,-8.9,0.0197
139,2011-07-31,4295.721703731927,0.23192,4.778160049550986e-06,-17.95,0.0564
140,2011-08-31,4934.9485855652365,0.19028,-1.2296276721234894e-06,-22.02,0.0483
141,2011-09-30,3000.9962322028014,0.14972,-1.432849800735182e-06,0.0,0.0367
142,2011-10-31,2649.623583995347,0.14972,5.4182554740930384e-06,-16.6,0.0207
143,2011-11-30,1705.5711440882162,0.12793,-2.9840969616053167e-06,-4.55,0.028
144,2011-12-31,1836.511481174223,0.12211,4.374763335427396e-06,16.78,0.0249
145,2012-01-31,3244.89586097108,0.24068,5.348976998638027e-06,8.89,0.021
146,2012-02-29,3276.9757103091697,0.26325,4.6251876976363826e-06,-10.24,0.0159
147,2012-03-31,1523.1753471668505,0.23631,-3.768655680694348e-06,-12.17,0.0209
148,2012-04-30,1165.8599191484627,0.20754,-1.0866203907666087e-05,-26.67,0.0421
149,2012-05-31,2804.0543947380274,0.1522,-1.1029372062744093e-05,-4.04,0.0188
150,2012-06-30,1803.8999625728493,0.15584,-1.357505992006996e-06,-1.4,0.0325
151,2012-07-31,1677.4901458947527,0.15365,-3.0426463536927415e-06,-1.78,0.0142
152,2012-08-31,1014.6306516977578,0.15092,-1.2490677202661124e-06,77.02,0.0432
153,2012-09-30,9408.953903231906,0.26362,-1.2101010131409178e-05,-26.93,0.0327
154,2012-10-31,5664.494057102797,0.19261,3.41967864877316e-06,1.4,0.0354
155,2012-11-30,1685.0945926729119,0.1846,-1.7299876116128953e-06,4.6,0.0139
156,2012-12-31,2266.325237545902,0.19043,-2.554600037136899e-06,-3.25,0.0491
157,2013-01-31,5237.105816782663,1.6458,-9.445451545791596e-07,-4.4,0.0143
158,2013-02-28,810.0928179744974,1.55473,-1.093138926155995e-06,-2.62,0.0196
159,2013-03-31,644.7089432323795,1.51407,-7.336997719888757e-07,-34.05,0.0557
160,2013-04-30,5439.508812139954,0.99854,1.2006113705196505e-07,0.98,0.0428
161,2013-05-31,2672.714078607018,1.0083,2.370906688314513e-06,-39.54,0.0713
162,2013-06-30,21150.819249538843,0.59685,-1.04761884046659e-05,146.87,0.0719
163,2013-07-31,32754.712130905988,1.47341,-6.55073498167873e-07,26.65,0.1049
164,2013-08-31,104511.04586762187,1.62303,5.558146297333143e-07,-12.83,0.0626
165,2013-09-30,46676.16937830023,1.41487,5.7344794234854e-07,-32.76,0.0394
166,2013-10-31,17125.75059581277,0.95138,-1.0998910828772124e-06,16.15,0.0958
167,2013-11-30,86948.2902062067,1.21646,-4.378839682276839e-07,-13.9,0.0513
168,2013-12-31,12419.392066217044,1.04733,5.324505421389089e-07,-3.87,0.0489
185,2015-05-31,4264.563170888061,1.39532,3.833235578916139e-07,-2.67,0.0468
186,2015-06-30,1029.692260749918,1.35809,-6.427193600985412e-07,-7.83,0.0189
187,2015-07-31,521.9384446373833,1.25171,-1.4459966475805113e-06,-3.97,0.0564
188,2015-08-31,3125.019929006085,1.20207,4.645000808194644e-08,-3.41,0.0153
189,2015-09-30,319.7985842768104,1.15597,-1.2284072119755674e-06,4.75,0.0165
190,2015-10-31,1310.9841296816785,1.21093,-3.513839664697453e-08,-2.34,0.0211
191,2015-11-30,415.98117170764846,1.18257,-2.1823323436469382e-07,-15.14,0.016
192,2015-12-31,163.32871304123933,1.0035,4.295584866504378e-07,-16.67,0.0138
205,2017-01-31,135376.91792258664,3.44567,-1.8998457310768171e-07,0.0,0.0
209,2017-05-31,15534.137801370553,1.73104,-1.3454718395569576e-05,24.85,0.0471
210,2017-06-30,207855.37577085555,1.66541,-4.3877456898492475e-06,-7.88,0.0736
211,2017-07-31,89269.26697825962,1.53414,-2.0291038002657575e-07,1.28,0.0229
212,2017-08-31,31603.529357273135,1.55384,-8.248758316409163e-09,-13.75,0.0392
213,2017-09-30,30635.306222557,1.34873,4.536703466912708e-07,-35.04,0.0525
214,2017-10-31,36019.290965988315,0.87619,2.9511450777621792e-06,-8.27,0.0272
215,2017-11-30,30353.26404354363,0.80974,-2.9449256039081326e-08,-5.44,0.0189
216,2017-12-31,17039.380119098256,0.75559,3.812741720492252e-07,37.89,0.031
217,2018-01-31,26861.43443890294,8.30705,-1.2317553955412677e-06,5.68,0.0499
218,2018-02-28,46339.54698589824,7.54845,-2.8264445434085177e-06,-11.44,0.0545
219,2018-03-31,67146.85159712101,6.68489,2.721453217689791e-07,2.15,0.0239
220,2018-04-30,28225.479110268905,6.82882,-2.815629926329526e-07,-9.0,0.0178
221,2018-05-31,10800.316007846679,6.21397,1.7071129114162185e-06,-5.77,0.0301
222,2018-06-30,17640.39833565187,6.08978,-6.07666875935002e-07,-4.51,0.0169
223,2018-07-31,16324.523655590194,5.81492,2.2810690618605974e-08,-0.67,0.014
224,2018-08-31,17015.201625313857,5.77578,-1.6779933905149162e-06,-39.14,0.0519
225,2018-09-30,37418.37510032793,3.49945,-2.810127753019398e-08,-21.12,0.0493
226,2018-10-31,14634.035896772524,2.76024,6.360239490250924e-07,-42.39,0.0505
227,2018-11-30,42871.115359411946,1.48482,-3.2133752849441297e-06,-35.57,0.0685
228,2018-12-31,19755.769803545085,0.9567,-1.8789950974373446e-05,29.45,0.0428
229,2019-01-31,16879.22735839461,1.58548,-8.791470791663354e-06,-13.21,0.0369
230,2019-02-28,7326.840214618605,1.29172,-2.0034219773632424e-05,-3.68,0.0169
231,2019-03-31,3292.5825669305345,1.24419,-1.277054967173612e-05,-11.11,0.0155
232,2019-04-30,2352.786343177637,1.10595,1.1376755719671318e-06,-23.34,0.0227
233,2019-05-31,2148.278082396532,0.84782,3.649165395619335e-06,-3.33,0.0212
234,2019-06-30,12439.917092655975,0.84782,-6.799524696096599e-06,-27.77,0.0207
235,2019-07-31,2280.835835499159,0.61238,1.1577535264151924e-06,-13.81,0.0692
236,2019-08-31,14197.132593184386,0.53245,-9.167610996351624e-06,-0.2,0.023
237,2019-09-30,10111.079988131067,0.53137,-1.7853394682677006e-05,-0.41,0.0301
238,2019-10-31,5340.469990954979,0.52921,3.730638029764137e-06,41.29,0.0904
