,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,9.266135539571265e-06,50.57,50.57
1,2000-01-31,4.78,-1.7320832434344828e-06,-22.92,-22.92
2,2000-02-29,5.07,-6.2572742781912425e-06,-15.63,-15.63
3,2000-03-31,5.05,-9.486914518971677e-07,-0.27,-0.27
4,2000-04-30,5.06,-8.583255035435608e-06,-21.92,-21.92
5,2000-05-31,5.12,-1.111282229845362e-05,-25.09,-25.09
6,2000-06-30,5.16,7.508180581813698e-07,18.84,18.84
7,2000-07-31,5.13,-2.876992549734608e-06,-9.0,-9.0
8,2000-08-31,5.12,2.6463665693000817e-06,0.0,0.0
9,2000-09-30,5.09,8.456975620743522e-07,-14.04,-14.04
10,2000-10-31,5.37,-2.3281588332557257e-06,-17.57,-17.57
11,2000-11-30,5.32,4.4761658379416075e-07,-4.67,-4.67
12,2000-12-31,6.08,-1.3164283588332485e-06,-6.73,-6.73
13,2001-01-31,5.27,5.283059769457206e-06,20.98,20.98
14,2001-02-28,5.06,1.2305482236053847e-05,26.95,26.95
15,2001-03-31,4.96,-8.293505191063595e-06,-21.68,-21.68
16,2001-04-30,5.01,1.009499551878359e-05,13.04,13.04
17,2001-05-31,5.01,1.183086813549532e-05,18.33,18.33
18,2001-06-30,4.99,1.0101206748562507e-06,-6.14,-6.14
19,2001-07-31,4.77,3.275917791702179e-06,-10.63,-10.63
20,2001-08-31,4.54,1.1842078916242632e-05,0.65,0.65
21,2001-09-30,4.0,1.4127538144224048e-05,-5.25,-5.25
22,2001-10-31,4.02,-1.4034809803572936e-05,-4.22,-4.22
23,2001-11-30,4.04,2.666389017345669e-07,20.55,20.55
24,2001-12-31,4.01,1.2674121758519954e-06,17.86,17.86
25,2002-01-31,3.98,4.083287348132334e-06,12.73,12.73
26,2002-02-28,4.01,5.039491280058302e-06,0.34,0.34
27,2002-03-31,4.0,-4.08411175111823e-06,1.01,1.01
28,2002-04-30,4.04,-2.4180090141107926e-06,-7.0,-7.0
29,2002-05-31,4.28,9.995454975443064e-06,-1.79,-1.79
30,2002-06-30,4.26,1.2934303677801643e-06,-14.52,-14.52
31,2002-07-31,4.27,2.0745803291995132e-05,9.87,9.87
32,2002-08-31,4.28,1.3039355453600749e-05,2.78,2.78
33,2002-09-30,4.28,5.615723146586285e-06,-9.91,-9.91
34,2002-10-31,4.28,-1.0057581165630798e-05,-14.8,-14.8
35,2002-11-30,4.28,6.712720025489137e-06,10.51,10.51
36,2002-12-31,4.52,1.593678759235328e-05,-5.27,-5.27
37,2003-01-31,4.34,5.596281228193832e-06,-12.34,-12.34
38,2003-02-28,4.27,-6.033715785486761e-06,0.25,0.25
39,2003-03-31,4.27,-1.0436605638817281e-05,-11.45,-11.45
40,2003-04-30,4.26,8.308068336254982e-07,13.08,13.08
41,2003-05-31,4.01,-8.44665930107398e-07,24.82,24.82
42,2003-06-30,4.1,-3.262298389109347e-06,0.39,0.39
43,2003-07-31,3.75,9.266268873408336e-06,5.96,5.96
44,2003-08-31,3.72,-1.2124350145556198e-05,-5.8,-5.8
45,2003-09-30,3.77,2.7537426909080723e-06,1.35,1.35
46,2003-10-31,3.84,1.7808486941614285e-05,12.14,12.14
47,2003-11-30,3.78,-3.7471383528834887e-06,-0.69,-0.69
48,2003-12-31,3.97,1.4863456567047698e-05,8.0,8.0
49,2004-01-31,3.78,1.2898937401081587e-05,6.12,6.12
50,2004-02-29,3.78,4.39139904357538e-06,5.07,5.07
51,2004-03-31,3.74,4.796976292021226e-06,-2.34,-2.34
52,2004-04-30,3.76,1.1724553400048927e-05,5.61,5.61
53,2004-05-31,3.77,2.2160499655908486e-06,-13.36,-13.36
54,2004-06-30,3.78,1.1065192882465626e-05,1.46,1.46
55,2004-07-31,3.77,3.0629844598187613e-06,-8.48,-8.48
56,2004-08-31,3.52,7.136262431179918e-06,2.8,2.8
57,2004-09-30,3.55,3.0107121772024797e-06,6.53,6.53
58,2004-10-31,3.53,-2.9681141462091776e-06,2.47,2.47
59,2004-11-30,3.26,8.835289648145976e-06,11.74,11.74
60,2004-12-31,3.29,3.7690626731693054e-06,1.87,1.87
61,2005-01-31,3.26,-7.156844735974055e-06,-5.65,-5.65
62,2005-02-28,3.28,-5.051576956429912e-06,6.62,6.62
63,2005-03-31,3.26,1.7639080679014723e-06,1.83,1.83
64,2005-04-30,3.29,1.0079709989375632e-05,-2.34,-2.34
65,2005-05-31,3.29,-1.9775977291553455e-07,1.69,1.69
66,2005-06-30,3.3,-5.6740639746965546e-06,5.77,5.77
67,2005-07-31,3.27,-1.6978001577686426e-05,-6.87,-6.87
68,2005-08-31,3.25,-4.470980338106927e-06,-7.94,-7.94
69,2005-09-30,3.28,-1.8214769945839558e-06,12.01,12.01
70,2005-10-31,3.51,1.1220868595703303e-05,0.14,0.14
71,2005-11-30,3.5,-7.818041010181428e-06,41.2,41.2
72,2005-12-31,3.76,-1.0466523140375767e-05,5.56,5.56
73,2006-01-31,3.76,-4.386034572440555e-06,19.62,19.62
74,2006-02-28,3.99,4.189496607583738e-06,-1.6,-1.6
75,2006-03-31,3.97,-1.534997724824856e-06,-8.54,-8.54
76,2006-04-30,3.97,7.739770587316931e-06,18.89,18.89
77,2006-05-31,3.96,-1.6017307934517755e-05,-14.73,-14.73
78,2006-06-30,4.21,6.7856501649792024e-06,-5.45,-5.45
79,2006-07-31,4.22,-1.8134212886194051e-06,-6.73,-6.73
80,2006-08-31,4.49,-3.965674380819596e-06,4.12,4.12
81,2006-09-30,4.48,4.958750816573029e-06,8.52,8.52
82,2006-10-31,4.48,-3.163516045487224e-06,1.91,1.91
83,2006-11-30,4.49,-9.822543582815264e-06,4.41,4.41
84,2006-12-31,4.6,1.1713878961910676e-05,10.89,10.89
85,2007-01-31,4.61,-7.747211426107949e-07,-8.93,-8.93
86,2007-02-28,4.55,-1.290708993323799e-05,-8.36,-8.36
87,2007-03-31,4.63,-1.1932194761599526e-05,-2.66,-2.66
88,2007-04-30,4.88,5.88985209638597e-06,10.0,10.0
89,2007-05-31,4.56,-9.86929800419068e-06,-5.36,-5.36
90,2007-06-30,4.52,6.4280298549789975e-06,11.44,11.44
91,2007-07-31,4.76,-9.78818380405552e-07,13.84,13.84
92,2007-08-31,4.98,9.949634744481931e-06,-2.75,-2.75
93,2007-09-30,4.98,1.3475804602546487e-05,5.54,5.54
94,2007-10-31,5.02,1.5990202528623207e-06,41.56,41.56
95,2007-11-30,5.02,-1.4687464249016321e-06,-21.22,-21.22
96,2007-12-31,5.02,1.2483334041410315e-05,6.59,6.59
97,2008-01-31,4.96,4.5356188613575995e-06,-15.76,-15.76
98,2008-02-29,4.94,-5.314166269460051e-06,-4.03,-4.03
99,2008-03-31,4.98,3.686602091305119e-06,-2.66,-2.66
100,2008-04-30,4.95,6.701252822006476e-06,13.48,13.48
101,2008-05-31,5.04,-8.76363959390736e-06,-9.38,-9.38
102,2008-06-30,5.01,-7.743557682372875e-06,-14.48,-14.48
103,2008-07-31,5.03,7.567010047262279e-07,-9.35,-9.35
104,2008-08-31,5.25,1.1546654913468448e-05,2.14,2.14
105,2008-09-30,5.22,-1.4779859052257849e-05,-18.99,-18.99
106,2008-10-31,4.14,1.1803131579121563e-07,-26.88,-26.88
107,2008-11-30,3.99,-8.255689150156554e-06,11.85,11.85
108,2008-12-31,3.02,1.9868958006442893e-05,32.45,32.45
