,Date,riskfree,activity,MA1M,actualreturn
128,2010-08-31,2.28,1.820980635632272e-05,10.11,10.11
129,2010-09-30,2.27,7.833815257842866e-06,6.98,6.98
130,2010-10-31,2.26,-1.0886949136618906e-05,-13.16,-13.16
131,2010-11-30,2.51,-6.486992037354601e-06,-3.33,-3.33
132,2010-12-31,2.51,-1.9908012666267506e-05,-2.64,-2.64
133,2011-01-31,2.75,-1.9636905291609688e-05,-16.1,-16.1
134,2011-02-28,2.76,1.8207104474125257e-05,5.68,5.68
135,2011-03-31,2.99,2.3051420036794954e-05,9.38,9.38
136,2011-04-30,3.02,-1.8353135926211247e-05,-8.51,-8.51
137,2011-05-31,3.03,2.451712313519053e-06,-3.01,-3.01
138,2011-06-30,3.28,-1.7242033374034752e-05,4.76,4.76
139,2011-07-31,3.27,2.561274174875009e-05,13.91,13.91
140,2011-08-31,3.27,2.2480334340715363e-05,-1.98,-1.98
141,2011-09-30,3.28,-1.8611899471287648e-06,-17.87,-17.87
142,2011-10-31,3.26,-3.3562562815729255e-06,-3.8,-3.8
143,2011-11-30,3.27,3.0234902430217625e-05,7.53,7.53
144,2011-12-31,3.29,-3.5165705732453586e-06,0.14,0.14
145,2012-01-31,3.27,-1.6274246983440634e-05,-2.44,-2.44
146,2012-02-29,3.26,-2.6978859381308857e-05,-9.22,-9.22
147,2012-03-31,3.24,9.975789731882315e-07,5.6,5.6
148,2012-04-30,3.26,1.9656915705861055e-05,-0.17,-0.17
149,2012-05-31,3.27,-8.898512623860068e-06,-15.28,-15.28
150,2012-06-30,3.26,1.3408674291926607e-05,26.24,26.24
151,2012-07-31,3.02,1.5047177247840163e-05,22.74,22.74
152,2012-08-31,3.01,5.0147932082389935e-06,0.61,0.61
153,2012-09-30,3.01,1.0793252044845076e-05,13.3,13.3
154,2012-10-31,2.75,5.2181489709915965e-06,17.93,17.93
155,2012-11-30,2.77,2.6672685131884257e-06,17.62,17.62
156,2012-12-31,2.77,5.542258741757945e-06,10.69,10.69
157,2013-01-31,2.76,4.581610102254681e-06,14.52,14.52
158,2013-02-28,2.76,3.7794349133116815e-06,14.29,14.29
159,2013-03-31,2.75,-3.0961638698788786e-07,9.54,9.54
160,2013-04-30,2.78,-4.468582865241671e-06,-2.4,-2.4
161,2013-05-31,2.5,1.098849981033411e-06,4.62,4.62
162,2013-06-30,2.5,-3.7151482218729936e-07,-12.72,-12.72
163,2013-07-31,2.53,-2.233818362606606e-07,11.26,11.26
164,2013-08-31,2.51,-6.411327976345214e-06,-17.65,-17.65
165,2013-09-30,2.5,-5.7124225761323805e-06,8.27,8.27
166,2013-10-31,2.52,-1.7901111837152295e-05,-10.42,-10.42
167,2013-11-30,2.5,1.103839668745304e-06,-7.43,-7.43
168,2013-12-31,2.52,-4.266456676847249e-06,-6.56,-6.56
169,2014-01-31,2.51,1.8973552626361785e-05,24.34,24.34
170,2014-02-28,2.49,5.278032676097138e-06,2.81,2.81
171,2014-03-31,2.49,-1.1247660897388964e-05,-16.48,-16.48
172,2014-04-30,2.5,-2.3609396722193864e-05,-6.05,-6.05
173,2014-05-31,2.49,-2.0295618678881154e-05,-10.73,-10.73
174,2014-06-30,2.49,-1.3129951766298497e-05,-2.88,-2.88
175,2014-07-31,2.49,-2.9234191722026545e-05,-13.47,-13.47
176,2014-08-31,2.24,-1.5039417016979414e-05,0.76,0.76
177,2014-09-30,2.24,-4.9760278699509745e-06,-6.03,-6.03
178,2014-10-31,1.97,-6.126577303103795e-08,-2.63,-2.63
179,2014-11-30,1.99,9.297677839490431e-07,12.05,12.05
180,2014-12-31,2.03,1.2243963412088563e-05,13.99,13.99
181,2015-01-31,2.0,4.807002073956227e-06,-4.12,-4.12
182,2015-02-28,1.99,8.53241427962491e-06,10.94,10.94
183,2015-03-31,1.74,3.7795711015193175e-06,110.7,110.7
184,2015-04-30,1.74,-9.306416647181139e-07,60.98,60.98
185,2015-05-31,1.74,-1.0694034098196686e-06,8.14,8.14
186,2015-06-30,1.5,3.070017658303466e-07,13.35,13.35
187,2015-07-31,1.5,-4.164984646143308e-06,-14.35,-14.35
188,2015-08-31,1.52,5.632643149994503e-06,8.75,8.75
189,2015-09-30,1.49,-2.215223762156651e-06,-11.12,-11.12
190,2015-10-31,1.5,2.031444095889546e-06,39.17,39.17
191,2015-11-30,1.5,1.666732053956121e-07,53.58,53.58
192,2015-12-31,1.52,-4.453771514835301e-07,-6.6,-6.6
193,2016-01-31,1.5,-6.367786932855585e-07,-4.76,-4.76
194,2016-02-29,1.52,-2.391827179251701e-06,-6.85,-6.85
195,2016-03-31,1.53,6.699524930896641e-07,7.04,7.04
196,2016-04-30,1.5,-1.8960745142394112e-05,-17.66,-17.66
197,2016-05-31,1.48,6.053437599390374e-06,6.03,6.03
198,2016-06-30,1.23,1.5050809508054854e-05,13.69,13.69
199,2016-07-31,1.24,-1.4372800358031896e-05,-14.78,-14.78
200,2016-08-31,1.25,-8.713270415597501e-06,-2.78,-2.78
201,2016-09-30,1.26,-1.629056609704512e-05,-17.13,-17.13
202,2016-10-31,1.24,-3.8272190795220745e-06,-28.74,-28.74
203,2016-11-30,1.23,-1.2525443864484533e-07,-1.34,-1.34
204,2016-12-31,1.27,-6.242926407306005e-06,-17.1,-17.1
205,2017-01-31,1.25,-4.307360064352412e-06,-5.73,-5.73
206,2017-02-28,1.26,1.5611707903750545e-05,20.02,20.02
207,2017-03-31,1.27,-4.0311260294762685e-06,-6.85,-6.85
208,2017-04-30,1.21,4.6986306542589395e-06,2.49,2.49
209,2017-05-31,1.26,6.126440139917388e-06,23.82,23.82
210,2017-06-30,1.29,-3.156327703864884e-06,1.63,1.63
211,2017-07-31,1.24,-3.2042956436254605e-06,-1.34,-1.34
212,2017-08-31,1.27,1.230427337800311e-05,9.51,9.51
213,2017-09-30,1.27,1.711503663961239e-05,13.91,13.91
214,2017-10-31,1.26,1.1277386495805625e-05,1.98,1.98
215,2017-11-30,1.53,1.4326662978610836e-05,23.16,23.16
216,2017-12-31,1.58,1.70683261805285e-05,3.55,3.55
217,2018-01-31,1.54,4.65548185668848e-07,2.23,2.23
218,2018-02-28,1.51,-1.2789900739302526e-05,-22.18,-22.18
219,2018-03-31,1.54,1.2435037223288244e-05,10.37,10.37
220,2018-04-30,1.51,7.425315233631714e-07,-8.81,-8.81
221,2018-05-31,1.55,5.001050913437708e-06,3.65,3.65
222,2018-06-30,1.57,-1.740131818483382e-05,-15.29,-15.29
223,2018-07-31,1.52,9.127126827811617e-06,0.83,0.83
224,2018-08-31,1.55,1.5156370003121134e-05,17.2,17.2
225,2018-09-30,1.65,6.353525843113327e-06,6.27,6.27
226,2018-10-31,1.57,-4.975364284164916e-06,-22.1,-22.1
227,2018-11-30,1.76,8.124285720904842e-06,16.6,16.6
228,2018-12-31,1.89,1.1241654725002818e-05,7.48,7.48
229,2019-01-31,1.81,-5.956403011689575e-06,-6.47,-6.47
230,2019-02-28,1.8,2.8780002120480792e-05,14.22,14.22
231,2019-03-31,1.81,-8.41142379346836e-06,-7.69,-7.69
232,2019-04-30,1.79,-2.65214584724615e-05,-4.71,-4.71
233,2019-05-31,1.79,-5.929874922806406e-06,-5.98,-5.98
234,2019-06-30,1.83,8.017023612139667e-06,0.25,0.25
235,2019-07-31,1.56,-1.755408142216879e-05,-28.22,-28.22
236,2019-08-31,1.54,2.148568595770839e-06,-3.44,-3.44
237,2019-09-30,1.58,-2.3304741387696827e-06,-1.6,-1.6
238,2019-10-31,1.29,1.119595371674231e-05,20.83,20.83
239,2019-11-30,1.28,-2.427614940024944e-07,-4.63,-4.63
240,2019-12-31,1.39,-1.1158409548459982e-05,-5.5,-5.5
241,2020-01-31,1.25,-5.060967647911194e-06,-5.23,-5.23
242,2020-02-29,1.26,-1.0703905819125502e-05,-9.06,-9.06
243,2020-03-31,0.8,5.4543205470585365e-06,0.19,0.19
244,2020-04-30,0.76,-8.348459740798416e-06,4.65,4.65
245,2020-05-31,0.49,-1.638439534458298e-05,-8.49,-8.49
246,2020-06-30,0.57,-1.6595978768284938e-06,2.74,2.74
247,2020-07-31,0.51,-1.0247921862278656e-06,8.21,8.21
248,2020-08-31,0.55,-1.4075428365766482e-06,16.32,16.32
249,2020-09-30,0.55,-1.3723275351538954e-05,-12.76,-12.76
250,2020-10-31,0.52,-9.555584555718344e-06,-4.02,-4.02
251,2020-11-30,0.6,1.025132719136339e-05,36.57,36.57
252,2020-12-31,0.61,2.4090991800641455e-07,4.12,4.12
253,2021-01-31,0.52,3.502730095799084e-06,9.9,9.9
254,2021-02-28,0.59,-1.2922838520340117e-05,-9.26,-9.26
255,2021-03-31,0.59,1.2744002089978202e-06,-7.73,-7.73
256,2021-04-30,0.49,2.276685174100368e-06,6.12,6.12
257,2021-05-31,0.51,3.2616307671554498e-06,5.18,5.18
258,2021-06-30,0.63,-1.0488695458585348e-05,-5.11,-5.11
259,2021-07-31,0.58,-4.278856673999508e-06,-4.33,-4.33
260,2021-08-31,0.9,-5.185697083952796e-06,-3.44,-3.44
261,2021-09-30,0.92,-1.1586347743604066e-05,-9.98,-9.98
262,2021-10-31,0.76,-5.607655860523989e-07,-3.3,-3.3
263,2021-11-30,1.067,-3.658534733874467e-06,-4.36,-4.36
264,2021-12-31,1.437,6.66492216993997e-06,11.43,11.43
265,2022-01-31,1.277,-1.2283356934615794e-05,-12.72,-12.72
266,2022-02-28,1.39,1.3731661909277954e-05,7.29,7.29
267,2022-03-31,1.454,1.3057208507672547e-05,3.4,3.4
268,2022-04-30,1.53,2.7816591978620216e-05,12.64,12.64
269,2022-05-31,1.863,1.3919001038568313e-05,-0.8,-0.8
270,2022-06-30,2.337,1.6917712569748474e-05,-1.28,-1.28
271,2022-07-31,2.341,1.1585313506043508e-05,1.48,1.48
