,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,8530.807762444,0.80861,-3.146953678377758e-06,3.47,3.47,0.0533,3.47,11.18
1,2000-01-31,4.78,-8.41,2589.1119068182907,0.60433,4.720422621102863e-06,-15.79,-15.79,0.0238,-15.79,-8.41
2,2000-02-29,5.07,-13.36,6555.905961046626,0.57514,-1.0551558896924219e-05,-5.9,-5.9,0.0301,-5.9,-13.36
3,2000-03-31,5.05,4.71,11415.048498987804,0.594,-5.148336440623398e-06,3.28,3.28,0.0314,3.28,4.71
4,2000-04-30,5.06,-17.96,5796.262002723399,0.48069,1.7338862776899919e-06,-24.73,-24.73,0.0379,-24.73,-17.96
5,2000-05-31,5.12,1.68,4432.611477415628,0.41205,-1.4430221607221137e-06,-14.29,-14.29,0.0554,-14.29,1.68
6,2000-06-30,5.16,12.61,7140.269810369701,0.45324,1.724249851393746e-05,14.78,14.78,0.0326,14.78,12.61
7,2000-07-31,5.13,-14.44,1955.3599499534823,0.45667,2.9655199852667388e-05,0.76,0.76,0.0173,0.76,-14.44
8,2000-08-31,5.12,-3.14,1530.9604972959908,0.50129,1.4466568010249263e-05,9.77,9.77,0.0233,9.77,-3.14
9,2000-09-30,5.09,-17.36,2588.993407525864,0.44982,-1.6547400053188946e-05,-14.94,-14.94,0.0478,-14.94,-17.36
10,2000-10-31,5.37,-16.2,4598.556668625147,0.56998,1.4735800915800823e-06,26.72,26.72,0.0483,26.72,-16.2
11,2000-11-30,5.32,-0.81,3153.020241934456,0.58025,-3.690277619794824e-05,4.0,4.0,0.012,4.0,-0.81
12,2000-12-31,6.08,-4.36,4437.649807381633,0.59058,-9.203464861823109e-06,-1.71,-1.71,0.0272,-1.71,-4.36
13,2001-01-31,5.27,23.09,23956.657289808947,0.88921,-8.840899589462943e-06,66.28,66.28,0.0457,66.28,23.09
14,2001-02-28,5.06,-7.49,39450.28157330079,0.53332,4.477064102206506e-07,-40.64,-40.64,0.0641,-40.64,-7.49
15,2001-03-31,4.96,-9.68,44495.7393120109,0.46244,2.970841873919261e-07,-13.29,-13.29,0.0395,-13.29,-9.68
16,2001-04-30,5.01,11.19,18127.658128779793,0.48271,-6.442706315796973e-07,4.38,4.38,0.0261,4.38,11.19
17,2001-05-31,5.01,5.02,45412.844241543404,0.66499,3.013630017843675e-06,37.76,37.76,0.0411,37.76,5.02
18,2001-06-30,4.99,-7.17,27961.21715967227,0.68018,6.209711510681522e-06,8.33,8.33,0.0369,8.33,-7.17
19,2001-07-31,4.77,-8.5,9732.847792587594,0.57215,-6.470707023290688e-06,-15.88,-15.88,0.036,-15.88,-8.5
20,2001-08-31,4.54,0.66,8179.72319757495,0.57722,6.688205214196759e-07,0.88,0.88,0.0336,0.88,0.66
21,2001-09-30,4.0,-17.28,6440.407534820198,0.51646,1.5698716048824534e-05,-16.39,-16.39,0.045,-16.39,-17.28
22,2001-10-31,4.02,12.78,4203.013233082706,0.59745,2.2783511063562775e-05,15.69,15.69,0.0255,15.69,12.78
23,2001-11-30,4.04,20.45,7881.172742651724,0.7325,2.0930823780161376e-05,29.17,29.17,0.0236,29.17,20.45
24,2001-12-31,4.01,10.41,10770.10251705527,0.65147,-3.0530180245964166e-06,-3.5,-3.5,0.0329,-3.5,10.41
25,2002-01-31,3.98,6.92,12210.905861329522,0.75384,1.2071702814892101e-05,27.98,27.98,0.0266,27.98,6.92
26,2002-02-28,4.01,10.36,10368.144510024358,0.79354,1.1825167669673031e-05,9.7,9.7,0.0277,9.7,10.36
27,2002-03-31,4.0,8.98,13064.656364428613,0.78131,-1.1010359218206393e-06,-1.54,-1.54,0.0259,-1.54,8.98
28,2002-04-30,4.04,-4.87,8583.472802158783,0.75384,-1.607448792160605e-06,-3.52,-3.52,0.0277,-3.52,-4.87
29,2002-05-31,4.28,-5.25,3646.3748838487086,0.70195,1.3017949523778026e-05,-6.88,-6.88,0.0203,-6.88,-5.25
30,2002-06-30,4.26,-12.73,2483.0666445595857,0.7447,2.793470354396488e-05,-1.81,-1.81,0.0247,-1.81,-12.73
