,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,15397.484126071233,1.41611,-1.7618691114469175e-06,-28.27,-28.27,0.0505,-28.27,11.18
1,2000-01-31,4.78,-8.41,17562.7483496113,1.66139,3.9778502266555784e-07,17.31,17.31,0.0693,17.31,-8.41
2,2000-02-29,5.07,-13.36,21643.97244774766,1.31982,7.139020262064794e-07,-11.23,-11.23,0.0527,-11.23,-13.36
3,2000-03-31,5.05,4.71,15783.64243363252,0.86858,-2.1947767385468354e-06,-34.19,-34.19,0.0486,-34.19,4.71
4,2000-04-30,5.06,-17.96,12839.85445802114,0.74814,7.437576649837314e-06,-20.54,-20.54,0.0685,-20.54,-17.96
5,2000-05-31,5.12,1.68,20726.48147606287,0.7828,3.2245862959887267e-06,4.64,4.64,0.0811,4.64,1.68
6,2000-06-30,5.16,12.61,25842.77516148213,0.82126,3.568872910813409e-06,9.24,9.24,0.0639,9.24,12.61
7,2000-07-31,5.13,-14.44,61763.00444541363,0.89767,-1.725804497771714e-07,9.31,9.31,0.0624,9.31,-14.44
8,2000-08-31,5.12,-3.14,23181.120964780344,0.79216,-4.871347647423484e-06,-11.74,-11.74,0.0379,-11.74,-3.14
9,2000-09-30,5.09,-17.36,11485.806379890799,0.66945,-1.6725126000395736e-06,-18.93,-18.93,0.0523,-18.93,-17.36
10,2000-10-31,5.37,-16.2,11796.124938560457,0.52802,-2.714903842263241e-07,-21.11,-21.11,0.0376,-21.11,-16.2
11,2000-11-30,5.32,-0.81,12608.54445516568,0.56395,5.56264628138526e-06,4.06,4.06,0.0359,4.06,-0.81
12,2000-12-31,6.08,-4.36,38004.67283748784,0.81493,5.66411059871188e-06,40.17,40.17,0.0522,40.17,-4.36
13,2001-01-31,5.27,23.09,96765.70464301946,1.28755,7.511773133645708e-08,57.99,57.99,0.0793,57.99,23.09
14,2001-02-28,5.06,-7.49,55249.685082775686,1.4892,2.4941374503397907e-06,24.35,24.35,0.0542,24.35,-7.49
15,2001-03-31,4.96,-9.68,31768.699977136082,1.1403,-2.8174884541800937e-08,-23.43,-23.43,0.0518,-23.43,-9.68
16,2001-04-30,5.01,11.19,34840.92228990412,1.45796,6.3711489696153795e-06,35.84,35.84,0.0386,35.84,11.19
17,2001-05-31,5.01,5.02,27557.977415076442,1.42606,-4.504117994032235e-06,-2.18,-2.18,0.0349,-2.18,5.02
18,2001-06-30,4.99,-7.17,12032.786450562648,1.262,-6.272610245364183e-06,-13.45,-13.45,0.0277,-13.45,-7.17
19,2001-07-31,4.77,-8.5,9868.69309514822,1.0046,-6.108346397511951e-06,-20.39,-20.39,0.0331,-20.39,-8.5
20,2001-08-31,4.54,0.66,19375.786022131764,1.01698,-3.507951903276349e-06,1.22,1.22,0.0342,1.22,0.66
