,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn,indexreturn
54,2004-06-30,3.78,-2.2,19.74262031044718,0.29801,-0.6270245243476135,-6.53,0.041,-6.53,-2.2
55,2004-07-31,3.77,-6.46,4.732742345858571,0.22001,-0.022013952938465316,-26.18,0.0284,-26.18,-6.46
56,2004-08-31,3.52,8.0,6.6797309604935995,0.23694,-0.2336013211993163,7.71,0.0362,7.71,8.0
57,2004-09-30,3.55,4.67,15.043878012875874,0.26168,-0.14351092437238386,13.45,0.0456,13.45,4.67
58,2004-10-31,3.53,0.61,37.52813398960897,0.43127,0.38998399413290336,63.6,0.0545,63.6,0.61
59,2004-11-30,3.26,5.01,39.02423188068592,0.46811,0.6372697755666291,8.54,0.044,8.54,5.01
60,2004-12-31,3.29,1.63,19.431132321436223,0.49329,-0.4444566239271397,5.38,0.0364,5.38,1.63
61,2005-01-31,3.26,5.04,11.379679655492636,0.44175,1.5715390021676843,27.31,0.023,27.31,5.04
62,2005-02-28,3.28,8.09,33.7002650982626,0.68853,-0.2698298331352175,57.81,0.0501,57.81,8.09
63,2005-03-31,3.26,-4.64,39.23966711884525,0.7158,-0.15301384131918322,3.96,0.0602,3.96,-4.64
64,2005-04-30,3.29,-5.28,22.894637798582625,0.76011,0.44558624236347244,11.72,0.0401,11.72,-5.28
65,2005-05-31,3.29,6.17,14.236575564998626,0.72944,-0.09670409910692153,-4.04,0.0326,-4.04,6.17
66,2005-06-30,3.3,3.68,14.278167228288435,0.94078,1.7096829954353796,28.37,0.0469,28.37,3.68
67,2005-07-31,3.27,11.61,29.394760322670077,1.20664,1.81315413614156,47.5,0.0619,47.5,11.61
68,2005-08-31,3.25,-2.25,11.712860719632038,1.1487,0.8989437087092204,-4.8,0.0381,-4.8,-2.25
69,2005-09-30,3.28,12.46,13.6136508338558,1.15892,-0.20074255593195886,6.25,0.0274,6.25,12.46
70,2005-10-31,3.51,-5.53,8.978149173707655,1.30162,0.5523435160551761,12.31,0.0278,12.31,-5.53
