,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-59.16,-59.16
1,2000-01-31,4.78,34.08,34.08
2,2000-02-29,5.07,48.0,48.0
3,2000-03-31,5.05,-5.59,-5.59
4,2000-04-30,5.06,-25.98,-25.98
5,2000-05-31,5.12,-32.98,-32.98
6,2000-06-30,5.16,3.73,3.73
7,2000-07-31,5.13,-20.4,-20.4
8,2000-08-31,5.12,25.63,25.63
9,2000-09-30,5.09,43.3,43.3
10,2000-10-31,5.37,-43.32,-43.32
11,2000-11-30,5.32,-9.7,-9.7
12,2000-12-31,6.08,-24.77,-24.77
13,2001-01-31,5.27,56.1,56.1
14,2001-02-28,5.06,19.47,19.47
15,2001-03-31,4.96,-45.56,-45.56
16,2001-04-30,5.01,8.84,8.84
17,2001-05-31,5.01,34.38,34.38
18,2001-06-30,4.99,61.83,61.83
19,2001-07-31,4.77,-27.67,-27.67
20,2001-08-31,4.54,-17.39,-17.39
21,2001-09-30,4.0,-28.35,-28.35
22,2001-10-31,4.02,44.6,44.6
23,2001-11-30,4.04,-4.34,-4.34
24,2001-12-31,4.01,-35.64,-35.64
25,2002-01-31,3.98,9.92,9.92
26,2002-02-28,4.01,-4.44,-4.44
27,2002-03-31,4.0,14.42,14.42
28,2002-04-30,4.04,-4.07,-4.07
29,2002-05-31,4.28,12.29,12.29
30,2002-06-30,4.26,-11.66,-11.66
31,2002-07-31,4.27,-6.0,-6.0
32,2002-08-31,4.28,-3.45,-3.45
33,2002-09-30,4.28,-23.21,-23.21
34,2002-10-31,4.28,-3.49,-3.49
35,2002-11-30,4.28,16.28,16.28
36,2002-12-31,4.52,-43.5,-43.5
37,2003-01-31,4.34,4.42,4.42
38,2003-02-28,4.27,-25.0,-25.0
39,2003-03-31,4.27,-19.05,-19.05
40,2003-04-30,4.26,40.54,40.54
41,2003-05-31,4.01,-34.65,-34.65
42,2003-06-30,4.1,17.47,17.47
43,2003-07-31,3.75,7.69,7.69
44,2003-08-31,3.72,-5.88,-5.88
45,2003-09-30,3.77,-27.73,-27.73
46,2003-10-31,3.84,-6.89,-6.89
47,2003-11-30,3.78,1.71,1.71
48,2003-12-31,3.97,-23.31,-23.31
49,2004-01-31,3.78,-9.52,-9.52
50,2004-02-29,3.78,-9.34,-9.34
51,2004-03-31,3.74,31.65,31.65
52,2004-04-30,3.76,7.6,7.6
53,2004-05-31,3.77,-18.96,-18.96
54,2004-06-30,3.78,0.89,0.89
55,2004-07-31,3.77,-9.29,-9.29
56,2004-08-31,3.52,26.83,26.83
57,2004-09-30,3.55,247.01,247.01
58,2004-10-31,3.53,-16.05,-16.05
59,2004-11-30,3.26,-9.41,-9.41
60,2004-12-31,3.29,-4.55,-4.55
61,2005-01-31,3.26,21.77,21.77
