,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,586.801189948143,0.50058,1.2701603248685001e-05,-9.89,0.0242
1,2000-01-31,136.0221362041853,0.26158,2.7022796899941753e-05,4.08,0.0519
2,2000-02-29,322.14619423657336,0.27829,4.311120925413192e-06,25.33,0.0342
3,2000-03-31,544.9448626533169,0.34877,-9.574564949775282e-06,-24.94,0.0571
4,2000-04-30,643.4605543761055,0.24269,-2.0474609461171157e-05,-38.92,0.0538
5,2000-05-31,1605.4505894629337,0.14823,-1.7806789986994686e-05,20.83,0.0529
6,2000-06-30,1780.491076422608,0.21072,-4.282942361579066e-06,-16.21,0.0324
7,2000-07-31,1422.9198653244503,0.17657,-9.983665203054506e-06,2.26,0.0397
8,2000-08-31,1088.1242499613058,0.18056,-1.6504890134551063e-05,-0.19,0.0197
9,2000-09-30,1170.913896201377,0.1871,-6.134693342012306e-06,-18.45,0.0131
10,2000-10-31,737.334909918907,0.15259,-1.61553389241504e-06,14.35,0.0459
11,2000-11-30,1408.9372486344325,0.17657,-1.2174162420980171e-05,-18.49,0.0273
12,2000-12-31,951.127474562918,0.13769,-8.82564243979913e-06,10.29,0.0175
13,2001-01-31,1038.4753685724559,0.16587,-1.1021437029503696e-05,0.48,0.0108
14,2001-02-28,370.1262414975571,0.16468,-5.027135639545473e-06,-6.99,0.0108
15,2001-03-31,741.0170771005282,0.15317,-4.565547622007266e-07,-1.55,0.0116
16,2001-04-30,268.8759087299889,0.15079,3.1043187253814085e-06,-0.26,0.011
17,2001-05-31,580.6827376634951,0.15039,-6.360515817793859e-07,26.98,0.0673
18,2001-06-30,2525.8076042292637,0.19047,6.744541575974253e-06,-27.29,0.0331
19,2001-07-31,1137.2388866148178,0.13849,-4.461868629591774e-06,-3.44,0.0113
20,2001-08-31,368.63846451912895,0.13373,-1.2698281244027673e-05,-22.49,0.0503
21,2001-09-30,638.6115239475728,0.10397,-3.326632501683189e-06,11.83,0.0336
22,2001-10-31,358.9975910223844,0.11627,7.26338964273524e-06,13.89,0.0249
23,2001-11-30,691.6806249192117,0.13016,-1.7846259225988972e-06,3.75,0.0189
24,2001-12-31,686.1943137428977,0.13174,1.225685777576334e-06,14.16,0.0534
25,2002-01-31,1401.5238799742044,0.15047,-3.2503280893630305e-06,-2.33,0.0166
26,2002-02-28,557.6330278340228,0.14968,2.9264434080418684e-06,10.88,0.0389
27,2002-03-31,1193.8109690991453,0.16596,-1.944646000782882e-06,-16.75,0.0302
28,2002-04-30,1024.667967747847,0.13816,-3.9815156840974635e-06,-7.18,0.0168
29,2002-05-31,478.352862877446,0.12824,-3.2218460082099807e-07,-20.06,0.0254
30,2002-06-30,740.4466465568614,0.10601,-2.119804834877123e-05,-1.12,0.0251
31,2002-07-31,737.6725795015888,0.10481,-5.542300406412761e-06,-2.62,0.0134
32,2002-08-31,524.4323250058758,0.10323,-5.837403824064415e-08,-0.38,0.0605
33,2002-09-30,2439.424940602726,0.10283,-6.13720019235618e-07,6.18,0.0171
34,2002-10-31,579.1669329558094,0.10918,-4.825834005278206e-06,-1.8,0.0112
35,2002-11-30,1169.5210144537452,0.10839,-2.1815106268606664e-05,-11.72,0.015
36,2002-12-31,1079.5710413066315,0.09568,-1.6375990954944548e-05,-14.94,0.0143
37,2003-01-31,688.8154208869104,0.08373,0.0,6.67,0.0334
38,2003-02-28,527.7726686413147,0.0915,-2.036689835899374e-07,7.14,0.0208
39,2003-03-31,1848.1073134847813,0.09803,6.794757413435822e-05,0.83,0.0208
40,2003-04-30,645.4957874270901,0.09926,1.286703763853743e-05,45.27,0.0432
41,2003-05-31,5524.8217390145055,0.14419,-2.5433751169993132e-05,-3.68,0.017
42,2003-06-30,2397.1713413967436,0.13888,-6.464009122440253e-06,-7.65,0.0118
43,2003-07-31,1871.3348065569444,0.12826,5.595862034341333e-06,-11.6,0.0213
44,2003-08-31,1437.1672619152343,0.11519,2.7332124248836363e-05,-4.26,0.0156
45,2003-09-30,856.8526512479265,0.11028,4.518370372857298e-06,9.63,0.025
46,2003-10-31,906.7428376981167,0.1209,8.197452684797792e-06,1.45,0.0232
47,2003-11-30,936.6518231317949,0.11437,-2.078407496301146e-06,2.14,0.0105
48,2003-12-31,874.264488206016,0.11682,3.280109585073664e-05,-0.35,0.0074
49,2004-01-31,790.5637570419443,0.11265,1.2373507371554379e-05,-5.92,0.0175
50,2004-02-29,564.2761835839316,0.10672,-8.072912715495956e-07,1.48,0.0122
51,2004-03-31,575.2017940117748,0.1083,1.2998759007410206e-05,15.69,0.0251
52,2004-04-30,679.3943486391024,0.1253,1.4896456070902868e-05,-4.42,0.0134
53,2004-05-31,385.3705413870246,0.11977,1.81177929485879e-05,4.29,0.0302
54,2004-06-30,462.02042792585075,0.12491,2.545068928950159e-05,-3.8,0.0106
55,2004-07-31,294.92066835969064,0.12016,2.653815532555564e-05,3.95,0.0174
56,2004-08-31,401.59448837345514,0.12491,1.071390925429574e-05,57.86,0.0569
57,2004-09-30,5473.772520782876,0.19843,-4.961165537595933e-06,-0.62,0.0236
58,2004-10-31,2440.638624886296,0.19131,1.2552095764407807e-05,49.17,0.0338
59,2004-11-30,4028.930476622378,0.28539,-8.684045122707767e-07,7.76,0.0383
60,2004-12-31,4274.748048606337,0.30752,7.291340059281951e-06,9.25,0.0408
61,2005-01-31,2602.119889435409,0.32329,3.6323647156425955e-07,36.93,0.0552
62,2005-02-28,3920.7152773827656,0.41458,5.6652323236754715e-06,8.62,0.0415
63,2005-03-31,3491.34477908433,0.45033,1.0132700935861755e-05,0.82,0.0267
64,2005-04-30,1047.4591140635705,0.46782,1.662277240971152e-05,-0.81,0.0343
65,2005-05-31,1642.3880258046484,0.46402,4.59868507694022e-06,12.69,0.0183
66,2005-06-30,1338.6328722712456,0.51347,4.5838874046857e-06,-4.31,0.0262
67,2005-07-31,1539.6881288980085,0.48988,-3.497931828199336e-06,-9.01,0.017
68,2005-08-31,928.0459592958204,0.44576,6.276708383880242e-06,7.46,0.0241
69,2005-09-30,4572.061964576507,0.48228,-8.207191298912445e-06,-5.68,0.018
70,2005-10-31,1813.0840482967349,0.45489,-1.4373669217914446e-05,-7.38,0.0189
71,2005-11-30,1741.814542657913,0.41077,-1.352685541980101e-05,2.96,0.0131
72,2005-12-31,2282.995729705897,0.42294,1.227577421420494e-05,20.68,0.0239
73,2006-01-31,1846.7064608366993,0.50977,2.792251373698659e-05,-8.24,0.0272
74,2006-02-28,778.1151715392785,0.47406,1.83227469875327e-05,-7.53,0.0165
75,2006-03-31,831.8506815478082,0.43836,1.633105536294262e-05,1.55,0.0065
76,2006-04-30,1679.9618097410892,0.44823,2.952318596161032e-05,0.51,0.02
77,2006-05-31,1388.6604602664038,0.45051,2.6009398459230954e-05,-14.84,0.0302
78,2006-06-30,973.7167083630518,0.38366,1.4278801369662912e-05,-9.11,0.0286
79,2006-07-31,1001.5094826986698,0.34871,2.275790222573514e-06,54.03,0.0761
80,2006-08-31,4258.355637570472,0.53712,1.1653158801892302e-05,-0.97,0.0497
81,2006-09-30,4522.55397734218,0.61841,8.136424836102466e-06,-2.58,0.016
82,2006-10-31,663.069067511896,0.60245,1.9002182355277334e-05,-4.0,0.0262
83,2006-11-30,533.2310416260275,0.56523,5.379198832959707e-07,26.56,0.0384
84,2006-12-31,1577.564906154616,0.69134,2.4175589377221277e-05,-13.19,0.0172
85,2007-01-31,655.0695192744947,0.58296,1.987476820219646e-05,0.77,0.0122
86,2007-02-28,356.85297181382947,0.58296,1.5565742588494264e-05,-1.9,0.0207
87,2007-03-31,872.9897958198464,0.57189,4.388311456724653e-05,3.23,0.0253
88,2007-04-30,702.9954724017787,0.59034,2.3908146705691356e-05,16.13,0.0281
89,2007-05-31,894.7898586380347,0.68553,2.1407789316099264e-05,33.49,0.0307
90,2007-06-30,1511.8574171366513,0.82647,1.997376267347686e-05,34.82,0.0461
91,2007-07-31,1944.2154776971458,1.11426,1.4653391144520488e-05,-1.99,0.0428
92,2007-08-31,1341.8009913854842,1.09212,6.713172407354417e-06,3.5,0.0204
93,2007-09-30,712.0035208864216,1.09212,8.926522491353997e-06,-4.05,0.0312
94,2007-10-31,844.9072010016515,1.04785,1.632338173908772e-05,-4.01,0.0422
95,2007-11-30,975.5092448548631,1.02571,9.100430221660136e-06,-1.04,0.034
96,2007-12-31,725.8880047585322,0.91502,-6.607827596277765e-06,-17.02,0.0287
97,2008-01-31,544.826430907426,0.77052,2.9329985437234043e-06,2.33,0.0314
98,2008-02-29,316.3374164353484,0.75629,5.029482334503682e-06,-10.89,0.0235
99,2008-03-31,2426.966462407097,0.67392,-8.248929181859135e-05,1.8,0.0394
100,2008-04-30,451.559750881223,0.67692,-1.2318836720909017e-06,0.88,0.0147
101,2008-05-31,551.8344154732583,0.68291,-1.4192631322000804e-06,3.84,0.0217
102,2008-06-30,476.2377748805552,0.70912,1.1623959157603868e-05,4.75,0.0247
103,2008-07-31,567.986813504586,0.74281,9.266736158707482e-06,1.93,0.0261
104,2008-08-31,380.2549078203943,0.71136,8.077939155389024e-06,1.26,0.0428
105,2008-09-30,946.9509083925485,0.72035,1.5765516780082823e-05,-17.05,0.0946
106,2008-10-31,1162.8451662466287,0.59755,4.194056552953668e-06,64.23,0.0551
107,2008-11-30,1746.2230244930322,0.85963,4.690925845368972e-06,-10.54,0.0334
108,2008-12-31,863.8921205528878,0.76902,-2.481416551772279e-06,-11.3,0.0406
109,2009-01-31,549.9431100683837,0.56489,-9.69408461861808e-06,-20.6,0.0271
110,2009-02-28,803.8589199479732,0.42786,-2.4651713289419668e-05,-7.68,0.019
111,2009-03-31,3355.407212394355,0.39499,-9.10282996587499e-06,1.9,0.0261
112,2009-04-30,1652.6638660035785,0.39809,-1.2434184736491019e-05,0.61,0.0189
113,2009-05-31,2316.4308182090645,0.40925,-5.934587789104026e-06,-2.73,0.017
114,2009-06-30,981.4374891603616,0.39809,-2.505003040417789e-06,10.59,0.0139
115,2009-07-31,781.8473991185026,0.44026,9.524317006214685e-06,9.15,0.0211
116,2009-08-31,1050.2149727051003,0.48056,8.347074482700088e-06,9.13,0.0213
117,2009-09-30,866.708182040163,0.54133,1.8021231266420645e-05,-14.32,0.0138
118,2009-10-31,384.33586170848764,0.46382,-3.978378171153644e-06,-7.62,0.0162
119,2009-11-30,332.555535177953,0.42848,-1.3362738516905282e-05,5.64,0.0133
120,2009-12-31,450.8419998695944,0.45266,7.160235160431171e-06,-5.26,0.0091
121,2010-01-31,493.15045670030025,0.35462,-1.7536662759783882e-05,-4.22,0.0122
122,2010-02-28,398.97371202223536,0.34116,-1.4473309381304721e-05,8.65,0.0148
123,2010-03-31,910.4163316677311,0.37067,1.2001762717866852e-06,6.37,0.0153
124,2010-04-30,883.8364142722204,0.38879,-2.474932844500426e-05,-4.13,0.0176
125,2010-05-31,561.8485416397652,0.37274,8.889470385984233e-06,3.75,0.0126
126,2010-06-30,461.0828400240526,0.38672,5.55240854880158e-06,-2.28,0.0087
127,2010-07-31,422.6489926785491,0.37792,-2.3642448732624994e-05,26.44,0.0378
128,2010-08-31,1710.3652558815193,0.47783,2.0911947828091997e-06,28.06,0.0298
129,2010-09-30,1409.661158934964,0.61657,1.0339016652470144e-05,10.19,0.0331
130,2010-10-31,1838.245955328631,0.66627,4.970898134240355e-06,10.72,0.0471
131,2010-11-30,2287.7918621129434,0.73771,-2.4691972251760228e-06,-11.44,0.0154
132,2010-12-31,2256.9722851312717,0.65333,-4.2503445280353486e-05,9.59,0.0298
133,2011-01-31,1234.4613274417502,0.62651,9.948288539052191e-06,-11.94,0.0181
134,2011-02-28,1029.0120676760553,0.52775,2.289154324696635e-06,11.59,0.0203
135,2011-03-31,938.4917126589671,0.58891,-1.4032567221875743e-06,19.54,0.0267
136,2011-04-30,1444.5237793988179,0.68721,7.123987296842644e-06,20.24,0.0337
137,2011-05-31,1795.6742443575877,0.82628,2.369912039137331e-06,-6.99,0.0196
138,2011-06-30,1646.804087867138,0.74746,1.2514749039059157e-05,1.19,0.0172
139,2011-07-31,1090.2467336353488,0.7692,5.522579148368671e-06,-17.61,0.0313
140,2011-08-31,1322.575566083536,0.63375,-1.0736286323243597e-06,-13.92,0.027
141,2011-09-30,1092.1490329271887,0.54904,1.6985856650431967e-06,22.52,0.0218
142,2011-10-31,637.0523371386772,0.67271,1.3626789217524078e-05,-12.65,0.0209
143,2011-11-30,490.2539247997013,0.57532,-6.912901368932717e-06,-1.74,0.0235
144,2011-12-31,522.7074309865144,0.56173,-1.0656468643483491e-05,6.45,0.0183
145,2012-01-31,459.8812457754177,0.58889,1.1427614460436577e-05,-4.17,0.0095
146,2012-02-29,527.8119330895206,0.58443,-5.825572281507147e-06,-10.76,0.0097
147,2012-03-31,492.3962813996317,0.52152,-2.081728792653295e-05,-12.23,0.0219
148,2012-04-30,677.3558575571371,0.45773,-1.4558884673540879e-05,-23.0,0.0214
149,2012-05-31,993.8653459579924,0.35244,-1.0905322739319014e-05,0.84,0.0245
150,2012-06-30,706.1048097740685,0.37341,-9.344219339333418e-06,-3.82,0.0138
151,2012-07-31,676.4555473142253,0.35913,-1.1811419223069827e-05,11.06,0.0177
152,2012-08-31,954.5957975835753,0.39884,-7.83314409330974e-06,6.38,0.0183
153,2012-09-30,646.7832891824005,0.42382,6.5236250054758916e-06,6.74,0.0346
154,2012-10-31,1196.843847635897,0.45237,1.4828046040496305e-05,-7.43,0.0193
155,2012-11-30,914.406147226564,0.41668,4.0115774306294254e-06,2.16,0.0151
156,2012-12-31,710.559131187006,0.42159,2.1806375346425762e-05,2.43,0.0106
157,2013-01-31,661.2871487509736,0.40906,3.00003778116696e-05,7.59,0.012
158,2013-02-28,623.0295772844675,0.43738,4.100539156269108e-05,0.58,0.0112
159,2013-03-31,470.65678013167235,0.43991,2.1311776715193474e-05,-2.98,0.0194
160,2013-04-30,647.4584425633471,0.42681,-1.3460251254969137e-06,3.86,0.022
161,2013-05-31,462.9446128500539,0.44329,1.7260407335868717e-05,-6.9,0.0172
162,2013-06-30,518.3443323700702,0.40484,1.4781289686569659e-06,12.32,0.0158
163,2013-07-31,462.0492168371334,0.4547,2.693180294636475e-05,7.84,0.0243
164,2013-08-31,746.9532570060354,0.48851,8.374131719025615e-06,3.81,0.0165
165,2013-09-30,628.4172006443927,0.5071,1.6835037722277708e-05,9.17,0.0176
