,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
140,2011-08-31,84300.0,90900.0,83145.0,78000.0,119000.0,87102.0,70600.0,84300.0,81440.0,78000.0,-1.98,13.92,5.38,6.31,-19.59,12892.0,0.0235,0.0291,0.0223,0.0227,3.27,-1.98
141,2011-09-30,68500.0,83100.0,76255.0,68000.0,116000.0,84246.0,68000.0,69000.0,68620.0,68000.0,-17.87,-11.15,-20.35,-3.66,-37.5,24793.0,0.0247,0.0246,0.0217,0.0264,3.28,-17.87
142,2011-10-31,65900.0,65900.0,63045.0,59200.0,99000.0,80509.0,59200.0,65900.0,64340.0,63000.0,-3.8,-23.37,-13.63,1.38,-30.15,30040.0,0.0251,0.0274,0.0219,0.027,3.26,-3.8
143,2011-11-30,70000.0,70700.0,69055.0,65000.0,96300.0,78282.0,59200.0,70000.0,68080.0,66500.0,7.53,-16.07,-4.89,7.69,-23.25,10497.0,0.0236,0.0182,0.0219,0.0244,3.27,7.53
144,2011-12-31,65600.0,68000.0,65435.0,62500.0,91700.0,76292.0,59200.0,67200.0,66300.0,65000.0,0.14,1.17,-8.88,2.38,-21.73,18067.0,0.0241,0.0169,0.022,0.0178,3.29,0.14
145,2012-01-31,64000.0,67000.0,64340.0,62400.0,91700.0,74888.0,59200.0,64000.0,62900.0,62400.0,-2.44,1.85,-21.95,1.59,-9.91,24021.0,0.0223,0.0154,0.0221,0.0168,3.27,-2.44
146,2012-02-29,57100.0,63100.0,59770.0,57000.0,91700.0,73182.0,57000.0,58800.0,57880.0,57000.0,-9.22,-12.83,-27.76,-1.72,-25.15,21645.0,0.0199,0.0088,0.0215,0.0141,3.26,-9.22
147,2012-03-31,60300.0,60300.0,56295.0,53900.0,91700.0,71337.0,53900.0,60300.0,57800.0,54700.0,5.6,-8.08,-7.68,9.64,-26.47,41347.0,0.0162,0.0159,0.0214,0.0136,3.24,5.6
148,2012-04-30,60200.0,63200.0,60790.0,59000.0,91700.0,69688.0,53900.0,63200.0,61700.0,60000.0,-0.17,-3.99,-3.02,-2.11,-17.26,30714.0,0.0157,0.0164,0.0215,0.0146,3.26,-0.17
149,2012-05-31,51000.0,60300.0,55495.0,51000.0,90900.0,67550.0,51000.0,52600.0,52000.0,51000.0,-15.28,-10.68,-23.59,-2.86,-27.72,39330.0,0.0152,0.0155,0.0199,0.0161,3.27,-15.28
