,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,11897.107879534218,0.71977,-1.4711245848976415e-06,6.09,0.0577
1,2000-01-31,10757.517993435362,0.76358,3.7099482536292594e-06,-17.11,0.0496
2,2000-02-29,12226.401794244437,0.64675,-8.79118520874274e-06,-9.68,0.0558
3,2000-03-31,13115.263731675635,0.58416,9.390840224801036e-06,-26.16,0.0532
4,2000-04-30,17441.143361270402,0.47565,-8.916335987383747e-06,12.11,0.067
5,2000-05-31,29926.66161521671,0.53323,9.506661794033624e-07,17.7,0.0513
6,2000-06-30,29822.745409543546,0.56736,2.5890778638215215e-07,-19.17,0.0402
7,2000-07-31,15826.893286156042,0.45858,-3.5948444088498177e-07,7.44,0.041
8,2000-08-31,21745.716715378396,0.49271,6.079360691985928e-07,-12.86,0.0369
9,2000-09-30,8917.06795525969,0.44791,1.532519619795426e-05,-20.0,0.0262
10,2000-10-31,21355.84692035526,0.35834,9.433416054576055e-07,-22.91,0.0229
11,2000-11-30,13871.575304363687,0.29434,-1.1698417821674068e-05,-20.27,0.0484
12,2000-12-31,24350.560388089663,0.25168,4.849170491803477e-09,24.58,0.0472
13,2001-01-31,33927.207745340944,0.31354,1.375422578868037e-06,9.85,0.031
14,2001-02-28,29604.734441516317,0.30927,-3.7252596725879946e-06,-8.97,0.0315
15,2001-03-31,15508.57204618548,0.28155,-5.6336452171129164e-08,-5.3,0.0211
16,2001-04-30,10172.621547123335,0.30258,1.1530476461771829e-09,50.4,0.0357
17,2001-05-31,48404.075682063405,0.45508,-1.9830215193225267e-08,-3.37,0.086
18,2001-06-30,101906.68106125809,0.41635,5.012389161765997e-09,-19.19,0.0326
19,2001-07-31,28154.105651227237,0.33647,-1.1215546354250647e-08,-7.91,0.0228
20,2001-08-31,21199.061985883352,0.30984,-2.2758342131471336e-10,-28.03,0.0687
21,2001-09-30,17304.235842541435,0.22996,0.0,9.47,0.0265
22,2001-10-31,16222.561360101796,0.25175,-5.664874253245654e-08,7.62,0.0302
23,2001-11-30,20564.19382438083,0.27353,1.3024779436700046e-07,-3.57,0.0207
24,2001-12-31,8511.886482548513,0.26142,6.716085865157786e-08,24.07,0.0651
25,2002-01-31,49438.56671299513,0.32436,-2.502460697556926e-09,-13.51,0.0463
26,2002-02-28,26821.98332286253,0.30984,1.4346832439660156e-06,21.09,0.0672
27,2002-03-31,68042.67207919073,0.37519,-6.000726636343918e-07,2.58,0.0603
28,2002-04-30,42098.534019516104,0.38249,-6.833267979561223e-07,-1.26,0.0704
29,2002-05-31,112277.1876146602,0.37768,2.06208922023076e-07,-22.92,0.0617
30,2002-06-30,47765.51643786127,0.35603,-6.124811677075896e-07,5.41,0.0484
31,2002-07-31,56514.663006679475,0.37528,2.5095169304883526e-08,1.94,0.0151
32,2002-08-31,24390.90367211561,0.38009,3.1451862970900833e-09,-27.22,0.0241
33,2002-09-30,17711.8983504938,0.27664,0.0,5.22,0.0285
34,2002-10-31,15661.608127898462,0.29108,0.0,-1.6,0.0165
35,2002-11-30,10408.404910929225,0.29589,0.0,-15.45,0.0231
36,2002-12-31,6902.735844486162,0.25018,0.0,-3.85,0.0242
37,2003-01-31,29457.636636841748,0.24056,8.832874313513701e-10,7.84,0.0201
38,2003-02-28,15754.14426070712,0.26462,5.928993139658659e-09,-5.45,0.0467
39,2003-03-31,20706.831653225807,0.25018,0.0,5.66,0.0264
40,2003-04-30,23902.235484917288,0.24576,-1.233659390291505e-10,5.36,0.0469
41,2003-05-31,50624.67344740936,0.25893,9.33028748379162e-10,10.17,0.0452
42,2003-06-30,35212.65364568739,0.28526,-7.957989727662925e-11,47.69,0.0433
43,2003-07-31,52434.15686449369,0.42131,5.94804197707629e-06,68.89,0.0727
44,2003-08-31,124303.83012429929,0.66707,3.1618033621271147e-06,-29.93,0.0701
45,2003-09-30,90161.41908798597,0.46739,-1.9070022581112729e-06,24.88,0.0402
46,2003-10-31,85877.65918466392,0.58369,-1.336882025635438e-06,3.66,0.0381
47,2003-11-30,81374.01791036688,0.55955,-7.694819113270513e-07,-2.35,0.034
48,2003-12-31,31925.541083864926,0.54639,3.5645430265987646e-06,-0.4,0.0268
49,2004-01-31,44244.358085186585,0.54419,-2.899189596484441e-06,-5.99,0.0281
50,2004-02-29,30863.827532869298,0.55078,1.372086767958748e-06,7.17,0.0332
51,2004-03-31,58563.351610312646,0.59027,-6.759564567528615e-07,7.63,0.0287
52,2004-04-30,50756.75723126414,0.56395,2.5569760335816944e-06,-18.09,0.037
53,2004-05-31,59056.8038247645,0.46196,-1.0180404585355472e-06,-11.06,0.0334
54,2004-06-30,25120.88907919978,0.41796,3.150018639128886e-07,-6.7,0.0179
55,2004-07-31,15211.303764790247,0.38996,-5.349632295440239e-07,10.77,0.0159
56,2004-08-31,15042.841260320372,0.43196,-1.0448237323991912e-08,2.34,0.0153
57,2004-09-30,17741.413466782153,0.43796,1.9033102119970104e-10,14.61,0.0477
58,2004-10-31,39188.248723098994,0.50195,3.8214890657947453e-07,14.74,0.0245
59,2004-11-30,25712.6281056743,0.57595,-1.8599490670281626e-06,-2.78,0.0329
60,2004-12-31,20664.602991016192,0.55995,-1.2794412423969545e-06,6.79,0.0197
61,2005-01-31,28717.04086940846,0.58324,-1.7234664789869364e-06,60.34,0.0521
62,2005-02-28,71174.09935247693,0.90704,2.2811028645190896e-06,-20.43,0.0396
63,2005-03-31,50627.57979400129,0.72174,-7.578574332513204e-07,-25.68,0.0315
64,2005-04-30,17511.326857216707,0.53643,4.150069810963902e-07,17.09,0.0366
65,2005-05-31,24758.77876947838,0.6281,-5.132510976562779e-06,-2.55,0.0181
66,2005-06-30,22324.996272481596,0.59689,9.28401295543136e-07,10.78,0.0258
67,2005-07-31,34874.13870079944,0.66126,-1.8652342706178442e-06,4.13,0.0261
68,2005-08-31,29524.400191402823,0.68857,2.1608642974658125e-06,8.71,0.0244
69,2005-09-30,26398.32823071399,0.7549,3.5484486441377187e-06,-21.19,0.0339
70,2005-10-31,15356.67527935778,0.59495,6.313757801780123e-07,-10.37,0.0137
71,2005-11-30,14504.665566815933,0.60665,-3.3125238590347253e-07,-7.1,0.0117
72,2005-12-31,11824.972094250888,0.56178,-9.039373750563242e-07,1.74,0.0429
73,2006-01-31,15320.341098037132,0.5379,-3.2387478181630026e-06,3.92,0.0241
74,2006-02-28,19694.327041548284,0.4865,-5.176945333354114e-06,14.34,0.0375
75,2006-03-31,48700.380568508124,0.55625,-1.228805097277595e-06,2.79,0.0546
76,2006-04-30,53339.332871130835,0.60949,-8.318709245781039e-09,-25.9,0.0344
77,2006-05-31,34100.16978358514,0.45161,1.5324869303520182e-06,-13.82,0.03
