,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
126,2010-06-30,2.03,3.04,6552.724192862774,1.67559,1.1690183296968407e-05,34.89,242307.0
127,2010-07-31,2.28,3.8,7792.946506494173,1.88347,1.7978142884989154e-06,12.41,292185.0
128,2010-08-31,2.28,-1.06,4620.2422058880275,1.93386,3.763558443971006e-06,2.68,311004.0
129,2010-09-30,2.27,7.12,4851.046247354204,2.01575,5.627354693186393e-06,5.96,342052.0
130,2010-10-31,2.26,0.29,9098.518026388425,2.85985,1.4836800112352922e-05,40.12,385851.0
131,2010-11-30,2.51,2.74,6624.4524314349965,2.83465,6.238251346940416e-06,-0.88,450886.0
132,2010-12-31,2.51,8.63,6622.029756168931,2.30552,-9.970390572262725e-06,-18.67,396422.0
133,2011-01-31,2.75,0.71,8293.615220979465,2.12248,-1.8222148492021413e-06,4.92,390172.0
134,2011-02-28,2.76,-6.14,6889.51661113591,2.08932,4.512992902354524e-06,-3.08,405481.0
135,2011-03-31,2.99,8.78,9019.190838664783,2.31041,5.564224355838654e-07,10.58,422493.0
136,2011-04-30,3.02,5.9,7926.542884079564,2.63099,9.818851409736645e-06,14.15,475188.0
137,2011-05-31,3.03,-2.63,4052.982136379215,2.79681,3.28331696795039e-06,6.3,498947.0
138,2011-06-30,3.28,-2.68,5448.026609353382,2.69179,-1.6821283440448771e-06,-2.6,493661.0
139,2011-07-31,3.27,0.91,6133.238974543189,3.01791,8.689602059097876e-06,13.04,523357.0
140,2011-08-31,3.27,-12.61,12023.031624014988,2.35463,-8.861216002108506e-07,-21.98,492126.0
141,2011-09-30,3.28,-4.85,8727.854694507127,1.83506,-4.49808077505083e-06,-19.81,420108.0
142,2011-10-31,3.26,8.45,19613.68844047347,1.84612,-1.7423130868121708e-06,0.6,323906.0
143,2011-11-30,3.27,-3.48,13260.35122016988,1.70241,-3.938814420257751e-06,-11.24,378267.0
144,2011-12-31,3.29,-1.82,7774.1335814411495,1.88481,5.963546507648647e-06,7.23,345280.0
145,2012-01-31,3.27,7.9,8611.1314138301,2.242,1.3150466024314966e-05,16.72,380272.0
146,2012-02-29,3.26,3.98,8242.910176441677,2.32086,-4.74701402565135e-06,7.29,421159.0
147,2012-03-31,3.24,-0.21,6021.852359872658,2.11807,-8.176493393210678e-06,-8.74,410234.0
148,2012-04-30,3.26,-0.84,3930.702181074139,1.80824,-4.942174585909394e-06,-14.63,344555.0
149,2012-05-31,3.27,-7.68,10846.52233465883,1.34069,-2.240009374945274e-05,-25.86,306049.0
150,2012-06-30,3.26,-0.15,8925.332275543467,1.22803,-1.0461117850354382e-05,-11.02,231615.0
151,2012-07-31,3.02,2.12,9575.890456847095,1.2562,1.1620982364057366e-06,2.29,231653.0
