,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,-1.4120708404432111e-06,5.47,5.47
1,2000-01-31,4.78,-5.138580477207008e-06,-24.81,-24.81
2,2000-02-29,5.07,-1.5568495239981047e-06,-21.2,-21.2
3,2000-03-31,5.05,-2.205990167055186e-07,7.87,7.87
4,2000-04-30,5.06,-4.863660568753793e-07,-23.48,-23.48
5,2000-05-31,5.12,1.5362675009367303e-05,6.52,6.52
6,2000-06-30,5.16,-2.6661868482421156e-06,-3.73,-3.73
7,2000-07-31,5.13,1.9691751098494624e-05,8.06,8.06
8,2000-08-31,5.12,2.3794958521657397e-05,25.37,25.37
9,2000-09-30,5.09,1.0186582836381787e-05,-4.55,-4.55
10,2000-10-31,5.37,-1.6322139682668844e-05,-36.55,-36.55
11,2000-11-30,5.32,-1.2852859144166995e-06,12.68,12.68
12,2000-12-31,6.08,-8.367687153913372e-06,9.84,9.84
13,2001-01-31,5.27,1.1590297058899208e-05,6.72,6.72
14,2001-02-28,5.06,4.549566013656562e-06,22.27,22.27
15,2001-03-31,4.96,1.3343711612144647e-05,9.17,9.17
16,2001-04-30,5.01,-1.093293298195418e-08,23.72,23.72
17,2001-05-31,5.01,1.2500204999327007e-05,34.4,34.4
18,2001-06-30,4.99,3.473671866531778e-06,17.45,17.45
19,2001-07-31,4.77,6.169258362308146e-06,-15.14,-15.14
20,2001-08-31,4.54,3.1092918228739582e-06,2.69,2.69
21,2001-09-30,4.0,9.859212820006199e-07,-19.88,-19.88
22,2001-10-31,4.02,1.0975647405198054e-05,24.03,24.03
23,2001-11-30,4.04,9.536415617195386e-07,36.6,36.6
24,2001-12-31,4.01,4.150093589816002e-06,55.01,55.01
25,2002-01-31,3.98,-1.7142256918861982e-06,11.89,11.89
26,2002-02-28,4.01,1.0232434350780384e-05,26.87,26.87
27,2002-03-31,4.0,-9.790237050990041e-06,3.53,3.53
28,2002-04-30,4.04,6.413357461001907e-06,-7.5,-7.5
29,2002-05-31,4.28,-1.0561220974133635e-06,-17.94,-17.94
30,2002-06-30,4.26,9.589910894318474e-06,-5.9,-5.9
31,2002-07-31,4.27,7.1687562690540665e-06,0.82,0.82
32,2002-08-31,4.28,-1.378494347792781e-05,-9.59,-9.59
33,2002-09-30,4.28,-7.470319018868152e-06,-26.76,-26.76
34,2002-10-31,4.28,-3.2940928504534896e-06,-8.16,-8.16
35,2002-11-30,4.28,-1.5101188442743341e-05,42.75,42.75
36,2002-12-31,4.52,-7.613783533321743e-06,-46.21,-46.21
37,2003-01-31,4.34,9.773187708320397e-07,3.68,3.68
38,2003-02-28,4.27,4.688265140444946e-06,-6.42,-6.42
39,2003-03-31,4.27,6.176261750056583e-07,-24.4,-24.4
40,2003-04-30,4.26,1.1184270726532868e-06,77.02,77.02
41,2003-05-31,4.01,-1.6647989803765887e-07,12.98,12.98
42,2003-06-30,4.1,3.980025932935276e-06,-5.59,-5.59
43,2003-07-31,3.75,-1.5942170114279546e-06,-3.95,-3.95
44,2003-08-31,3.72,3.686252655855637e-06,6.12,6.12
45,2003-09-30,3.77,1.0574948327444446e-05,-8.33,-8.33
46,2003-10-31,3.84,-1.849267651379581e-06,-2.8,-2.8
47,2003-11-30,3.78,2.8240826017305978e-06,10.79,10.79
48,2003-12-31,3.97,1.2779256029422905e-05,1.62,1.62
49,2004-01-31,3.78,7.453113783834745e-07,-9.9,-9.9
50,2004-02-29,3.78,8.449005025178964e-06,1.08,1.08
51,2004-03-31,3.74,2.251234659515982e-05,1.42,1.42
52,2004-04-30,3.76,-1.6599967076731964e-06,-9.44,-9.44
53,2004-05-31,3.77,2.435766010514792e-05,-12.36,-12.36
54,2004-06-30,3.78,3.789384741624075e-06,7.21,7.21
55,2004-07-31,3.77,2.872308533581453e-05,1.68,1.68
56,2004-08-31,3.52,-4.721728886265746e-07,9.92,9.92
57,2004-09-30,3.55,4.888072572468828e-06,7.66,7.66
58,2004-10-31,3.53,9.231918493350462e-06,3.52,3.52
59,2004-11-30,3.26,-5.148666870011136e-06,13.27,13.27
60,2004-12-31,3.29,1.6286818758407836e-05,11.11,11.11
61,2005-01-31,3.26,9.063398894313227e-06,9.46,9.46
62,2005-02-28,3.28,3.3046073214513684e-05,41.71,41.71
63,2005-03-31,3.26,-2.8059049007446962e-06,6.38,6.38
64,2005-04-30,3.29,3.6489537142486945e-06,5.61,5.61
65,2005-05-31,3.29,-1.7404209202319523e-06,-2.74,-2.74
66,2005-06-30,3.3,1.2236474899222209e-05,54.49,54.49
67,2005-07-31,3.27,6.019876636113188e-06,-4.17,-4.17
68,2005-08-31,3.25,1.2126545098432524e-05,7.87,7.87
69,2005-09-30,3.28,1.9029491943409047e-06,7.61,7.61
70,2005-10-31,3.51,3.196781457885498e-06,22.83,22.83
71,2005-11-30,3.5,8.237120370098897e-06,36.42,36.42
72,2005-12-31,3.76,-6.220298305697179e-06,-8.84,-8.84
73,2006-01-31,3.76,-3.92728208057951e-06,-2.39,-2.39
74,2006-02-28,3.99,4.682397041216143e-06,-0.27,-0.27
75,2006-03-31,3.97,-5.4902043549340765e-06,-13.58,-13.58
76,2006-04-30,3.97,1.661142301399916e-05,24.63,24.63
77,2006-05-31,3.96,7.688988435535115e-06,-13.22,-13.22
78,2006-06-30,4.21,-2.329191565191732e-07,-11.46,-11.46
79,2006-07-31,4.22,-7.040602922402229e-06,-8.35,-8.35
80,2006-08-31,4.49,-5.5987711778494364e-06,26.39,26.39
81,2006-09-30,4.48,-1.9675844518217447e-05,-1.52,-1.52
82,2006-10-31,4.48,1.5943617950248026e-05,16.15,16.15
83,2006-11-30,4.49,-1.2917558414891154e-05,-1.09,-1.09
84,2006-12-31,4.6,-2.865520682250149e-06,7.1,7.1
85,2007-01-31,4.61,-2.4367869159859294e-05,-11.5,-11.5
86,2007-02-28,4.55,-4.3897716304497416e-05,-1.4,-1.4
87,2007-03-31,4.63,4.6783378320895184e-06,-1.1,-1.1
88,2007-04-30,4.88,1.8442486142460178e-05,47.53,47.53
89,2007-05-31,4.56,5.12872202495659e-07,33.51,33.51
90,2007-06-30,4.52,-7.795201299125081e-06,-11.02,-11.02
91,2007-07-31,4.76,-1.2027079530690409e-05,3.81,3.81
92,2007-08-31,4.98,2.039730622704224e-06,-8.72,-8.72
93,2007-09-30,4.98,1.3237803954667801e-05,1.83,1.83
94,2007-10-31,5.02,1.0190999935523423e-05,18.0,18.0
95,2007-11-30,5.02,1.1582172277972006e-05,-6.78,-6.78
96,2007-12-31,5.02,-7.974225022935371e-06,-8.82,-8.82
97,2008-01-31,4.96,1.669725812309646e-05,-7.53,-7.53
98,2008-02-29,4.94,-8.73596734061549e-06,-9.52,-9.52
99,2008-03-31,4.98,9.435542495297357e-06,-4.55,-4.55
100,2008-04-30,4.95,-1.5632594028400924e-05,11.99,11.99
101,2008-05-31,5.04,9.23982133561126e-06,6.33,6.33
102,2008-06-30,5.01,-7.839524240479719e-06,-14.87,-14.87
103,2008-07-31,5.03,-1.2577322934252905e-05,-10.48,-10.48
104,2008-08-31,5.25,3.4528318772513335e-05,14.29,14.29
105,2008-09-30,5.22,9.010881490852283e-06,-0.14,-0.14
106,2008-10-31,4.14,-5.559473225890042e-06,-40.41,-40.41
107,2008-11-30,3.99,1.3409436878298849e-05,25.64,25.64
108,2008-12-31,3.02,4.195744830921105e-06,-1.96,-1.96
109,2009-01-31,2.41,-2.76543986181613e-06,12.18,12.18
110,2009-02-28,1.87,3.3856253130039854e-06,1.7,1.7
111,2009-03-31,1.73,-1.3628765457804232e-05,-2.34,-2.34
112,2009-04-30,1.85,-5.000868994755268e-06,-0.35,-0.35
113,2009-05-31,1.96,-2.061678452132301e-06,0.0,0.0
114,2009-06-30,1.96,1.8232735123260897e-05,26.84,26.84
115,2009-07-31,1.95,-2.901038193133964e-06,0.28,0.28
116,2009-08-31,1.99,-7.269109366289304e-06,-4.69,-4.69
117,2009-09-30,2.0,9.795179253564447e-06,12.48,12.48
118,2009-10-31,2.01,1.3284149322123156e-05,9.68,9.68
119,2009-11-30,2.01,-2.3494855052818336e-06,-4.0,-4.0
120,2009-12-31,2.01,-1.0393920769409415e-05,-0.25,-0.25
121,2010-01-31,2.0,-2.2197313513928632e-05,-13.58,-13.58
122,2010-02-28,2.01,1.532019273811092e-06,5.63,5.63
123,2010-03-31,2.0,-1.2882874149492347e-05,9.87,9.87
124,2010-04-30,2.0,-5.735356929808562e-06,17.67,17.67
125,2010-05-31,2.0,3.4090126692191787e-06,-1.04,-1.04
126,2010-06-30,2.03,-2.1205468734980244e-06,3.04,3.04
127,2010-07-31,2.28,1.881845961984165e-07,11.29,11.29
128,2010-08-31,2.28,7.693120259592e-06,10.9,10.9
129,2010-09-30,2.27,-1.7497400038764562e-06,-1.74,-1.74
130,2010-10-31,2.26,-9.250331937650777e-06,-2.24,-2.24
131,2010-11-30,2.51,-1.9702766961342435e-06,7.34,7.34
132,2010-12-31,2.51,-1.3216798639685321e-05,-3.85,-3.85
133,2011-01-31,2.75,-1.3729877125659705e-05,-7.11,-7.11
134,2011-02-28,2.76,9.216268316122617e-06,7.39,7.39
135,2011-03-31,2.99,5.3671354288828345e-06,11.93,11.93
136,2011-04-30,3.02,3.1312431740862964e-07,6.78,6.78
137,2011-05-31,3.03,9.498733026827663e-06,8.73,8.73
138,2011-06-30,3.28,1.1835829137715349e-05,0.0,0.0
139,2011-07-31,3.27,7.45652056863361e-06,13.82,13.82
140,2011-08-31,3.27,3.8142047056814756e-06,4.47,4.47
141,2011-09-30,3.28,2.8403052092458177e-06,-10.66,-10.66
142,2011-10-31,3.26,-4.933714802581384e-06,5.96,5.96
143,2011-11-30,3.27,1.7702902174991353e-06,-2.28,-2.28
144,2011-12-31,3.29,1.0200680520885744e-05,8.03,8.03
145,2012-01-31,3.27,-8.839103316407915e-06,-5.57,-5.57
146,2012-02-29,3.26,-4.7148081570043995e-06,-4.92,-4.92
147,2012-03-31,3.24,8.314733474061098e-06,4.83,4.83
148,2012-04-30,3.26,1.844449650465481e-05,4.61,4.61
149,2012-05-31,3.27,1.669589802143117e-05,3.14,3.14
150,2012-06-30,3.26,9.82015780182113e-06,0.91,0.91
151,2012-07-31,3.02,7.208054800866277e-06,-4.23,-4.23
152,2012-08-31,3.01,1.075571353417925e-06,10.73,10.73
153,2012-09-30,3.01,-3.288386383715057e-06,6.9,6.9
154,2012-10-31,2.75,4.087141976700822e-06,-2.69,-2.69
155,2012-11-30,2.77,1.139397125141727e-05,0.56,0.56
156,2012-12-31,2.77,-3.894926111789452e-06,-5.56,-5.56
157,2013-01-31,2.76,-4.291533726655461e-06,-3.24,-3.24
158,2013-02-28,2.76,1.0190232492194075e-05,5.44,5.44
159,2013-03-31,2.75,4.3185222675054235e-06,-4.3,-4.3
160,2013-04-30,2.78,1.4626103110154292e-05,6.29,6.29
161,2013-05-31,2.5,4.305232262394798e-06,0.28,0.28
162,2013-06-30,2.5,1.8336422665632503e-05,0.0,0.0
163,2013-07-31,2.53,4.883930242954432e-06,-1.39,-1.39
164,2013-08-31,2.51,-6.063298492529832e-07,-1.13,-1.13
165,2013-09-30,2.5,-3.770026168821685e-06,-1.43,-1.43
166,2013-10-31,2.52,-5.3048269815096715e-06,-1.74,-1.74
167,2013-11-30,2.5,5.90185409346051e-06,3.61,3.61
168,2013-12-31,2.52,1.8702618474046602e-05,-2.33,-2.33
169,2014-01-31,2.51,2.023029447693281e-05,9.39,9.39
170,2014-02-28,2.49,-8.142651109659464e-06,-6.11,-6.11
171,2014-03-31,2.49,9.623071337101681e-07,1.78,1.78
172,2014-04-30,2.5,4.850601790089524e-06,-0.29,-0.29
173,2014-05-31,2.49,2.6638031403664554e-06,-2.88,-2.88
174,2014-06-30,2.49,2.0243178988966578e-05,4.75,4.75
175,2014-07-31,2.49,-7.0250420650921615e-06,-5.67,-5.67
176,2014-08-31,2.24,5.871271326091871e-06,18.75,18.75
177,2014-09-30,2.24,2.38232401252633e-06,4.26,4.26
178,2014-10-31,1.97,-2.4069277511260603e-06,-12.74,-12.74
179,2014-11-30,1.99,-2.000922646549001e-06,-1.61,-1.61
180,2014-12-31,2.03,4.460264027690411e-06,3.55,3.55
181,2015-01-31,2.0,-1.1222152373876588e-05,-8.71,-8.71
182,2015-02-28,1.99,-4.397945812306745e-06,5.98,5.98
183,2015-03-31,1.74,2.242813317786342e-06,5.11,5.11
184,2015-04-30,1.74,-1.3863349083648292e-05,-3.07,-3.07
185,2015-05-31,1.74,-2.586260665478306e-06,5.03,5.03
186,2015-06-30,1.5,-2.5650607687119018e-06,6.3,6.3
187,2015-07-31,1.5,2.1592567917412532e-06,14.45,14.45
188,2015-08-31,1.52,9.2201700825547e-07,13.04,13.04
189,2015-09-30,1.49,-4.7711788205356645e-06,-8.57,-8.57
190,2015-10-31,1.5,-4.096471838224283e-06,-6.84,-6.84
191,2015-11-30,1.5,9.049182007205684e-06,3.35,3.35
192,2015-12-31,1.52,8.554518292875602e-06,0.61,0.61
193,2016-01-31,1.5,-2.432353289058375e-06,-8.13,-8.13
194,2016-02-29,1.52,-4.788846645791866e-06,-12.61,-12.61
195,2016-03-31,1.53,-1.1326925955651704e-05,-1.77,-1.77
196,2016-04-30,1.5,-4.423469828376873e-06,1.79,1.79
197,2016-05-31,1.48,-2.355512736790964e-06,-4.76,-4.76
198,2016-06-30,1.23,5.289952116124236e-06,-1.33,-1.33
199,2016-07-31,1.24,-5.108626458490772e-06,-1.33,-1.33
200,2016-08-31,1.25,-1.2139117886631844e-05,-10.24,-10.24
201,2016-09-30,1.26,-5.068724733718942e-06,-2.72,-2.72
202,2016-10-31,1.24,5.112058865835724e-06,4.04,4.04
203,2016-11-30,1.23,3.2407462349222973e-06,-4.42,-4.42
204,2016-12-31,1.27,-9.187249575895171e-06,-4.64,-4.64
205,2017-01-31,1.25,1.736806842341771e-05,7.14,7.14
206,2017-02-28,1.26,1.0400157353598483e-05,7.64,7.64
207,2017-03-31,1.27,-1.422904778247004e-05,-7.4,-7.4
208,2017-04-30,1.21,2.212462434007118e-06,0.95,0.95
209,2017-05-31,1.26,2.4934211962395968e-06,14.38,14.38
210,2017-06-30,1.29,5.833687915508746e-06,-2.48,-2.48
211,2017-07-31,1.24,1.1942971577762677e-05,3.39,3.39
212,2017-08-31,1.27,3.630408222011291e-06,-5.46,-5.46
213,2017-09-30,1.27,-1.5102401817094588e-06,-9.88,-9.88
214,2017-10-31,1.26,-9.860765938335836e-06,3.23,3.23
215,2017-11-30,1.53,-1.2681918553436476e-05,-3.43,-3.43
216,2017-12-31,1.58,-5.807548602977399e-06,-3.24,-3.24
217,2018-01-31,1.54,1.8287645270146577e-05,7.69,7.69
218,2018-02-28,1.51,3.6563276730737196e-07,-9.54,-9.54
219,2018-03-31,1.54,-6.579861834116906e-06,-4.76,-4.76
220,2018-04-30,1.51,2.4661511099462385e-06,10.0,10.0
221,2018-05-31,1.55,1.0227861738417118e-06,-2.92,-2.92
222,2018-06-30,1.57,-4.012886966918441e-06,-5.32,-5.32
223,2018-07-31,1.52,-9.546246905382678e-06,-4.91,-4.91
224,2018-08-31,1.55,-1.341166466754672e-05,-3.69,-3.69
225,2018-09-30,1.65,2.57432573274465e-06,6.44,6.44
226,2018-10-31,1.57,4.647659920145093e-06,-12.1,-12.1
227,2018-11-30,1.76,5.741289067238366e-06,8.54,8.54
228,2018-12-31,1.89,1.7219487305675564e-05,7.52,7.52
229,2019-01-31,1.81,2.979533893952592e-07,-3.85,-3.85
230,2019-02-28,1.8,-2.485829482496612e-06,-0.36,-0.36
231,2019-03-31,1.81,1.4681124304808084e-05,2.88,2.88
232,2019-04-30,1.79,1.888404029531741e-06,-2.45,-2.45
233,2019-05-31,1.79,-1.371493270030198e-05,-12.9,-12.9
234,2019-06-30,1.83,5.649833381785176e-06,8.71,8.71
235,2019-07-31,1.56,6.3172575334360175e-06,-5.34,-5.34
236,2019-08-31,1.54,-1.1916954587211791e-05,-7.26,-7.26
237,2019-09-30,1.58,4.4236631039967886e-06,1.74,1.74
238,2019-10-31,1.29,-1.4209902717920423e-06,-4.27,-4.27
239,2019-11-30,1.28,-6.454510439468305e-06,2.18,2.18
240,2019-12-31,1.39,2.25400149060375e-06,1.28,1.28
241,2020-01-31,1.25,-2.3719105152079045e-05,-13.08,-13.08
242,2020-02-29,1.26,-1.3794764022925177e-05,-16.43,-16.43
243,2020-03-31,0.8,-5.084788996875378e-06,-23.93,-23.93
244,2020-04-30,0.76,-1.0417542708762303e-05,24.28,24.28
245,2020-05-31,0.49,-1.0943003349536531e-05,1.34,1.34
246,2020-06-30,0.57,-1.2758712651496696e-06,-6.87,-6.87
247,2020-07-31,0.51,-5.572671075832929e-06,2.07,2.07
248,2020-08-31,0.55,-1.7735665904612385e-05,-8.24,-8.24
249,2020-09-30,0.55,-9.542083615924756e-06,3.92,3.92
250,2020-10-31,0.52,-1.6849315170057685e-06,-2.02,-2.02
251,2020-11-30,0.6,-2.971701506475646e-07,15.54,15.54
252,2020-12-31,0.61,-3.342987785713794e-06,4.29,4.29
253,2021-01-31,0.52,-6.297476941455345e-06,0.81,0.81
254,2021-02-28,0.59,-9.536402167727333e-06,-4.83,-4.83
255,2021-03-31,0.59,1.7091988201617583e-06,16.45,16.45
256,2021-04-30,0.49,-4.488382524822781e-06,-7.33,-7.33
257,2021-05-31,0.51,2.096281549521582e-06,16.14,16.14
258,2021-06-30,0.63,-4.862580937469329e-06,-1.38,-1.38
259,2021-07-31,0.58,-3.356187209699806e-06,-6.51,-6.51
260,2021-08-31,0.9,-1.5675453532785062e-06,-1.09,-1.09
261,2021-09-30,0.92,-7.882995234667178e-06,-5.75,-5.75
262,2021-10-31,0.76,-1.360771207464261e-06,4.31,4.31
263,2021-11-30,1.067,-1.595421158599384e-05,-17.46,-17.46
264,2021-12-31,1.437,-8.157093469249755e-06,7.26,7.26
265,2022-01-31,1.277,-1.0123883593896516e-05,-13.77,-13.77
266,2022-02-28,1.39,-7.245236636610879e-07,9.82,9.82
267,2022-03-31,1.454,-2.0197545687277204e-06,7.15,7.15
268,2022-04-30,1.53,-5.5094799578024735e-06,2.24,2.24
269,2022-05-31,1.863,-5.564061531605253e-06,-8.42,-8.42
270,2022-06-30,2.337,1.1862728856758377e-05,-7.92,-7.92
271,2022-07-31,2.341,3.8475284851540515e-06,-0.39,-0.39
