,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-11.73,-11.73
1,2000-01-31,4.78,-9.49,-9.49
2,2000-02-29,5.07,18.73,18.73
3,2000-03-31,5.05,-23.51,-23.51
4,2000-04-30,5.06,-22.14,-22.14
5,2000-05-31,5.12,-4.13,-4.13
6,2000-06-30,5.16,3.05,3.05
7,2000-07-31,5.13,26.46,26.46
8,2000-08-31,5.12,-6.28,-6.28
9,2000-09-30,5.09,-20.83,-20.83
10,2000-10-31,5.37,-8.95,-8.95
11,2000-11-30,5.32,-10.89,-10.89
12,2000-12-31,6.08,-27.02,-27.02
13,2001-01-31,5.27,17.79,17.79
14,2001-02-28,5.06,-12.4,-12.4
15,2001-03-31,4.96,-20.03,-20.03
16,2001-04-30,5.01,6.16,6.16
17,2001-05-31,5.01,-19.29,-19.29
18,2001-06-30,4.99,-1.3,-1.3
19,2001-07-31,4.77,-29.45,-29.45
20,2001-08-31,4.54,-26.48,-26.48
21,2001-09-30,4.0,-36.86,-36.86
22,2001-10-31,4.02,67.07,67.07
23,2001-11-30,4.04,38.68,38.68
24,2001-12-31,4.01,3.06,3.06
25,2002-01-31,3.98,59.41,59.41
26,2002-02-28,4.01,-13.71,-13.71
27,2002-03-31,4.0,43.05,43.05
28,2002-04-30,4.04,-30.2,-30.2
29,2002-05-31,4.28,-11.21,-11.21
30,2002-06-30,4.26,-35.29,-35.29
31,2002-07-31,4.27,3.82,3.82
32,2002-08-31,4.28,14.24,14.24
33,2002-09-30,4.28,-30.86,-30.86
34,2002-10-31,4.28,8.58,8.58
35,2002-11-30,4.28,-8.68,-8.68
36,2002-12-31,4.52,-22.31,-22.31
37,2003-01-31,4.34,-11.17,-11.17
38,2003-02-28,4.27,6.23,6.23
39,2003-03-31,4.27,-3.35,-3.35
40,2003-04-30,4.26,14.29,14.29
41,2003-05-31,4.01,-8.33,-8.33
42,2003-06-30,4.1,3.28,3.28
43,2003-07-31,3.75,-13.94,-13.94
44,2003-08-31,3.72,-0.8,-0.8
45,2003-09-30,3.77,-18.98,-18.98
46,2003-10-31,3.84,11.88,11.88
47,2003-11-30,3.78,9.63,9.63
48,2003-12-31,3.97,-4.82,-4.82
49,2004-01-31,3.78,-11.9,-11.9
50,2004-02-29,3.78,-1.96,-1.96
51,2004-03-31,3.74,-7.33,-7.33
52,2004-04-30,3.76,4.69,4.69
53,2004-05-31,3.77,-22.76,-22.76
54,2004-06-30,3.78,-15.28,-15.28
55,2004-07-31,3.77,-21.65,-21.65
56,2004-08-31,3.52,25.66,25.66
57,2004-09-30,3.55,-11.41,-11.41
58,2004-10-31,3.53,1.26,1.26
59,2004-11-30,3.26,10.56,10.56
60,2004-12-31,3.29,24.16,24.16
61,2005-01-31,3.26,82.81,82.81
62,2005-02-28,3.28,-8.12,-8.12
63,2005-03-31,3.26,-21.46,-21.46
64,2005-04-30,3.29,-25.82,-25.82
65,2005-05-31,3.29,27.75,27.75
66,2005-06-30,3.3,-10.23,-10.23
67,2005-07-31,3.27,46.77,46.77
68,2005-08-31,3.25,-11.92,-11.92
69,2005-09-30,3.28,11.76,11.76
70,2005-10-31,3.51,-0.53,-0.53
71,2005-11-30,3.5,15.61,15.61
72,2005-12-31,3.76,22.35,22.35
73,2006-01-31,3.76,-14.42,-14.42
74,2006-02-28,3.99,-6.35,-6.35
75,2006-03-31,3.97,-8.88,-8.88
76,2006-04-30,3.97,34.09,34.09
77,2006-05-31,3.96,-11.86,-11.86
78,2006-06-30,4.21,0.72,0.72
79,2006-07-31,4.22,-5.01,-5.01
80,2006-08-31,4.49,5.53,5.53
81,2006-09-30,4.48,-1.72,-1.72
82,2006-10-31,4.48,-3.74,-3.74
83,2006-11-30,4.49,5.71,5.71
84,2006-12-31,4.6,3.99,3.99
85,2007-01-31,4.61,-15.11,-15.11
86,2007-02-28,4.55,1.44,1.44
87,2007-03-31,4.63,6.52,6.52
88,2007-04-30,4.88,-2.66,-2.66
89,2007-05-31,4.56,9.29,9.29
90,2007-06-30,4.52,4.81,4.81
91,2007-07-31,4.76,17.39,17.39
92,2007-08-31,4.98,3.5,3.5
93,2007-09-30,4.98,7.63,7.63
94,2007-10-31,5.02,-8.81,-8.81
95,2007-11-30,5.02,47.28,47.28
96,2007-12-31,5.02,-19.97,-19.97
97,2008-01-31,4.96,-24.22,-24.22
98,2008-02-29,4.94,4.25,4.25
99,2008-03-31,4.98,-4.94,-4.94
100,2008-04-30,4.95,11.74,11.74
101,2008-05-31,5.04,-4.85,-4.85
102,2008-06-30,5.01,8.7,8.7
103,2008-07-31,5.03,-16.41,-16.41
104,2008-08-31,5.25,-16.47,-16.47
105,2008-09-30,5.22,-6.11,-6.11
106,2008-10-31,4.14,-39.64,-39.64
107,2008-11-30,3.99,7.22,7.22
108,2008-12-31,3.02,15.03,15.03
109,2009-01-31,2.41,4.95,4.95
110,2009-02-28,1.87,-5.33,-5.33
111,2009-03-31,1.73,20.19,20.19
112,2009-04-30,1.85,21.03,21.03
113,2009-05-31,1.96,-3.09,-3.09
114,2009-06-30,1.96,-11.7,-11.7
115,2009-07-31,1.95,14.86,14.86
116,2009-08-31,1.99,-0.35,-0.35
117,2009-09-30,2.0,0.0,0.0
118,2009-10-31,2.01,-2.77,-2.77
119,2009-11-30,2.01,9.25,9.25
120,2009-12-31,2.01,11.07,11.07
121,2010-01-31,2.0,-5.69,-5.69
122,2010-02-28,2.01,-9.43,-9.43
123,2010-03-31,2.0,0.69,0.69
124,2010-04-30,2.0,23.18,23.18
125,2010-05-31,2.0,-24.16,-24.16
126,2010-06-30,2.03,2.97,2.97
127,2010-07-31,2.28,-7.58,-7.58
128,2010-08-31,2.28,-0.78,-0.78
129,2010-09-30,2.27,18.15,18.15
130,2010-10-31,2.26,-0.97,-0.97
131,2010-11-30,2.51,0.0,0.0
132,2010-12-31,2.51,6.19,6.19
133,2011-01-31,2.75,-4.6,-4.6
134,2011-02-28,2.76,-13.93,-13.93
135,2011-03-31,2.99,-4.32,-4.32
136,2011-04-30,3.02,3.07,3.07
137,2011-05-31,3.03,-17.47,-17.47
138,2011-06-30,3.28,13.18,13.18
139,2011-07-31,3.27,4.3,4.3
140,2011-08-31,3.27,-18.73,-18.73
141,2011-09-30,3.28,-4.63,-4.63
142,2011-10-31,3.26,-4.47,-4.47
143,2011-11-30,3.27,-8.09,-8.09
144,2011-12-31,3.29,29.16,29.16
145,2012-01-31,3.27,-6.01,-6.01
146,2012-02-29,3.26,11.82,11.82
147,2012-03-31,3.24,-7.32,-7.32
148,2012-04-30,3.26,9.65,9.65
149,2012-05-31,3.27,-16.0,-16.0
150,2012-06-30,3.26,-3.24,-3.24
151,2012-07-31,3.02,-8.52,-8.52
152,2012-08-31,3.01,4.29,4.29
153,2012-09-30,3.01,6.37,6.37
154,2012-10-31,2.75,-4.15,-4.15
155,2012-11-30,2.77,9.45,9.45
156,2012-12-31,2.77,6.73,6.73
157,2013-01-31,2.76,-12.18,-12.18
158,2013-02-28,2.76,-5.21,-5.21
159,2013-03-31,2.75,-6.5,-6.5
160,2013-04-30,2.78,-0.53,-0.53
161,2013-05-31,2.5,-4.3,-4.3
162,2013-06-30,2.5,-9.99,-9.99
163,2013-07-31,2.53,-10.22,-10.22
164,2013-08-31,2.51,-2.51,-2.51
165,2013-09-30,2.5,3.0,3.0
166,2013-10-31,2.52,-2.91,-2.91
167,2013-11-30,2.5,21.43,21.43
168,2013-12-31,2.52,2.0,2.0
169,2014-01-31,2.51,-0.81,-0.81
170,2014-02-28,2.49,8.72,8.72
171,2014-03-31,2.49,-0.11,-0.11
172,2014-04-30,2.5,5.56,5.56
173,2014-05-31,2.49,14.15,14.15
174,2014-06-30,2.49,1.81,1.81
175,2014-07-31,2.49,5.78,5.78
176,2014-08-31,2.24,21.67,21.67
177,2014-09-30,2.24,53.08,53.08
178,2014-10-31,1.97,24.38,24.38
179,2014-11-30,1.99,16.56,16.56
180,2014-12-31,2.03,-15.61,-15.61
181,2015-01-31,2.0,-2.49,-2.49
182,2015-02-28,1.99,14.94,14.94
183,2015-03-31,1.74,34.3,34.3
184,2015-04-30,1.74,44.86,44.86
185,2015-05-31,1.74,58.0,58.0
186,2015-06-30,1.5,0.0,0.0
187,2015-07-31,1.5,40.24,40.24
188,2015-08-31,1.52,-16.87,-16.87
189,2015-09-30,1.49,-10.2,-10.2
190,2015-10-31,1.5,-11.47,-11.47
191,2015-11-30,1.5,3.9,3.9
192,2015-12-31,1.52,6.78,6.78
193,2016-01-31,1.5,-4.2,-4.2
194,2016-02-29,1.52,-12.03,-12.03
195,2016-03-31,1.53,7.55,7.55
196,2016-04-30,1.5,5.76,5.76
197,2016-05-31,1.48,-11.28,-11.28
198,2016-06-30,1.23,-6.52,-6.52
199,2016-07-31,1.24,-4.98,-4.98
200,2016-08-31,1.25,-5.72,-5.72
201,2016-09-30,1.26,-3.57,-3.57
202,2016-10-31,1.24,-5.89,-5.89
203,2016-11-30,1.23,13.05,13.05
204,2016-12-31,1.27,-6.72,-6.72
205,2017-01-31,1.25,11.22,11.22
206,2017-02-28,1.26,-0.47,-0.47
207,2017-03-31,1.27,-3.45,-3.45
208,2017-04-30,1.21,-7.56,-7.56
209,2017-05-31,1.26,-2.09,-2.09
210,2017-06-30,1.29,-0.54,-0.54
211,2017-07-31,1.24,-3.1,-3.1
212,2017-08-31,1.27,0.19,0.19
213,2017-09-30,1.27,-0.19,-0.19
214,2017-10-31,1.26,-7.46,-7.46
215,2017-11-30,1.53,1.99,1.99
216,2017-12-31,1.58,-7.3,-7.3
217,2018-01-31,1.54,11.06,11.06
218,2018-02-28,1.51,-9.67,-9.67
219,2018-03-31,1.54,-4.94,-4.94
220,2018-04-30,1.51,-2.49,-2.49
221,2018-05-31,1.55,-18.65,-18.65
222,2018-06-30,1.57,-11.07,-11.07
223,2018-07-31,1.52,-0.59,-0.59
224,2018-08-31,1.55,-3.58,-3.58
225,2018-09-30,1.65,-3.41,-3.41
226,2018-10-31,1.57,-14.61,-14.61
227,2018-11-30,1.76,18.18,18.18
228,2018-12-31,1.89,-7.91,-7.91
229,2019-01-31,1.81,8.41,8.41
230,2019-02-28,1.8,1.01,1.01
231,2019-03-31,1.81,18.73,18.73
232,2019-04-30,1.79,0.28,0.28
233,2019-05-31,1.79,3.37,3.37
234,2019-06-30,1.83,13.59,13.59
235,2019-07-31,1.56,-12.2,-12.2
236,2019-08-31,1.54,3.49,3.49
237,2019-09-30,1.58,2.2,2.2
238,2019-10-31,1.29,-12.56,-12.56
239,2019-11-30,1.28,-16.17,-16.17
240,2019-12-31,1.39,0.34,0.34
241,2020-01-31,1.25,-13.95,-13.95
242,2020-02-29,1.26,-17.54,-17.54
243,2020-03-31,0.8,-12.44,-12.44
244,2020-04-30,0.76,26.29,26.29
245,2020-05-31,0.49,8.6,8.6
246,2020-06-30,0.57,-12.29,-12.29
247,2020-07-31,0.51,0.48,0.48
248,2020-08-31,0.55,4.02,4.02
249,2020-09-30,0.55,9.35,9.35
250,2020-10-31,0.52,-2.99,-2.99
251,2020-11-30,0.6,33.48,33.48
252,2020-12-31,0.61,17.82,17.82
253,2021-01-31,0.52,30.62,30.62
254,2021-02-28,0.59,20.58,20.58
255,2021-03-31,0.59,-3.29,-3.29
256,2021-04-30,0.49,-9.69,-9.69
257,2021-05-31,0.51,2.77,2.77
258,2021-06-30,0.63,-0.22,-0.22
259,2021-07-31,0.58,-3.68,-3.68
260,2021-08-31,0.9,31.4,31.4
261,2021-09-30,0.92,12.66,12.66
262,2021-10-31,0.76,-19.1,-19.1
263,2021-11-30,1.067,-0.58,-0.58
264,2021-12-31,1.437,-1.16,-1.16
265,2022-01-31,1.277,0.19,0.19
266,2022-02-28,1.39,1.92,1.92
267,2022-03-31,1.454,11.13,11.13
268,2022-04-30,1.53,1.37,1.37
269,2022-05-31,1.863,-7.41,-7.41
270,2022-06-30,2.337,-2.17,-2.17
271,2022-07-31,2.341,0.74,0.74
