,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,13.016153155977547,0.07938,-0.5809497685991618,-19.84,0.0504,-19.84,11.18
1,2000-01-31,4.78,-8.41,7.7107163167104105,0.90548,-0.9094159583779095,-9.69,0.0516,-9.69,-8.41
2,2000-02-29,5.07,-13.36,7.771995955584969,0.74304,-1.2328505446646456,-18.17,0.0446,-18.17,-13.36
3,2000-03-31,5.05,4.71,37.924826449339044,1.2303,0.012896694111856198,65.58,0.0822,65.58,4.71
4,2000-04-30,5.06,-17.96,68.16632446128595,1.03591,0.04309089208395372,-27.03,0.0849,-27.03,-17.96
5,2000-05-31,5.12,1.68,32.18031331496978,0.80826,-0.25812647928001203,-21.98,0.0623,-21.98,1.68
6,2000-06-30,5.16,12.61,45.78790387502536,0.84533,-0.14726677279995715,12.61,0.0799,12.61,12.61
7,2000-07-31,5.13,-14.44,21.721511236654703,0.73281,0.07175820525074633,-13.31,0.0259,-13.31,-14.44
8,2000-08-31,5.12,-3.14,12.120270445558269,0.71109,-0.029244394693289093,-2.97,0.0298,-2.97,-3.14
9,2000-09-30,5.09,-17.36,7.658628468872368,0.61131,0.23997092355568614,-17.3,0.0339,-17.3,-17.36
10,2000-10-31,5.37,-16.2,11.348550199327613,0.39389,0.03810383272061296,-35.56,0.0348,-35.56,-16.2
11,2000-11-30,5.32,-0.81,9.418711715579983,0.39645,-0.12590512700555356,-4.91,0.028,-4.91,-0.81
12,2000-12-31,6.08,-4.36,12.55772421114449,0.4412,-0.13870875648276956,7.14,0.0252,7.14,-4.36
73,2006-01-31,3.76,1.81,17.35433773319552,0.80264,0.1437938614887321,0.65,0.0523,0.65,1.81
74,2006-02-28,3.99,-1.77,5.242975268166916,0.778,-0.25891349896958765,-3.54,0.0249,-3.54,-1.77
75,2006-03-31,3.97,-0.7,5.627234207988428,0.86101,0.4318364136476196,10.67,0.0257,10.67,-0.7
76,2006-04-30,3.97,6.56,20.947816667943112,0.99714,0.8913483785416915,21.87,0.0329,21.87,6.56
77,2006-05-31,3.96,-7.11,7.854299278207173,0.81691,0.6855454417976621,-18.08,0.028,-18.08,-7.11
78,2006-06-30,4.21,-2.08,5.4511190871181405,0.67816,-0.7493676448582226,-16.98,0.0566,-16.98,-2.08
79,2006-07-31,4.22,0.63,6.842733137460063,0.56471,-1.1215700231696082,-16.73,0.0299,-16.73,0.63
80,2006-08-31,4.49,4.11,7.867368164701307,0.75728,-0.008296695086971428,34.1,0.0273,34.1,4.11
81,2006-09-30,4.48,1.87,12.250456202961592,0.81691,3.1572767800332726,11.9,0.0338,11.9,1.87
82,2006-10-31,4.48,-0.68,8.769238558075743,0.78838,-0.8090212120742076,-3.49,0.0417,-3.49,-0.68
83,2006-11-30,4.49,4.59,15.355202219181244,0.98547,0.8290457725092174,23.58,0.0234,23.58,4.59
84,2006-12-31,4.6,1.63,8.812154662002841,0.94659,0.11812973515922585,1.39,0.02,1.39,1.63
85,2007-01-31,4.61,-5.07,10.003165360748842,0.50446,-0.36368289105508367,-13.84,0.0313,-13.84,-5.07
86,2007-02-28,4.55,4.1,7.845813945971973,0.52372,0.028092856405442575,2.03,0.0225,2.03,4.1
87,2007-03-31,4.63,2.4,12.079379443342413,0.61513,-0.11222040773262848,17.46,0.0303,17.46,2.4
88,2007-04-30,4.88,5.84,20.52723446780959,0.69775,-0.24736787643027514,13.43,0.0301,13.43,5.84
89,2007-05-31,4.56,9.02,22.831942494854584,0.70336,-0.2018090325091086,0.8,0.0299,0.8,9.02
90,2007-06-30,4.52,4.36,26.44113567987994,0.93467,0.009377672317613406,36.95,0.0686,36.95,4.36
91,2007-07-31,4.76,10.4,18.66835414923853,1.06171,-0.056829715556872704,13.59,0.0408,13.59,10.4
92,2007-08-31,4.98,-2.47,24.40052015892819,1.11616,-0.17959592714488476,5.13,0.0583,5.13,-2.47
93,2007-09-30,4.98,6.38,11.718970077787338,1.02542,-0.05290865210717658,-5.04,0.0309,-5.04,6.38
94,2007-10-31,5.02,5.35,12.962544613542756,0.83031,-0.32886721059809765,-19.03,0.052,-19.03,5.35
95,2007-11-30,5.02,-7.11,8.394561498386093,0.7196,-0.001710809335132523,-10.29,0.04,-10.29,-7.11
96,2007-12-31,5.02,3.61,10.313610056548935,0.8775,-0.8067467727894609,26.41,0.027,26.41,3.61
97,2008-01-31,4.96,-13.88,7.300102453958019,1.39659,0.9171507532157285,-11.17,0.0314,-11.17,-13.88
98,2008-02-29,4.94,4.37,4.8524034316674864,1.59168,1.0358252759355289,6.99,0.0338,6.99,4.37
99,2008-03-31,4.98,0.37,5.169512741802114,1.38681,0.07620459482847955,-12.87,0.0344,-12.87,0.37
100,2008-04-30,4.95,7.97,6.097954087736193,1.46162,0.8502421644437304,6.39,0.0229,6.39,7.97
101,2008-05-31,5.04,1.05,6.653395291327966,1.32178,-0.3851240344823159,-9.57,0.0197,-9.57,1.05
102,2008-06-30,5.01,-10.08,4.851187615549585,1.08766,-0.8091703712024857,-17.71,0.0296,-17.71,-10.08
103,2008-07-31,5.03,-4.4,4.950138056169139,0.92997,-0.1739798638460894,-14.5,0.0374,-14.5,-4.4
104,2008-08-31,5.25,-5.47,5.309222708308828,0.85517,-0.3002730850280338,-5.4,0.0452,-5.4,-5.47
105,2008-09-30,5.22,-1.24,5.630579485790713,0.75845,-0.02446422961463316,-11.31,0.0522,-11.31,-1.24
106,2008-10-31,4.14,-20.96,11.05790377060381,0.37718,-0.6303945404804878,-50.27,0.0919,-50.27,-20.96
107,2008-11-30,3.99,6.22,8.951193487315411,0.37638,-0.2368617791800691,16.04,0.0482,16.04,6.22
108,2008-12-31,3.02,4.05,12.603491733228935,0.44467,-0.16706284809173466,18.14,0.0671,18.14,4.05
109,2009-01-31,2.41,3.4,10.83972400762646,0.40929,-1.7331061532382597,-7.13,0.0459,-7.13,3.4
110,2009-02-28,1.87,-2.6,10.107553400846808,0.40445,-0.23295638101386085,4.58,0.0444,4.58,-2.6
111,2009-03-31,1.73,13.72,9.308538042511122,0.45601,0.32286648952223873,12.75,0.0332,12.75,13.72
112,2009-04-30,1.85,12.09,25.48262991873746,0.72431,0.10221839370396829,63.45,0.0532,63.45,12.09
113,2009-05-31,1.96,3.85,11.971598534794078,0.62924,-0.24556145325854303,-4.52,0.0347,-4.52,3.85
114,2009-06-30,1.96,0.16,8.85509393515432,0.74928,0.6187763877165278,19.08,0.0309,19.08,0.16
115,2009-07-31,1.95,13.39,13.44819264409568,0.90722,-0.05917549085833919,21.08,0.0364,21.08,13.39
116,2009-08-31,1.99,2.21,9.47131243917838,0.89272,-0.6011766790986451,-1.6,0.027,-1.6,2.21
117,2009-09-30,2.0,5.93,8.1804298479257,0.85888,-0.3351380340273235,-0.19,0.0291,-0.19,5.93
118,2009-10-31,2.01,-5.89,5.70517172892699,0.63731,-0.04486295853545902,-25.8,0.0318,-25.8,-5.89
119,2009-11-30,2.01,-1.0,3.9142527882342644,0.55029,-0.22754045453021626,-13.65,0.0379,-13.65,-1.0
120,2009-12-31,2.01,8.36,3.3217284201172914,0.57444,0.1311122306626352,4.39,0.0227,4.39,8.36
133,2011-01-31,2.75,0.71,4.204052073303389,0.9424,0.04246430977711035,4.61,0.0323,4.61,0.71
134,2011-02-28,2.76,-6.14,2.1879595979446673,0.98507,-0.45708858339181624,4.53,0.0122,4.53,-6.14
135,2011-03-31,2.99,8.78,1.0634301293861042,0.78657,-0.49969046861013966,-20.15,0.044,-20.15,8.78
136,2011-04-30,3.02,5.9,0.45312838940861927,0.69567,0.35867439266428064,-10.93,0.0516,-10.93,5.9
137,2011-05-31,3.03,-2.63,0.43401551782010345,0.59735,-3.0937613171224694,-14.13,0.0444,-14.13,-2.63
