,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn
0,1999-12-31,4.79,11.18,6885.595381062356,0.08705,-5.031087508975251e-09,-37.31
1,2000-01-31,4.78,-8.41,4713.353016688062,0.09707,-8.170597722799945e-09,19.05
2,2000-02-29,5.07,-13.36,6581.583943661972,0.08868,0.0,-8.67
3,2000-03-31,5.05,4.71,33324.01101061738,0.10486,-1.877334809454875e-09,17.88
4,2000-04-30,5.06,-17.96,6330.79806046777,0.0755,-2.0023828355743335e-08,-47.27
5,2000-05-31,5.12,1.68,7954.723228995058,0.0695,-1.2426175573162527e-08,-7.33
6,2000-06-30,5.16,12.61,13151.315087719298,0.08328,0.0,21.23
7,2000-07-31,5.13,-14.44,4910.398014440433,0.08688,-1.0415286577376006e-07,4.28
8,2000-08-31,5.12,-3.14,43748.83044407504,0.11983,-2.269935190759617e-08,38.06
9,2000-09-30,5.09,-17.36,34358.766198459445,0.10006,0.0,-14.4
10,2000-10-31,5.37,-16.2,93640.56025616147,0.1432,-7.401467263909811e-09,43.04
11,2000-11-30,5.32,-0.81,115197.68563820935,0.16118,-5.187504091931135e-09,-4.05
12,2000-12-31,6.08,-4.36,100126.38686355946,0.12103,0.0,-22.41
13,2001-01-31,5.27,23.09,89783.11655046984,0.19389,-8.884631334066354e-10,40.37
14,2001-02-28,5.06,-7.49,111871.82077951766,0.26558,-7.356197375603024e-08,38.08
15,2001-03-31,4.96,-9.68,53001.42907717725,0.22803,-1.4313255867801412e-08,-14.07
16,2001-04-30,5.01,11.19,58745.92450094792,0.24919,5.097055675822551e-08,9.4
17,2001-05-31,5.01,5.02,39268.19787485242,0.23007,2.0089552940481898e-07,-7.7
18,2001-06-30,4.99,-7.17,70724.83311000121,0.25943,-1.713802980399838e-07,11.23
19,2001-07-31,4.77,-8.5,89276.30272923151,0.20481,0.0,-21.05
20,2001-08-31,4.54,0.66,28667.203334688897,0.18979,-1.289625046031554e-09,-7.57
21,2001-09-30,4.0,-17.28,12615.219111271676,0.13859,3.4293723450330893e-07,-42.22
22,2001-10-31,4.02,12.78,11298.54887908857,0.15361,-1.1140620201579358e-07,10.93
23,2001-11-30,4.04,20.45,10470.395665736332,0.18092,-8.510007758432952e-07,17.51
24,2001-12-31,4.01,10.41,25089.63783909112,0.26967,2.025757962390016e-07,45.13
25,2002-01-31,3.98,6.92,22670.791953509164,0.3601,-4.2447912458809704e-07,23.29
26,2002-02-28,4.01,10.36,12348.01984083724,0.25066,1.412574203769313e-07,-27.26
27,2002-03-31,4.0,8.98,26444.892285677117,0.13236,-7.356779424614401e-07,-47.21
28,2002-04-30,4.04,-4.87,17835.737924659115,0.12866,2.141076585137103e-07,-2.72
29,2002-05-31,4.28,-5.25,11987.378396894268,0.12866,-4.788541928382204e-07,-0.16
30,2002-06-30,4.26,-12.73,7037.205960746305,0.13457,-1.1477413177768985e-08,-0.15
31,2002-07-31,4.27,-3.77,52251.65442204033,0.12496,-5.2216952785729674e-08,-7.0
32,2002-08-31,4.28,1.76,7534.433626033057,0.10943,-4.896841025002846e-09,-12.9
33,2002-09-30,4.28,-12.08,3897.958756898054,0.09021,-1.1176787570696907e-08,-17.37
34,2002-10-31,4.28,2.13,5221.292510446801,0.09169,1.3655861652689463e-06,1.77
35,2002-11-30,4.28,8.38,15675.386405388856,0.105,3.488008528971469e-07,14.35
36,2002-12-31,4.52,-13.23,2111.8828580190125,0.09612,1.2648055810406025e-05,-8.37
37,2003-01-31,4.34,-5.82,1818.8328192473782,0.10875,0.0,-0.83
38,2003-02-28,4.27,-3.15,6002.017199017199,0.17534,0.0,56.21
39,2003-03-31,4.27,-6.59,84341.9254529767,0.21159,5.9041363387372233e-08,20.99
40,2003-04-30,4.26,12.34,37499.92420864913,0.14499,1.9967886396766069e-07,-31.53
41,2003-05-31,4.01,5.34,30832.116104868914,0.19726,0.0,36.28
42,2003-06-30,4.1,6.13,27776.353063934737,0.17366,-1.366034776089859e-09,-12.04
43,2003-07-31,3.75,7.08,22981.006199511554,0.1745,4.6447444710736107e-07,0.66
