,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
0,1999-12-31,4.79,11.18,36066.428108317254,0.35345,-1.4120708404432111e-06,5.47,382506
1,2000-01-31,4.78,-8.41,26631.156334389852,0.2322,-5.138580477207008e-06,-24.81,306983
2,2000-02-29,5.07,-13.36,28371.192737228084,0.18051,-1.5568495239981047e-06,-21.2,262627
3,2000-03-31,5.05,4.71,27179.203901897028,0.19465,-2.205990167055186e-07,7.87,244804
4,2000-04-30,5.06,-17.96,22805.335391005305,0.14376,-4.863660568753793e-07,-23.48,209946
5,2000-05-31,5.12,1.68,14657.206470341227,0.15346,1.5362675009367303e-05,6.52,164319
6,2000-06-30,5.16,12.61,11831.054464580651,0.14174,-2.6661868482421156e-06,-3.73,175582
7,2000-07-31,5.13,-14.44,12256.238049182668,0.15346,1.9691751098494624e-05,8.06,189213
8,2000-08-31,5.12,-3.14,10199.205929442685,0.19222,2.3794958521657397e-05,25.37,216108
9,2000-09-30,5.09,-17.36,5972.155423283354,0.19222,1.0186582836381787e-05,-4.55,225629
10,2000-10-31,5.37,-16.2,7872.1854700543145,0.12196,-1.6322139682668844e-05,-36.55,192031
11,2000-11-30,5.32,-0.81,12268.13471423987,0.14659,-1.2852859144166995e-06,12.68,171385
12,2000-12-31,6.08,-4.36,7637.142231253131,0.15346,-8.367687153913372e-06,9.84,179630
13,2001-01-31,5.27,23.09,14468.853577549877,0.14893,1.1590297058899208e-05,6.72,176783
14,2001-02-28,5.06,-7.49,8318.241238391292,0.16806,4.549566013656562e-06,22.27,206526
15,2001-03-31,4.96,-9.68,8970.222343052727,0.1835,1.3343711612144647e-05,9.17,230810
16,2001-04-30,5.01,11.19,14547.888516017223,0.22726,-1.093293298195418e-08,23.72,263123
17,2001-05-31,5.01,5.02,12147.882320600802,0.30522,1.2500204999327007e-05,34.4,358321
18,2001-06-30,4.99,-7.17,16418.9021700373,0.36479,3.473671866531778e-06,17.45,437504
19,2001-07-31,4.77,-8.5,12503.555680369247,0.30963,6.169258362308146e-06,-15.14,441547
20,2001-08-31,4.54,0.66,9118.687421983826,0.31772,3.1092918228739582e-06,2.69,442216
21,2001-09-30,4.0,-17.28,11817.664781901707,0.26882,9.859212820006199e-07,-19.88,351768
22,2001-10-31,4.02,12.78,7880.284544843894,0.33354,1.0975647405198054e-05,24.03,406421
23,2001-11-30,4.04,20.45,15137.124050054636,0.4354,9.536415617195386e-07,36.6,485949
24,2001-12-31,4.01,10.41,18449.632382977954,0.5961,4.150093589816002e-06,55.01,663892
25,2002-01-31,3.98,6.92,28251.103208551907,0.50972,-1.7142256918861982e-06,11.89,882049
26,2002-02-28,4.01,10.36,21628.819701483433,0.67701,1.0232434350780384e-05,26.87,983530
27,2002-03-31,4.0,8.98,23233.724058742962,0.7009,-9.790237050990041e-06,3.53,1314200
28,2002-04-30,4.04,-4.87,13659.146833633362,0.64833,6.413357461001907e-06,-7.5,1219884
29,2002-05-31,4.28,-5.25,10867.514967895486,0.53221,-1.0561220974133635e-06,-17.94,1078976
30,2002-06-30,4.26,-12.73,8725.641409262611,0.58479,9.589910894318474e-06,-5.9,1016560
31,2002-07-31,4.27,-3.77,10145.234811832277,0.58957,7.1687562690540665e-06,0.82,1089055
32,2002-08-31,4.28,1.76,12435.95424566511,0.53306,-1.378494347792781e-05,-9.59,912307
33,2002-09-30,4.28,-12.08,13120.652652459603,0.39023,-7.470319018868152e-06,-26.76,798523
34,2002-10-31,4.28,2.13,19916.396090466988,0.35846,-3.2940928504534896e-06,-8.16,620381
35,2002-11-30,4.28,8.38,15166.99558945402,0.51169,-1.5101188442743341e-05,42.75,498351
36,2002-12-31,4.52,-13.23,58218.155072795766,0.27524,-7.613783533321743e-06,-46.21,78576
37,2003-01-31,4.34,-5.82,74245.85459128444,0.24487,9.773187708320397e-07,3.68,64666
38,2003-02-28,4.27,-3.15,30595.245813728205,0.23933,4.688265140444946e-06,-6.42,57808
39,2003-03-31,4.27,-6.59,19750.669089858166,0.18094,6.176261750056583e-07,-24.4,44982
40,2003-04-30,4.26,12.34,100265.03751659454,0.34379,1.1184270726532868e-06,77.02,58001
41,2003-05-31,4.01,5.34,136848.00655645778,0.38842,-1.6647989803765887e-07,12.98,92733
