,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
13,2001-01-31,5.27,23.09,19210.03233190272,6.95873,-3.2508331881776883e-05,108.7,108.7,0.112,108.7,23.09
14,2001-02-28,5.06,-7.49,64785.46936810782,9.30732,-1.3633033522301752e-05,59.31,59.31,0.1103,59.31,-7.49
15,2001-03-31,4.96,-9.68,54191.70083798883,8.62595,-7.527165581492113e-09,-7.32,-7.32,0.0733,-7.32,-9.68
16,2001-04-30,5.01,11.19,35708.716170879,7.39367,2.0356563053013438e-08,-14.29,-14.29,0.0767,-14.29,11.19
17,2001-05-31,5.01,5.02,41318.47696534235,6.6688,2.4410550730561577e-09,-9.8,-9.8,0.0757,-9.8,5.02
19,2001-07-31,4.77,-8.5,13283.254651908886,8.32147,2.2364848649349077e-07,24.78,24.78,0.0986,24.78,-8.5
20,2001-08-31,4.54,0.66,13243.065131983358,10.43809,-2.1973211517876794e-07,25.44,25.44,0.0524,25.44,0.66
21,2001-09-30,4.0,-17.28,36394.075746540424,4.66814,8.358571280880055e-07,-56.72,-56.72,0.1161,-56.72,-17.28
22,2001-10-31,4.02,12.78,54511.16002826106,5.45102,-6.673688739931597e-07,16.77,16.77,0.0798,16.77,12.78
23,2001-11-30,4.04,20.45,70310.86907859561,5.03057,-5.093029065671698e-07,-6.72,-6.72,0.0623,-6.72,20.45
24,2001-12-31,4.01,10.41,127053.96133258876,5.94392,-8.874400122514003e-08,18.16,18.16,0.0915,18.16,10.41
25,2002-01-31,3.98,6.92,85239.31060959709,14.6378,3.4335625363024775e-10,-9.76,-9.76,0.0519,-9.76,6.92
26,2002-02-28,4.01,10.36,56457.88711027412,12.0268,-6.322479428468562e-10,-11.63,-11.63,0.0748,-11.63,10.36
27,2002-03-31,4.0,8.98,66679.6238998803,13.25315,-5.358741628138431e-09,10.2,10.2,0.0586,10.2,8.98
28,2002-04-30,4.04,-4.87,35836.75427614177,8.46617,-1.7573313334137344e-09,-36.12,-36.12,0.0422,-36.12,-4.87
29,2002-05-31,4.28,-5.25,49506.20558102252,10.44428,-6.15233610324277e-08,23.36,23.36,0.0551,23.36,-5.25
30,2002-06-30,4.26,-12.73,34233.32130267368,7.75414,-6.121223385100596e-08,-19.01,-19.01,0.0608,-19.01,-12.73
31,2002-07-31,4.27,-3.77,70108.3342998465,8.94091,1.2626542823114707e-06,15.31,15.31,0.0738,15.31,-3.77
