,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,8830,9600,8747,7680,10450,5938,3110,9400,9174,8830,23.32,74.85,-7.73,173.37,3097630,0.046,0.0368,0.0448,0.0401,4.79,-1.89
1,2000-01-31,7540,9800,8084,7290,10450,6274,3110,7800,7512,7290,17.08,1.89,-2.08,96.87,1588154,0.0394,0.0429,0.0433,0.0452,4.78,-14.61
2,2000-02-29,8150,10400,8787,7430,10450,6665,3300,8840,8560,8150,-6.32,18.12,-8.43,139.0,2794262,0.0442,0.0645,0.0457,0.0489,5.07,4.49
3,2000-03-31,6200,9030,7644,5800,10450,6994,4480,7200,6570,5800,-29.78,-4.62,-14.48,39.64,4333216,0.0478,0.0438,0.0461,0.0521,5.05,-23.93
4,2000-04-30,5740,6840,6002,5280,10450,7089,4850,6050,5890,5740,-26.41,-6.36,-5.28,4.94,1595092,0.0515,0.0618,0.0472,0.0574,5.06,-18.58
5,2000-05-31,4430,5750,4411,3000,10450,7014,3000,4430,3858,3540,-45.64,-49.66,36.1,-22.69,3567948,0.0565,0.0809,0.0508,0.0634,5.12,-22.82
6,2000-06-30,4545,5140,4540,3800,10450,6956,3000,4660,4577,4420,-21.64,-48.53,5.7,-13.43,2209356,0.0573,0.0506,0.0523,0.0628,5.16,15.06
7,2000-07-31,3640,4780,4196,3600,10450,6790,3000,3935,3733,3640,-36.59,-51.72,1.11,-50.81,1493812,0.0572,0.0328,0.0489,0.0575,5.13,-19.91
8,2000-08-31,3695,3930,3604,3235,10450,6504,3000,3930,3774,3695,-16.59,-54.66,-4.03,-46.37,3940208,0.0523,0.0428,0.0494,0.0411,5.12,1.51
9,2000-09-30,2800,3930,3153,2560,10450,6208,2560,2800,2682,2560,-39.91,-57.58,8.53,-58.82,1892318,0.0524,0.0449,0.0496,0.0398,5.09,-26.7
10,2000-10-31,1830,2810,2220,1830,10450,5846,1830,2000,1928,1830,-49.73,-68.12,-9.63,-71.58,1032614,0.0513,0.0465,0.0511,0.0443,5.37,-34.64
11,2000-11-30,1780,2120,1933,1770,10400,5261,1770,2020,1846,1770,-54.71,-54.94,0.0,-79.77,1749430,0.0435,0.0419,0.0504,0.0464,5.32,-5.32
