,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,relativeMA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,9420,15800,12064,9420,27400,18263,9420,9970,9716,9420,1.2386495925494763,-42.56,-59.57,-11.13,-34.36,230832,0.0417,0.048,0.0398,0.0463,4.79,-40.57
1,2000-01-31,10900,12050,10635,9590,27400,17894,9420,10900,10520,10050,1.2332688588007736,-31.88,-47.09,6.34,-25.85,152512,0.0445,0.0581,0.0408,0.0527,4.78,15.71
2,2000-02-29,10300,12150,10640,9800,27400,17500,9420,11100,10440,10050,1.0960210457086483,-33.33,-42.78,5.1,-30.41,168966,0.0476,0.0478,0.042,0.0522,5.07,-4.63
3,2000-03-31,12300,17400,13865,11800,27400,17231,9420,14400,13110,12300,-1.1410974244120942,30.57,-20.65,-14.58,-26.79,280562,0.0575,0.0886,0.0484,0.067,5.05,19.42
4,2000-04-30,9900,12500,11238,9900,27400,16598,9420,11000,10360,9900,0.1537751522983201,-8.33,-38.7,-13.91,-54.17,134602,0.0574,0.0317,0.0485,0.062,5.06,-28.78
5,2000-05-31,7210,10300,7981,5820,27400,15407,5820,7210,6878,6400,0.43917435221783047,-30.0,-51.93,13.54,-68.31,165192,0.0605,0.068,0.0503,0.0682,5.12,-27.17
6,2000-06-30,7350,7890,7284,6850,27400,13939,5820,7400,7310,7200,0.5944308180637715,-41.2,-21.97,5.0,-69.31,144834,0.0586,0.0388,0.0507,0.0485,5.16,4.85
7,2000-07-31,6570,8300,7287,6450,22500,12528,5820,6650,6544,6450,0.49390691528409925,-33.64,-39.72,1.08,-68.11,49938,0.0555,0.0316,0.0502,0.0481,5.13,-10.61
8,2000-08-31,6900,7650,7142,6510,18600,11433,5820,7530,7290,6900,0.07072368421052631,-4.3,-33.01,-5.48,-60.8,107136,0.0514,0.0339,0.0502,0.0339,5.12,5.02
9,2000-09-30,6150,7250,6481,5750,17850,10615,5750,6250,6120,5950,0.28244147157190636,-16.89,-50.6,6.96,-59.8,46528,0.0412,0.0342,0.0502,0.0326,5.09,-17.67
10,2000-10-31,5890,6650,6226,5730,17850,9801,5730,6150,5924,5730,0.1637917391992404,-10.35,-40.51,-4.69,-63.19,53326,0.0407,0.0291,0.0493,0.0316,5.37,-4.23
11,2000-11-30,5850,6790,6309,5850,17400,8873,5730,6260,6082,5850,0.3165573770491803,-19.31,-16.55,-2.5,-61.0,65568,0.0336,0.0207,0.0487,0.0342,5.32,2.09
12,2000-12-31,6300,6430,6142,5850,17400,8426,5730,6300,6144,5980,-0.11565387846541585,4.13,-12.5,0.0,-35.71,65684,0.0318,0.0233,0.047,0.0312,6.08,3.28
13,2001-01-31,7000,7300,6523,5960,17400,8084,5730,7040,6768,5990,-0.5268306316377865,18.85,6.54,-0.57,-35.78,325168,0.039,0.0648,0.0479,0.0454,5.27,11.11
14,2001-02-28,7000,7250,6815,6520,17400,7765,5730,7100,6976,6830,-0.3492149431510558,12.9,-7.04,-1.41,-36.94,115520,0.0378,0.0218,0.0463,0.041,5.06,16.86
15,2001-03-31,6150,6890,6491,6150,12300,7141,5730,6450,6322,6150,0.046850393700787404,-2.38,0.0,-2.69,-50.8,67944,0.037,0.029,0.0392,0.0423,4.96,-12.14
16,2001-04-30,6170,6300,6056,5840,10300,6733,5730,6170,6134,6120,0.291135881104034,-10.97,7.68,-0.16,-37.68,38682,0.0355,0.0128,0.0382,0.022,5.01,0.33
17,2001-05-31,7950,8350,7288,6280,8350,6672,5730,8350,8080,7850,1.3226120857699806,13.57,35.9,8.9,10.26,251828,0.0345,0.0327,0.0342,0.0268,5.01,28.85
18,2001-06-30,8800,9250,8775,8310,9250,6796,5730,9230,8766,8400,2.1210359408033828,40.13,39.68,-2.76,18.92,94642,0.0361,0.0362,0.0339,0.0291,4.99,5.39
19,2001-07-31,8130,8800,8174,7400,9250,6875,5730,8130,7880,7500,1.3382476832350465,31.77,16.14,8.4,23.74,30578,0.027,0.0225,0.0333,0.0313,4.77,-7.61
