,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,1.1004684798482616e-05,-27.48,-27.48
1,2000-01-31,4.78,4.648920759250665e-07,-19.21,-19.21
2,2000-02-29,5.07,1.4779199855296736e-05,-11.35,-11.35
3,2000-03-31,5.05,-6.5201797699485164e-06,1.56,1.56
4,2000-04-30,5.06,-1.592447305631531e-06,-17.54,-17.54
5,2000-05-31,5.12,-1.1013750011191507e-05,-38.7,-38.7
6,2000-06-30,5.16,-3.4274218715981e-06,44.83,44.83
7,2000-07-31,5.13,-1.438069502856391e-05,-40.24,-40.24
8,2000-08-31,5.12,-5.412913225457679e-07,20.32,20.32
9,2000-09-30,5.09,-2.299080122438856e-06,16.67,16.67
10,2000-10-31,5.37,-9.527312997507179e-07,-30.32,-30.32
11,2000-11-30,5.32,-1.9367864399076218e-07,-1.17,-1.17
12,2000-12-31,6.08,1.5896114891335016e-06,-34.63,-34.63
13,2001-01-31,5.27,1.5103027207953558e-06,47.02,47.02
14,2001-02-28,5.06,1.4072841134805544e-07,-1.23,-1.23
15,2001-03-31,4.96,-7.763342042310154e-07,-35.0,-35.0
16,2001-04-30,5.01,-6.427775700502272e-07,-19.87,-19.87
17,2001-05-31,5.01,-1.4917439802949056e-07,39.2,39.2
18,2001-06-30,4.99,-8.676761170915309e-08,7.57,7.57
19,2001-07-31,4.77,-3.546657081164215e-08,-31.66,-31.66
20,2001-08-31,4.54,-2.6916198372879618e-08,29.41,29.41
21,2001-09-30,4.0,-1.621118967174428e-07,-39.81,-39.81
22,2001-10-31,4.02,-1.0153643693947844e-07,1.61,1.61
23,2001-11-30,4.04,-6.1381149852111e-09,-12.88,-12.88
24,2001-12-31,4.01,1.3133966157998794e-07,-1.8,-1.8
