,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,7700.0,8690.0,7583.0,6770.0,8690.0,6787.0,5300.0,7900.0,7574.0,6770.0,10.0,25.2,27.91,8.45,4.76,6698.0,0.0516,0.0702,0.0571,0.0556,4.79,10.0
1,2000-01-31,7800.0,7800.0,7162.0,6200.0,8690.0,6811.0,5300.0,7800.0,7390.0,6990.0,1.3,14.71,46.62,18.18,20.0,9994.0,0.0528,0.0643,0.0588,0.0593,4.78,1.3
2,2000-02-29,9370.0,9370.0,7584.0,7100.0,9370.0,6838.0,5300.0,9370.0,7990.0,7310.0,27.48,31.97,51.13,20.75,23.29,7336.0,0.0537,0.0544,0.056,0.0623,5.07,27.48
3,2000-03-31,8710.0,14200.0,9556.0,7750.0,14200.0,7043.0,5300.0,9530.0,8616.0,8050.0,-7.04,13.12,40.48,7.4,16.91,26730.0,0.0667,0.0958,0.062,0.0774,5.05,-7.04
4,2000-04-30,10000.0,12200.0,9519.0,8200.0,14200.0,7254.0,5300.0,12200.0,10790.0,9700.0,24.22,36.05,42.86,-12.66,66.67,48160.0,0.0684,0.0718,0.0616,0.0768,5.06,24.22
5,2000-05-31,10700.0,13000.0,11673.0,10700.0,14200.0,7659.0,5300.0,11150.0,10950.0,10700.0,7.0,14.19,41.72,-2.73,44.59,9674.0,0.0686,0.0456,0.0591,0.0749,5.12,7.0
6,2000-06-30,11900.0,12100.0,11790.0,11200.0,14200.0,8057.0,5300.0,12000.0,11910.0,11750.0,9.17,24.87,54.55,-1.65,89.19,7954.0,0.0632,0.0258,0.0573,0.047,5.16,9.17
7,2000-07-31,10400.0,12300.0,10611.0,9050.0,14200.0,8472.0,5300.0,10400.0,9652.0,9050.0,-4.02,14.21,46.43,6.01,114.69,4614.0,0.0618,0.0527,0.0568,0.0377,5.13,-4.02
8,2000-08-31,17000.0,21050.0,15520.0,10000.0,21050.0,9275.0,5600.0,18400.0,17730.0,17000.0,63.46,74.48,99.25,-5.56,201.12,34076.0,0.0617,0.0737,0.0592,0.0553,5.12,63.46
9,2000-09-30,13000.0,18400.0,15468.0,12150.0,21050.0,9962.0,5600.0,13100.0,12710.0,12150.0,-24.86,21.5,72.22,5.26,137.95,38598.0,0.0569,0.0651,0.0617,0.0658,5.09,-24.86
10,2000-10-31,12300.0,14100.0,11810.0,10700.0,21050.0,10427.0,6200.0,14100.0,12210.0,11000.0,-5.38,18.27,35.08,8.85,98.65,51966.0,0.0567,0.0701,0.0635,0.0712,5.37,-5.38
11,2000-11-30,16000.0,16200.0,13115.0,11700.0,21050.0,10922.0,6200.0,16200.0,15270.0,14100.0,13.48,-9.35,61.21,15.11,132.73,62400.0,0.0601,0.0568,0.0639,0.0647,5.32,13.48
12,2000-12-31,12000.0,16000.0,14308.0,12000.0,21050.0,11390.0,6200.0,13650.0,13050.0,12000.0,-14.89,-1.23,9.82,-12.09,73.4,22704.0,0.0635,0.0586,0.064,0.0616,6.08,-14.89
13,2001-01-31,14500.0,14500.0,12930.0,12000.0,21050.0,11903.0,7100.0,14500.0,13450.0,13000.0,20.83,17.89,39.42,9.02,104.16,44646.0,0.0633,0.0431,0.0617,0.056,5.27,20.83
14,2001-02-28,13750.0,14800.0,13805.0,13200.0,21050.0,12422.0,7750.0,13750.0,13610.0,13350.0,5.77,-9.84,-25.27,4.17,85.28,22580.0,0.0549,0.0299,0.0604,0.0484,5.06,5.77
15,2001-03-31,11900.0,13500.0,12365.0,11250.0,21050.0,12651.0,8200.0,12150.0,11790.0,11250.0,-13.45,-0.83,-8.46,3.48,37.13,13670.0,0.049,0.0264,0.0531,0.0324,4.96,-13.45
16,2001-04-30,14000.0,15700.0,13703.0,11650.0,21050.0,12985.0,9050.0,14500.0,14180.0,13800.0,17.65,4.87,-0.71,-10.83,53.75,39766.0,0.0441,0.0361,0.0508,0.0306,5.01,17.65
17,2001-05-31,14100.0,15800.0,14148.0,12900.0,21050.0,13202.0,9050.0,15600.0,14850.0,14100.0,0.71,2.55,-11.88,-10.76,44.72,47982.0,0.0383,0.0328,0.0499,0.0319,5.01,0.71
18,2001-06-30,11700.0,15150.0,13318.0,11700.0,21050.0,13332.0,9050.0,12650.0,12000.0,11700.0,-20.14,-1.27,-2.5,-8.59,9.35,18732.0,0.0305,0.0244,0.05,0.0319,4.99,-20.14
19,2001-07-31,10600.0,12250.0,10750.0,9400.0,21050.0,13343.0,9400.0,10600.0,10410.0,10250.0,-9.4,-24.29,-26.9,3.92,1.92,8000.0,0.0315,0.0435,0.0493,0.034,4.77,-9.4
20,2001-08-31,9740.0,11600.0,10794.0,9740.0,18400.0,12960.0,9400.0,10100.0,9886.0,9740.0,3.32,-22.33,-20.35,-2.6,-35.58,5868.0,0.0313,0.0203,0.0442,0.031,4.54,3.32
21,2001-09-30,10500.0,10500.0,9865.0,9400.0,16200.0,12540.0,9400.0,10500.0,10032.0,9700.0,5.0,0.05,-2.83,11.7,-7.04,37182.0,0.0311,0.0273,0.0408,0.0313,4.0,5.0
