,Date,professionalism,pbr,activity,indireturn,indistd
0,1999-12-31,6774.52382629108,0.11733,-1.0603901738117415e-05,-2.03,0.0362
1,2000-01-31,7171.361418047883,0.16724,1.0155399292908276e-05,-1.42,0.0314
2,2000-02-29,9947.382658545324,0.16032,5.168430125621575e-06,3.24,0.0233
3,2000-03-31,12642.531665408438,0.16551,-3.0606709528567898e-06,-26.53,0.0361
4,2000-04-30,5889.575828588831,0.12457,1.0895266398509677e-05,-16.39,0.0655
5,2000-05-31,3570.5058932028674,0.10415,-1.7934097978666868e-06,0.23,0.0528
6,2000-06-30,3848.7758161273314,0.09942,-1.0146737543739888e-05,-2.55,0.0304
7,2000-07-31,4872.476469048012,0.09688,1.3175743596041686e-06,8.33,0.0416
8,2000-08-31,8517.282913982888,0.10496,-5.158847594284198e-06,-20.3,0.0295
9,2000-09-30,4758.96968300911,0.09285,-2.7234385071002564e-05,-9.07,0.0285
10,2000-10-31,6894.861565305268,0.08443,5.227048430304978e-07,-10.64,0.0135
11,2000-11-30,5724.824862731641,0.07555,-1.3355600933276293e-05,0.87,0.0216
12,2000-12-31,4510.320473435232,0.08016,5.2650691958400745e-06,3.45,0.0354
13,2001-01-31,9258.187816038744,0.07431,-2.6623148265904363e-06,10.21,0.0273
14,2001-02-28,8640.009472306421,0.08144,9.157449832262421e-06,-10.28,0.0229
15,2001-03-31,3226.4127931919065,0.07307,8.324616361718033e-06,10.18,0.0241
16,2001-04-30,4313.175632485533,0.08051,-6.058761474533341e-06,10.4,0.0168
17,2001-05-31,8693.201169440435,0.08888,2.159740013691968e-06,36.67,0.041
18,2001-06-30,8748.458920641051,0.12402,6.794082702619266e-07,-6.67,0.0338
19,2001-07-31,4764.55606277533,0.11575,7.933468320584283e-06,-6.7,0.03
20,2001-08-31,3268.2899135730795,0.108,9.457361624852987e-06,-22.29,0.0449
21,2001-09-30,4834.333894988586,0.09477,-9.324116285796121e-06,9.05,0.0184
22,2001-10-31,4959.305152018263,0.10335,-5.715685506027461e-06,19.86,0.0265
23,2001-11-30,5569.42822162908,0.1235,6.4950070518841355e-06,3.45,0.0314
24,2001-12-31,8831.625712011095,0.12402,-2.0468415145714444e-05,12.08,0.0389
25,2002-01-31,8372.410308689989,0.12681,-4.993906635307648e-06,32.52,0.039
26,2002-02-28,9414.82548388193,0.17867,8.637420155178348e-06,-3.43,0.0337
27,2002-03-31,11446.368457878534,0.17254,5.243701601167562e-07,-20.26,0.0301
28,2002-04-30,5462.90659917186,0.13758,-3.91811166936249e-06,-16.16,0.0357
29,2002-05-31,3891.2255459276807,0.11534,-7.990937503835742e-06,-11.63,0.0396
30,2002-06-30,5143.138338924335,0.10743,-8.693500282106384e-06,-1.4,0.0417
31,2002-07-31,6565.100936897944,0.10592,-1.73471162342145e-06,-8.56,0.027
32,2002-08-31,5139.047905872446,0.10064,-9.407442794630563e-07,4.87,0.0356
33,2002-09-30,7233.132478678497,0.10554,4.586885429748272e-07,19.64,0.0251
34,2002-10-31,9461.002906046053,0.12627,6.238552099294659e-06,0.75,0.0139
35,2002-11-30,5560.498792876551,0.12722,1.2709905620266193e-05,-11.26,0.0232
36,2002-12-31,5933.38271399673,0.11289,1.6821763743521703e-06,-22.04,0.0254
37,2003-01-31,3215.8895646016435,0.09628,-1.354311227495864e-05,2.15,0.0204
38,2003-02-28,3093.5601628233094,0.09793,-5.897077011682079e-08,-4.84,0.0197
39,2003-03-31,1925.7305605183863,0.09319,5.284845725241535e-06,16.29,0.0245
40,2003-04-30,2590.082406821907,0.11113,1.0210743312032084e-05,10.95,0.0186
41,2003-05-31,3051.782631065858,0.12329,7.681572121908437e-06,8.86,0.0225
42,2003-06-30,3787.8550491679275,0.13422,1.1548035983521154e-05,1.38,0.0195
43,2003-07-31,2734.03542983108,0.13607,-4.888323665104443e-06,7.39,0.0163
44,2003-08-31,1953.5630096905177,0.13706,-4.824086199646734e-06,-4.46,0.0176
45,2003-09-30,2193.156668841722,0.13094,3.87228546411021e-06,-2.83,0.0245
46,2003-10-31,5741.660268857685,0.12723,-6.17078031146487e-06,5.69,0.0141
47,2003-11-30,3658.242257195758,0.12963,-1.798136018982298e-06,-1.68,0.0284
48,2003-12-31,4911.541034639363,0.12745,-5.232544109263066e-06,-7.53,0.0259
49,2004-01-31,3273.5647998694208,0.11544,-2.0476946274879515e-06,-3.3,0.0109
50,2004-02-29,2105.2699597529017,0.11288,1.2797594135440607e-05,16.29,0.0303
51,2004-03-31,7941.986522861611,0.13126,1.9943561636452507e-07,-1.64,0.0221
52,2004-04-30,6724.643333618039,0.12827,-5.774358370900869e-06,-9.0,0.0264
53,2004-05-31,2962.9475741580954,0.11673,3.319872819868169e-06,12.77,0.0194
54,2004-06-30,2897.8045658012534,0.13212,8.610509882957556e-06,5.99,0.0125
55,2004-07-31,2752.332943291072,0.14003,1.0852956517549692e-06,9.16,0.0195
56,2004-08-31,2781.2715903668004,0.15285,2.3460333115404556e-05,5.35,0.0235
57,2004-09-30,2801.995553341264,0.15991,4.440919934724652e-06,11.87,0.035
58,2004-10-31,7332.710879726208,0.17936,5.415072107585214e-06,1.07,0.0124
59,2004-11-30,3100.9885690897663,0.18129,7.858939864250332e-06,-4.6,0.0142
60,2004-12-31,4098.086829716179,0.17295,1.3630888660426316e-06,5.69,0.0177
61,2005-01-31,3899.9466618242323,0.15033,1.025356840546559e-05,52.2,0.0487
62,2005-02-28,20362.621410602773,0.22506,3.6648980446122074e-06,-8.2,0.0418
