,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-13.89,-13.89
1,2000-01-31,4.78,-11.87,-11.87
2,2000-02-29,5.07,-20.98,-20.98
3,2000-03-31,5.05,-6.78,-6.78
4,2000-04-30,5.06,-32.3,-32.3
5,2000-05-31,5.12,-68.5,-68.5
6,2000-06-30,5.16,24.89,24.89
7,2000-07-31,5.13,-9.78,-9.78
8,2000-08-31,5.12,33.33,33.33
9,2000-09-30,5.09,11.01,11.01
10,2000-10-31,5.37,-32.11,-32.11
11,2000-11-30,5.32,-15.06,-15.06
12,2000-12-31,6.08,-35.02,-35.02
13,2001-01-31,5.27,101.3,101.3
14,2001-02-28,5.06,-5.59,-5.59
15,2001-03-31,4.96,-35.02,-35.02
16,2001-04-30,5.01,-14.67,-14.67
17,2001-05-31,5.01,4.56,4.56
18,2001-06-30,4.99,5.42,5.42
19,2001-07-31,4.77,-18.01,-18.01
20,2001-08-31,4.54,-13.33,-13.33
21,2001-09-30,4.0,-42.66,-42.66
22,2001-10-31,4.02,18.6,18.6
23,2001-11-30,4.04,24.55,24.55
24,2001-12-31,4.01,7.46,7.46
25,2002-01-31,3.98,23.38,23.38
26,2002-02-28,4.01,-10.99,-10.99
27,2002-03-31,4.0,-13.15,-13.15
28,2002-04-30,4.04,78.21,78.21
29,2002-05-31,4.28,42.08,42.08
30,2002-06-30,4.26,-66.56,-66.56
31,2002-07-31,4.27,6.67,6.67
32,2002-08-31,4.28,-2.1,-2.1
33,2002-09-30,4.28,-36.7,-36.7
34,2002-10-31,4.28,56.28,56.28
35,2002-11-30,4.28,4.29,4.29
36,2002-12-31,4.52,-43.56,-43.56
37,2003-01-31,4.34,-39.08,-39.08
38,2003-02-28,4.27,1.83,1.83
39,2003-03-31,4.27,-6.12,-6.12
40,2003-04-30,4.26,-14.05,-14.05
41,2003-05-31,4.01,9.89,9.89
42,2003-06-30,4.1,5.88,5.88
43,2003-07-31,3.75,-17.32,-17.32
44,2003-08-31,3.72,-13.1,-13.1
45,2003-09-30,3.77,-9.59,-9.59
46,2003-10-31,3.84,1.52,1.52
47,2003-11-30,3.78,-6.25,-6.25
48,2003-12-31,3.97,-7.78,-7.78
49,2004-01-31,3.78,2.41,2.41
50,2004-02-29,3.78,-0.73,-0.73
51,2004-03-31,3.74,-10.26,-10.26
52,2004-04-30,3.76,-9.18,-9.18
53,2004-05-31,3.77,-15.06,-15.06
54,2004-06-30,3.78,-24.6,-24.6
55,2004-07-31,3.77,18.79,18.79
56,2004-08-31,3.52,13.43,13.43
57,2004-09-30,3.55,9.59,9.59
58,2004-10-31,3.53,-15.5,-15.5
59,2004-11-30,3.26,1.43,1.43
60,2004-12-31,3.29,-2.82,-2.82
61,2005-01-31,3.26,11.63,11.63
62,2005-02-28,3.28,10.68,10.68
63,2005-03-31,3.26,10.12,10.12
64,2005-04-30,3.29,16.01,16.01
65,2005-05-31,3.29,-9.45,-9.45
66,2005-06-30,3.3,6.76,6.76
67,2005-07-31,3.27,37.3,37.3
68,2005-08-31,3.25,-6.12,-6.12
69,2005-09-30,3.28,22.46,22.46
70,2005-10-31,3.51,-1.26,-1.26
71,2005-11-30,3.5,22.9,22.9
72,2005-12-31,3.76,-11.23,-11.23
