,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
52,2004-04-30,-1.1892665287414133,3.76,-4.949266528741413,7.32,-0.33,1.169063946901474,4.518861205998903
53,2004-05-31,-7.51690922947607,3.77,-11.28690922947607,-1.96,2.02,-7.547276620896255,-0.7913790243314622
54,2004-06-30,-2.2829090164330097,3.78,-6.062909016433009,-2.21,4.13,2.9027502782520003,4.551135772260423
55,2004-07-31,-6.9990340720129325,3.77,-10.769034072012932,-1.29,12.38,-12.826235600987275,2.829579086152748
56,2004-08-31,10.019622095233487,3.52,6.499622095233487,-2.7,-1.35,48.63517105384672,-5.349236261090695
57,2004-09-30,3.8007703151007064,3.55,0.2507703151007066,-4.28,6.19,-1.7662247257711812,-4.729356862481282
58,2004-10-31,0.08077336376659616,3.53,-3.4492266362334036,-2.98,6.55,2.740169522406717,3.27688451985172
59,2004-11-30,5.080628881862111,3.26,1.8206288818621115,-1.4,6.78,-8.335861830326564,-3.6733944804942382
60,2004-12-31,2.365738633769027,3.29,-0.9242613662309731,2.83,-4.06,-0.5825673765879316,-3.5554980503475946
61,2005-01-31,5.833569059772529,3.26,2.573569059772529,20.57,-8.79,18.004288605091617,-2.281755207966768
62,2005-02-28,8.43621395968917,3.28,5.15621395968917,4.08,10.38,-0.27374539585558466,-1.2110363555474493
63,2005-03-31,-4.6458295641148055,3.26,-7.905829564114805,-3.56,2.86,-8.405897571341683,-3.2671324591171356
64,2005-04-30,-5.644048119637063,3.29,-8.934048119637062,0.53,5.4,-6.053946805240685,0.007202920692975567
65,2005-05-31,7.048824752762698,3.29,3.758824752762698,4.34,-6.99,10.547698704943215,0.33952733500312604
66,2005-06-30,4.268022626658066,3.3,0.9680226266580663,6.1,5.76,8.461844102955709,0.3104575756456711
67,2005-07-31,10.535760016735225,3.27,7.265760016735225,4.31,4.51,4.44109248664715,2.4697389551899818
68,2005-08-31,-2.906686016102711,3.25,-6.156686016102711,-5.2,1.34,-11.42806072762798,4.78210993179998
69,2005-09-30,12.94164909563493,3.28,9.66164909563493,0.96,7.17,4.34165655885927,1.5915208512127208
70,2005-10-31,-4.328440266917212,3.51,-7.838440266917212,12.47,-0.25,6.86237618489838,2.829586874471005
71,2005-11-30,13.1639687759576,3.5,9.6639687759576,6.07,-0.78,14.588982628748738,1.9826834316031636
72,2005-12-31,6.338354678050834,3.76,2.578354678050834,-6.41,1.81,-2.696413280678314,6.182522876811021
73,2006-01-31,1.425998232819083,3.76,-2.334001767180917,-3.68,-2.35,-2.6567890467302533,2.906675527932478
74,2006-02-28,-1.6832948690922365,3.99,-5.673294869092237,0.98,-0.17,-3.4594172912062646,-2.2126367417810258
75,2006-03-31,-0.8969817018130328,3.97,-4.8669817018130335,-1.87,4.19,-10.39018851047507,3.571670395943727
76,2006-04-30,4.561726341701615,3.97,0.5917263417016145,-1.56,6.53,-0.9612719407217725,-2.5400179512469947
77,2006-05-31,-7.136218551418963,3.96,-11.096218551418964,-1.51,-0.68,-1.6389486698992783,-0.7499999892948779
78,2006-06-30,-2.2285438591234197,4.21,-6.43854385912342,-3.0,-1.31,-2.830334183032363,-0.6932824723201634
79,2006-07-31,-0.15583321255171256,4.22,-4.375833212551712,-3.81,2.17,0.27606500915484844,-0.6751282090631747
80,2006-08-31,4.377142264365901,4.49,-0.1128577356340994,-2.32,0.71,3.4713468201150874,-4.366724020362085
81,2006-09-30,1.8355594920318623,4.48,-2.644440507968138,4.07,1.89,5.7547957160961545,-0.6686156941491674
82,2006-10-31,-0.5276958589865615,4.48,-5.007695858986562,-0.46,3.77,-3.495965667605759,2.342941831345925
83,2006-11-30,5.180745244362228,4.49,0.690745244362228,2.1,6.36,-0.908471971733519,4.4684019677166305
84,2006-12-31,0.03576039066265935,4.6,-4.56423960933734,-4.08,4.46,-7.88045737765718,2.4961282796600415
85,2007-01-31,-5.048336166566244,4.61,-9.658336166566244,2.51,1.33,0.8916668900321127,-0.09944153393385591
86,2007-02-28,4.280233484989964,4.55,-0.2697665150100361,0.57,2.1,0.7012283188206538,-1.4393931099327233
87,2007-03-31,3.1837512583629035,4.63,-1.4462487416370964,2.91,2.78,7.534901923606199,0.5730907625724626
88,2007-04-30,6.170241952379499,4.88,1.2902419523794988,-0.51,5.67,0.46852132979134353,2.8584804602238307
89,2007-05-31,10.533036774723328,4.56,5.973036774723329,1.75,13.58,5.440265243720148,-0.8030253429024867
90,2007-06-30,2.933882351279891,4.52,-1.5861176487201085,-0.98,2.57,3.9084581812411017,0.07536152598424906
91,2007-07-31,9.282307484028536,4.76,4.522307484028536,-3.91,8.85,7.167227038005464,-4.053374883930374
92,2007-08-31,-3.4142846558374202,4.98,-8.39428465583742,-1.04,2.3,-4.678791554869264,-0.6353910742769955
93,2007-09-30,3.673394316491766,4.98,-1.3066056835082343,-5.89,2.08,-7.093808968937452,-0.3988620765483972
94,2007-10-31,6.125593790954227,5.02,1.1055937909542273,-12.14,-4.72,6.946414287240145,7.949151498926497
95,2007-11-30,-7.2079630607681935,5.02,-12.227963060768193,-1.03,-1.43,-8.331190194232434,-1.1021776460452486
96,2007-12-31,-0.7166398144902217,5.02,-5.736639814490221,-2.43,1.11,-1.7337783465827101,1.0987685453956573
97,2008-01-31,-14.248518473516455,4.96,-19.208518473516456,4.79,8.99,-7.6394948647988485,2.694050979886626
98,2008-02-29,5.72649362614483,4.94,0.7864936261448294,-0.39,0.11,13.174983410054452,-9.389922604091524
99,2008-03-31,-0.25942034781527923,4.98,-5.23942034781528,-2.02,-2.12,-0.1008515704676114,2.9751110973311654
100,2008-04-30,6.627301069100213,4.95,1.6773010691002126,-4.54,4.22,-2.6030583668153042,-2.893040100162125
101,2008-05-31,1.6463963926548644,5.04,-3.3936036073451357,0.73,1.9,0.943598879139202,-7.621648365234009
102,2008-06-30,-9.46788646899735,5.01,-14.47788646899735,3.11,2.69,-8.011787500356107,-0.21009077222771566
103,2008-07-31,-5.25428973414401,5.03,-10.28428973414401,-2.86,1.52,-1.8869231706284921,1.825537473084239
104,2008-08-31,-7.933843452691065,5.25,-13.183843452691065,-6.51,11.31,-10.23967338183543,-1.2677487530295508
105,2008-09-30,-1.987945996972286,5.22,-7.207945996972286,-4.39,-3.96,8.640168550688628,-1.7014196771983734
106,2008-10-31,-23.42493575045951,4.14,-27.56493575045951,-9.55,3.85,-4.488250469683408,4.17699232021404
107,2008-11-30,-3.041089539114026,3.99,-7.031089539114026,4.34,-10.03,-7.373900329815555,-0.679681680912438
108,2008-12-31,4.922242138780149,3.02,1.902242138780149,-0.07,-1.49,5.613881704229087,-2.470719986803175
109,2009-01-31,4.103501570587497,2.41,1.6935015705874967,2.31,-1.67,15.795771665179316,-4.007659215929024
110,2009-02-28,-7.5859844678647335,1.87,-9.455984467864734,7.66,-0.79,-1.8917969304132782,-1.4205668689142925
