,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
0,1999-12-31,4.79,11.18,12865.972527706432,0.76289,-9.731294336649524e-06,-24.68,70471
1,2000-01-31,4.78,-8.41,4881.266909664813,0.68787,-5.473237065895357e-06,-3.36,53224
2,2000-02-29,5.07,-13.36,4563.190781075083,0.68787,-3.906277151956398e-06,4.55,50917
3,2000-03-31,5.05,4.71,106434.56716590833,0.98423,-6.0560968589022465e-06,43.04,94944
4,2000-04-30,5.06,-17.96,58058.715628125836,0.76296,-8.479467942370489e-09,-30.33,70981
5,2000-05-31,5.12,1.68,43909.26513975155,0.77214,7.385713270396577e-08,1.18,64400
6,2000-06-30,5.16,12.61,85975.88172377423,0.86787,-2.870012344459224e-06,17.89,73954
7,2000-07-31,5.13,-14.44,47335.37171453684,0.77214,1.4416241286219235e-07,-11.03,70538
8,2000-08-31,5.12,-3.14,9881.856362351833,0.72399,-2.409125820603969e-07,-6.2,63695
9,2000-09-30,5.09,-17.36,95525.22950967161,0.89767,3.979143841100889e-07,20.0,66690
10,2000-10-31,5.37,-16.2,130819.07361102085,0.77787,4.389182107089931e-08,-13.33,76945
11,2000-11-30,5.32,-0.81,25617.03898353119,0.67927,1.9025060096910193e-08,-6.97,63514
12,2000-12-31,6.08,-4.36,18518.993114094425,0.63112,-2.7521103272674203e-06,-13.52,57654
13,2001-01-31,5.27,23.09,28832.906944492006,0.6872,3.4807795862397193e-06,19.43,58406
14,2001-02-28,5.06,-7.49,34604.55606919887,0.78022,-2.181931580185888e-06,22.22,62949
15,2001-03-31,4.96,-9.68,32659.66072759186,0.61665,5.389511146495547e-07,-20.98,60391
16,2001-04-30,5.01,11.19,19497.072896766433,0.63808,-2.1683737203901593e-06,3.54,56532
17,2001-05-31,5.01,5.02,26568.085442724663,0.68459,1.7767054670845437e-06,7.26,60602
18,2001-06-30,4.99,-7.17,49592.72243386084,0.73632,4.630113908969512e-06,9.76,66413
19,2001-07-31,4.77,-8.5,12557.917728390332,0.65741,6.047184201341538e-06,-10.74,62634
20,2001-08-31,4.54,0.66,10460.974183042701,0.65166,1.415841687540736e-05,-0.83,63253
21,2001-09-30,4.0,-17.28,9567.411581077837,0.63285,1.528058760497034e-06,-14.71,58302
22,2001-10-31,4.02,12.78,12295.524532543817,0.70915,9.658605381390396e-06,12.07,63161
23,2001-11-30,4.04,20.45,25557.712947844277,0.94379,5.864377788703025e-06,35.16,74105
24,2001-12-31,4.01,10.41,22458.29531396248,1.15648,5.972374504477254e-06,31.27,98292
25,2002-01-31,3.98,6.92,25903.40498504314,1.40345,2.959547177736661e-06,41.51,115666
26,2002-02-28,4.01,10.36,20279.43887665907,1.68396,5.877119412044368e-06,24.78,155358
27,2002-03-31,4.0,8.98,14441.65272958469,1.75386,-3.508340283454509e-06,4.17,185596
28,2002-04-30,4.04,-4.87,8394.997555161664,1.29545,6.884504224904487e-06,-26.13,163610
29,2002-05-31,4.28,-5.25,8005.557246973081,1.40345,1.6763014012908968e-06,8.3,153126
30,2002-06-30,4.26,-12.73,3934.201344467131,1.47335,1.8198261738500015e-05,3.28,147419
