,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
22,2002-03-31,11.797865101160696,4.0,7.797865101160696,1.97,-0.05,-17.108916898462596,-1.0602885888618232
23,2002-04-30,-6.958282897730385,4.04,-10.998282897730384,-8.1,0.13,-5.273869303145204,-2.583978983418916
24,2002-05-31,-6.411695430486901,4.28,-10.691695430486902,1.67,0.63,-9.247655023546372,1.9733648346677484
25,2002-06-30,-5.5330474056740115,4.26,-9.793047405674011,-4.18,3.39,16.9771943135314,-4.718410288582703
26,2002-07-31,-3.074958464065631,4.27,-7.3449584640656305,2.66,0.22,0.6821952522445685,-3.982092457747129
27,2002-08-31,2.5290083554447875,4.28,-1.7509916445552127,0.25,1.25,-18.821952926917504,3.074890419373631
28,2002-09-30,-11.04633525745875,4.28,-15.326335257458751,-6.45,8.09,8.798346033001849,-6.175891587009772
29,2002-10-31,3.048494448995868,4.28,-1.2315055510041324,1.96,-4.34,-1.028381155965704,0.4557964354402344
30,2002-11-30,9.568982451158405,4.28,5.288982451158405,-6.92,0.99,-14.547759747153677,0.24067333189782403
31,2002-12-31,-13.56451773058916,4.52,-18.08451773058916,-0.7,3.49,-0.5211241214129814,6.780155712875143
32,2003-01-31,-6.315749265811064,4.34,-10.655749265811064,1.36,-0.25,2.539721820434579,-3.3486139621015667
33,2003-02-28,-2.2781648018135314,4.27,-6.548164801813531,0.34,7.57,-6.28642880954807,0.449621248712873
34,2003-03-31,-3.6915183690055926,4.27,-7.961518369005592,-5.96,2.86,3.5553286021546455,-2.0774346698268147
35,2003-04-30,12.010098062788785,4.26,7.750098062788785,-0.1,2.44,12.034982474824858,-4.62508211390238
36,2003-05-31,6.44388431276694,4.01,2.4338843127669403,3.31,-2.08,5.602473647628386,0.23493528339244563
37,2003-06-30,5.862218581168747,4.1,1.7622185811687476,-0.79,-3.71,1.31745710218064,4.898222673487069
38,2003-07-31,6.113318677220292,3.75,2.363318677220292,-5.45,-1.07,0.4373413911035726,5.4462308988996
39,2003-08-31,4.899973675665237,3.72,1.1799736756652366,-8.14,10.22,-11.428692824057094,0.09504000060492501
40,2003-09-30,-7.3013245604522865,3.77,-11.071324560452286,1.15,5.39,-1.5451092176161865,1.9474026035857008
41,2003-10-31,12.070483570604424,3.84,8.230483570604424,-11.53,2.19,12.037417514942447,-6.09918972444197
42,2003-11-30,3.6141330875241806,3.78,-0.1658669124758192,-5.84,8.99,3.835347866927208,1.303248930699226
43,2003-12-31,2.1744851547614417,3.97,-1.7955148452385585,-2.7,1.3,1.251811864227406,-1.4831696038714597
44,2004-01-31,4.262820758525265,3.78,0.4828207585252655,-6.04,-0.4,-3.778988020369738,2.178854141954915
45,2004-02-29,2.7455391722957643,3.78,-1.0344608277042355,-2.97,3.39,9.69046408132283,-1.2380051111959887
46,2004-03-31,0.7111430267069636,3.74,-3.0288569732930366,0.21,0.17,-2.056612362350208,4.048925642105473
47,2004-04-30,-1.2717224453067502,3.76,-5.03172244530675,7.32,-0.33,-8.88618668048612,-3.1732440607814567
48,2004-05-31,-7.561421763161661,3.77,-11.33142176316166,-1.96,2.02,6.624168731632864,3.6720680481144683
49,2004-06-30,-2.0320024335889997,3.78,-5.812002433588999,-2.21,4.13,-7.271481637494219,2.3899452627160116
50,2004-07-31,-7.030626509052368,3.77,-10.800626509052368,-1.29,12.38,17.749180489608705,-3.6799477721129534
51,2004-08-31,7.154576478049421,3.52,3.634576478049421,-2.7,-1.35,-2.5282561543730537,-2.5587597778148563
52,2004-09-30,3.9578779561812354,3.55,0.40787795618123557,-4.28,6.19,4.2800154041002685,3.522150191514257
53,2004-10-31,-0.5716712255057814,3.53,-4.101671225505781,-2.98,6.55,-8.148820771318498,0.26383195832386264
54,2004-11-30,5.011836581539214,3.26,1.751836581539214,-1.4,6.78,-2.847267965028479,-4.982009656037391
55,2004-12-31,2.9180523426792178,3.29,-0.3719476573207823,2.83,-4.06,14.632948507477934,0.07111687368769992
56,2005-01-31,7.055088235088263,3.26,3.7950882350882633,20.57,-8.79,1.929673953583631,0.4768770652178489
57,2005-02-28,8.35851024735372,3.28,5.078510247353721,4.08,10.38,-8.588859702436665,-3.5602941120277336
58,2005-03-31,-4.55741943682149,3.26,-7.81741943682149,-3.56,2.86,-6.872896764508241,2.8529563745265847
59,2005-04-30,-5.5026362627552174,3.29,-8.792636262755217,0.53,5.4,9.020606866863844,0.931177025155705
60,2005-05-31,7.334959391383052,3.29,4.044959391383052,4.34,-6.99,10.463139985593585,-0.07369702626161256
61,2005-06-30,3.714373866497752,3.3,0.4143738664977521,6.1,5.76,0.657101995258472,2.1373006178126133
62,2005-07-31,10.13189056497474,3.27,6.86189056497474,4.31,4.51,-11.611049302953063,5.68199249185588
63,2005-08-31,-2.620284971960089,3.25,-5.870284971960089,-5.2,1.34,5.800327140067466,2.890070509219811
64,2005-09-30,12.078848180945243,3.28,8.798848180945244,0.96,7.17,5.566423931513313,4.155780855873786
65,2005-10-31,-4.856448144719522,3.51,-8.366448144719522,12.47,-0.25,14.03725310269472,1.3851114487588916
66,2005-11-30,12.318576698916345,3.5,8.818576698916345,6.07,-0.78,-5.47325351590176,6.503026849051508
67,2005-12-31,6.33211906204032,3.76,2.5721190620403203,-6.41,1.81,-0.6905338328793675,3.259295365950152
68,2006-01-31,1.5347828634056953,3.76,-2.2252171365943045,-3.68,-2.35,-3.6677823814503085,-2.090730615203853
69,2006-02-28,-1.8403696116056238,3.99,-5.830369611605624,0.98,-0.17,-8.6011973950433,4.89514634339352
70,2006-03-31,-1.4012008413211277,3.97,-5.371200841321128,-1.87,4.19,3.6072658567379534,-1.610856812411555
71,2006-04-30,4.394046257709988,3.97,0.4240462577099877,-1.56,6.53,-4.342981308440528,-0.8769974281785835
72,2006-05-31,-7.127210019647663,3.96,-11.087210019647664,-1.51,-0.68,-2.060820828041116,-0.006022845659174436
73,2006-06-30,-1.7754599181965176,4.21,-5.985459918196518,-3.0,-1.31,2.8674629751439937,-1.6070842116213129
74,2006-07-31,-0.8774029069207643,4.22,-5.097402906920764,-3.81,2.17,2.665205898590699,-4.31106305016543
75,2006-08-31,5.233097081490598,4.49,0.7430970814905979,-2.32,0.71,4.231987250790368,-1.452248975122174
76,2006-09-30,1.5796179075823034,4.48,-2.900382092417697,4.07,1.89,-1.6264864504852028,3.1254779841784597
77,2006-10-31,-0.8518410179588898,4.48,-5.33184101795889,-0.46,3.77,0.16129949663283583,5.693741530521351
78,2006-11-30,5.601911518810681,4.49,1.1119115188106807,2.1,6.36,-8.297247570493283,3.71060323090164
79,2006-12-31,0.03398327996066541,4.6,-4.566016720039334,-4.08,4.46,-2.7893372126612235,-1.4251950650927938
80,2007-01-31,-5.412063202070172,4.61,-10.022063202070171,2.51,1.33,1.9296138477757268,-1.6452757665561961
81,2007-02-28,3.4699388639238578,4.55,-1.080061136076142,0.57,2.1,9.738835618578761,-0.6542988510170602
82,2007-03-31,3.4403791317315466,4.63,-1.1896208682684533,2.91,2.78,-2.626559242659667,4.062569622568887
83,2007-04-30,6.699686838996087,4.88,1.8196868389960867,-0.51,5.67,6.829565806691676,1.0609528266802357
84,2007-05-31,11.354953884766445,4.56,6.7949538847664455,1.75,13.58,7.714029062681263,1.928586779479886
85,2007-06-30,2.8276096181950834,4.52,-1.6923903818049162,-0.98,2.57,5.02877917597317,-2.363699455123694
86,2007-07-31,11.044701820153875,4.76,6.284701820153876,-3.91,8.85,-6.239195625067396,-1.2990240512868496
87,2007-08-31,-3.2508141737065017,4.98,-8.230814173706502,-1.04,2.3,-3.7872217796698777,-0.7979942498481876
88,2007-09-30,4.195372785620322,4.98,-0.7846272143796789,-5.89,2.08,8.999050813078924,9.293811586445457
89,2007-10-31,6.3668206235108755,5.02,1.346820623510876,-12.14,-4.72,-10.293459644778181,-1.495503285683938
90,2007-11-30,-7.073600968939331,5.02,-12.093600968939331,-1.03,-1.43,-3.1457472911342705,1.176564367920534
91,2007-12-31,-0.9310599705306402,5.02,-5.95105997053064,-2.43,1.11,-6.859802043413012,2.799998121863382
92,2008-01-31,-13.896887759929228,4.96,-18.85688775992923,4.79,8.99,7.3659435289067545,-9.31015908737811
93,2008-02-29,6.014855374239374,4.94,1.074855374239374,-0.39,0.11,1.599117387360124,3.3389328169449044
94,2008-03-31,-0.07091759966938582,4.98,-5.050917599669386,-2.02,-2.12,-0.7907384906581285,-2.0755652762306767
95,2008-04-30,6.276823606849916,4.95,1.3268236068499162,-4.54,4.22,1.7773478019365285,-8.324135968523066
96,2008-05-31,2.0619356368252824,5.04,-2.9780643631747177,0.73,1.9,-8.080653450312283,-0.3193607376029348
97,2008-06-30,-9.461863695155188,5.01,-14.471863695155188,3.11,2.69,-0.8202838612285319,1.9509744107126465
98,2008-07-31,-5.087108055727597,5.03,-10.117108055727599,-2.86,1.52,-7.869912769242163,-0.0027374826511277206
99,2008-08-31,-8.30600566666348,5.25,-13.55600566666348,-6.51,11.31,10.93017728447333,-2.489864804272969
100,2008-09-30,-1.4454503698562604,5.22,-6.66545036985626,-4.39,-3.96,-3.8569566407634426,2.2847151714220075
101,2008-10-31,-22.399401042040253,4.14,-26.539401042040254,-9.55,3.85,-8.311066564529924,-1.3058807505490932
